rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
elektronik:elektronik-vitrini,141,141,-109,22.2,7.8,1146148704,968,1146148704:968,"KUMTEL KTF-355 Siyah 16 inç Ayaklı Vantilatör 50 W, 5 Pervaneli, 3 Kademeli, 121 cm Yükseklik",KUMTEL,Trendyol,599,,-14.3,InStock,,,,,3.9,,0,55,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",2 saat 25 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/kumtel/ktf-355-siyah-16-inc-ayakli-vantilator-50-w-5-pervaneli-3-kademeli-121-cm-yukseklik-p-1146148704?boutiqueId=689770&merchantId=968
elektronik:elektronik-vitrini,193,193,-85,23.2,6.8,1136166555,107653,1136166555:107653,JOYSIDEA AYAKLI VANTİLATÖR KUMANDALI 90 DERECE SALINIMLI 16 İNÇ 8 KADEME HIZ AYARLI FN-99,JOYSIDEA,TechPazar,749,,-36.3,InStock,,,,,3.3,798,39,302,"[""15 TL Kupon"",""Kargo Bedava""]",11 saat 23 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/joysidea/ayakli-vantilator-kumandali-90-derece-salinimli-16-inc-8-kademe-hiz-ayarli-fn-99-p-1136166555?boutiqueId=61&merchantId=107653
elektronik:elektronik-vitrini,200,200,-84,21.9,8.1,894794756,609792,894794756:609792,Apple EarPods (USB-C) Yeni Nesil,Apple,OĞUZHAN HD İLETİŞİM,999,,0,InStock,,,,,4.7,551,2,567,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/apple/earpods-usb-c-yeni-nesil-p-894794756?boutiqueId=61&merchantId=609792
elektronik:elektronik-vitrini,170,170,-66,25,5,68680447,1144968,68680447:1144968,Arçelik Altus Grundig Uydulu Lcd Led Tv Kumandası,Arçelik,fırsat yolu,116.5,,-1.7,InStock,,,,,4.3,1348,-4,848,"[""Kargo Bedava""]",1 saat 24 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/arcelik/altus-grundig-uydulu-lcd-led-tv-kumandasi-p-68680447?boutiqueId=61&merchantId=1144968
elektronik:elektronik-vitrini,102,102,-65,31.4,13.2,3748361,1000218,3748361:1000218,Next Kanky Tgks'li Mpeg4 Hd Tak Kullan Uydu Alıcısı Yeni Kasa,Next,Kadiroğlu Ticaret,1540,,29.4,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.6,,0,1498,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/next/kanky-tgks-li-mpeg4-hd-tak-kullan-uydu-alicisi-yeni-kasa-p-3748361?boutiqueId=61&merchantId=1000218
elektronik:elektronik-vitrini,199,199,-61,27.1,12,1158201488,810682,1158201488:810682,kawigo Pro2 iOS Androild Uyumlu Kulaklık TWS Kulakiçi Bluetooth Kulaklık Tüm Modellerle Uyumlu Kulaklık,kawigo,Kawigo,499.99,549.99,0,InStock,,,,,4.1,178,15,223,"[""Kargo Bedava""]",23 dakika 29 saniye içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/kawigo/pro2-ios-androild-uyumlu-kulaklik-tws-kulakici-bluetooth-kulaklik-tum-modellerle-uyumlu-kulaklik-p-1158201488?boutiqueId=61&merchantId=810682
elektronik:elektronik-vitrini,194,194,-57,28.1,1.9,855317237,968,855317237:968,Xiaomi Redmi Watch 5 Active Akıllı Saat Siyah (Xiaomi Türkiye Garantili) Sesli Görüşme Özellikli,Xiaomi,Trendyol,1949,,3.7,InStock,,,,,4.7,3295,6,5003,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",2 saat 23 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/xiaomi/redmi-watch-5-active-akilli-saat-siyah-xiaomi-turkiye-garantili-sesli-gorusme-ozellikli-p-855317237?boutiqueId=689770&merchantId=968
elektronik:elektronik-vitrini,182,182,-55,24.2,5.8,1094128725,110546,1094128725:110546,Fibaks iPhone 18W/20W/25W Pembe Leopar Şarj Aleti Koruyucu Şarj Kablosu Örme Aparatlı Koruyucu Toparlayıcı,Fibaks,Fibaks,139.9,,-3.5,InStock,,,,,4.5,,0,233,"[""Kargo Bedava""]",4 saat 23 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/fibaks/iphone-18w-20w-25w-pembe-leopar-sarj-aleti-koruyucu-sarj-kablosu-orme-aparatli-koruyucu-toparlayici-p-1094128725?boutiqueId=61&merchantId=110546
elektronik:elektronik-vitrini,183,183,-53,23.6,6.4,1018201251,110546,1018201251:110546,Fibaks iPhone 17 Pro Max Kılıf Şeffaf Kamerası Full Korumalı Yumuşak Darbe Emici Ince Esnek Silikon Kapak,Fibaks,Fibaks,118,,0,InStock,,,,,4.4,,0,64,"[""Kargo Bedava""]",4 saat 23 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/fibaks/iphone-17-pro-max-kilif-seffaf-kamerasi-full-korumali-yumusak-darbe-emici-ince-esnek-silikon-kapak-p-1018201251?boutiqueId=61&merchantId=110546
elektronik:elektronik-vitrini,98,98,-50,29.4,15.2,1054271600,110546,1054271600:110546,Fibaks iPhone 11 Kılıf Pembe Leopar Desenli İnce Yumuşak Silikon,Fibaks,Fibaks,119.9,,5.3,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.6,,0,52,"[""Kargo Bedava""]",4 saat 26 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/fibaks/iphone-11-kilif-pembe-leopar-desenli-ince-yumusak-silikon-p-1054271600?boutiqueId=61&merchantId=110546
elektronik:elektronik-vitrini,184,184,-48,34.1,10.9,969805474,1072750,969805474:1072750,"7GO GPW-01 50.000 mAh Solar Powerbank – 22.5 W Hızlı Şarj, Dahili Kablolu, LED Ekranlı Taşınabilir Ş",7GO,7GO,1401.65,1649,0,InStock,,,,,4.4,242,5,360,"[""Sepette %15 İndirim"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",23 dakika 52 saniye içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/7go/gpw-01-50-000-mah-solar-powerbank-22-5-w-hizli-sarj-dahili-kablolu-led-ekranli-tasinabilir-s-p-969805474?boutiqueId=61&merchantId=1072750
elektronik:elektronik-vitrini,198,198,-45,26.7,3.3,817266254,138366,817266254:138366,OSVELD Detox Vücut Yağ Analiz Özellikli Akıllı Tartı,OSVELD,OSVELD,1199,,0,InStock,,,,,4.7,2182,1,651,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/osveld/detox-vucut-yag-analiz-ozellikli-akilli-tarti-p-817266254?boutiqueId=61&merchantId=138366
elektronik:elektronik-vitrini,60,60,-44,22.7,21.9,1160910300,110546,1160910300:110546,Fibaks iPhone 13/14/15 Kılıf Kendinden Vakumlu İçi Kadife Kalp Desenli Soft Silikon Telefon Kılıfı – Güçlü Tutuş & Estetik Tasarım Rose,Fibaks,Fibaks,199.99,,0,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.8,,0,58,"[""Kargo Bedava""]",4 saat 27 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/fibaks/iphone-13-14-15-kilif-kendinden-vakumlu-ici-kadife-kalp-desenli-soft-silikon-telefon-kilifi-guclu-tutus-estetik-tasarim-rose-p-1160910300?boutiqueId=61&merchantId=110546
elektronik:elektronik-vitrini,161,161,-40,31.4,0,344060466,108980,344060466:108980,VOLEMİ Profesyonel 2200W Hava Üflemeli Saç Şekillendirici İyonik Düzleştirici Fön Tarağı Ve Hacim Verici Fırça V-0167,VOLEMİ,EVKOLİK,399,,-1,InStock,,,,,3.9,,0,1540,"[""Kargo Bedava"",""Sepette %10 İndirim"",""Son 10 Günün En Düşük Fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/volemi/profesyonel-2200w-hava-uflemeli-sac-sekillendirici-iyonik-duzlestirici-fon-taragi-ve-hacim-verici-firca-v-0167-p-344060466?boutiqueId=61&merchantId=108980
elektronik:elektronik-vitrini,105,105,-34,19.3,10.7,986375755,110546,986375755:110546,Fibaks iPhone 17 Pro Max Takma Aparatlı Kolay Uygulama Siyah Şerit Tam Kapatan Kırılmaz Cam Ekran Koruyucu,Fibaks,Fibaks,180,,0,InStock,,,,,4.5,258,4,22,"[""Kargo Bedava""]",4 saat 25 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/fibaks/iphone-17-pro-max-takma-aparatli-kolay-uygulama-siyah-serit-tam-kapatan-kirilmaz-cam-ekran-koruyucu-p-986375755?boutiqueId=61&merchantId=110546
elektronik:elektronik-vitrini,164,164,-32,19.3,10.7,1047739240,1098222,1047739240:1098222,Golden Tech Type C To SD Micro SD TF Kart Okuyucu ve USB Çevirici 3 in 1 Dönüştürücü Adaptör,Golden Tech,Golden Tech,189.9,,0,InStock,,,,,4.3,257,1,499,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",24 dakika 23 saniye içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/golden-tech/type-c-to-sd-micro-sd-tf-kart-okuyucu-ve-usb-cevirici-3-in-1-donusturucu-adaptor-p-1047739240?boutiqueId=61&merchantId=1098222
elektronik:elektronik-vitrini,178,178,-32,20.9,9.1,937894249,1003153,937894249:1003153,"SMAYLİNG Sessiz Kule Vantilatör 80cm Uzaktan Kumandalı, 3 Hızlı, Salınımlı, Taşınabilir Fan",SMAYLİNG,SMM TECH,1402.24,,-4.6,InStock,,,,,4.3,409,16,255,"[""15 TL Kupon"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/smayling/sessiz-kule-vantilator-80cm-uzaktan-kumandali-3-hizli-salinimli-tasinabilir-fan-p-937894249?boutiqueId=61&merchantId=1003153
elektronik:elektronik-vitrini,142,142,-30,14,18,1138883305,782325,1138883305:782325,Syrox 32 GB MİCRO SD (HAFIZA KARTI),Syrox,GülşenGSM,489.9,499.9,0,InStock,,,,,4.4,31,0,107,"[""15 TL Kupon"",""Kargo Bedava""]",11 saat 24 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/syrox/32-gb-micro-sd-hafiza-karti-p-1138883305?boutiqueId=61&merchantId=782325
elektronik:elektronik-vitrini,165,165,-30,26.4,3.6,917532704,110546,917532704:110546,Fibaks iPhone 13/14/15 Kılıf Tüylü Hologram Kelebek Desenli Darbe Emici Kamera Korumalı Silikon,Fibaks,Fibaks,148.32,,0,InStock,,,,,4.5,,0,189,"[""Kargo Bedava""]",4 saat 24 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/fibaks/iphone-13-14-15-kilif-tuylu-hologram-kelebek-desenli-darbe-emici-kamera-korumali-silikon-p-917532704?boutiqueId=61&merchantId=110546
elektronik:elektronik-vitrini,152,152,-29,20,10,938441662,968,938441662:968,"Tp-Link Tapo TC71, 2K 3MP, Çift Yönlü Ses, Bulut/SD Kart Depolama Akıllı Wi-Fi Güvenlik Kamerası",Tp-Link,Trendyol,1099,,0,InStock,,,,,4.8,314,3,452,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",2 saat 24 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/tp-link/tapo-tc71-2k-3mp-cift-yonlu-ses-bulut-sd-kart-depolama-akilli-wi-fi-guvenlik-kamerasi-p-938441662?boutiqueId=689770&merchantId=968
elektronik:elektronik-vitrini,174,174,-29,17.2,12.8,1020069068,1109857,1020069068:1109857,KTR TECH Alüminyum Ayarlı Laptop Macbook Uyumlu Notebook Yükseltici Tutucu Stand,KTR TECH,KTR TECH,199,,0,InStock,,,,,4.2,140,1,76,"[""Kargo Bedava""]",24 dakika 9 saniye içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/ktr-tech/aluminyum-ayarli-laptop-macbook-uyumlu-notebook-yukseltici-tutucu-stand-p-1020069068?boutiqueId=61&merchantId=1109857
elektronik:elektronik-vitrini,196,196,-29,12.9,17.1,1159316215,335426,1159316215:335426,KVK PRİVACY Su Geçirmez Telefon Kılıfı Waterproof Tüm Telefonlara Uyumlu Deniz Havuz Yağmur Korumalı Boyun Askılı Şeffaf Kılıf,KVK PRİVACY,KVK PRİVACY,150,,0,InStock,,,,,4,40,2,38,"[""Kargo Bedava""]",2 saat 23 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/kvk-privacy/su-gecirmez-telefon-kilifi-waterproof-tum-telefonlara-uyumlu-deniz-havuz-yagmur-korumali-boyun-askili-seffaf-kilif-p-1159316215?boutiqueId=61&merchantId=335426
