rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
elektronik:elektronik-vitrini,19,19,-4,66.3,50.4,1083973709,647224,1083973709:647224,Popidima Yüksek Kalite Tüm Telefonlara Uyumlu Yağmur Su Geçirmez Waterproof Deniz Havuz Altı Geçirmez Kılıf,Popidima,Popidima,74.99,,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,3.9,98,1,201,"[""Kargo Bedava""]",4 saat 28 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/popidima/yuksek-kalite-tum-telefonlara-uyumlu-yagmur-su-gecirmez-waterproof-deniz-havuz-alti-gecirmez-kilif-p-1083973709?boutiqueId=61&merchantId=647224
elektronik:elektronik-vitrini,9,9,4,92.9,48.8,945604385,1100118,945604385:1100118,Arfseb Yüz Kaş Bıyık Tüy Alıcı Epilasyon Aleti,Arfseb,HemenTıklaAl,191.39,,18.6,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,3.6,657,3,346,"[""Kargo Bedava""]",1 saat 28 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/arfseb/yuz-kas-biyik-tuy-alici-epilasyon-aleti-p-945604385?boutiqueId=61&merchantId=1100118
elektronik:elektronik-vitrini,8,8,1,109.4,46.3,967699784,106320,967699784:106320,"Philips 3000 Serisi 7in1, Erkek Bakım Seti, Yüz/Saç/Vücut Tıraş Makinesi, Islak /Kuru Kullanım, MG3930/15",Philips,Kolaysepet,1499,1695.84,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.4,,-526,337,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit"",""Son 10 günün en düşük fiyatı""]",2 saat 28 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/philips/3000-serisi-7in1-erkek-bakim-seti-yuz-sac-vucut-tiras-makinesi-islak-kuru-kullanim-mg3930-15-p-967699784?boutiqueId=61&merchantId=106320
elektronik:elektronik-vitrini,29,29,-9,46.9,44.8,1178116251,110546,1178116251:110546,"Fibaks iPhone 13/14/15 Kılıf Stitch Desenli Bebe Mavi Kadifemsi Soft Touch Silikon Telefon Kılıfı | Kamera Korumalı, Darbe Emici Premium Kapak",Fibaks,Fibaks,159.16,,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.8,,0,22,"[""Kargo Bedava""]",4 saat 27 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/fibaks/iphone-13-14-15-kilif-stitch-desenli-bebe-mavi-kadifemsi-soft-touch-silikon-telefon-kilifi-kamera-korumali-darbe-emici-premium-kapak-p-1178116251?boutiqueId=61&merchantId=110546
elektronik:elektronik-vitrini,26,26,-1,55.9,43.2,902855082,1047156,902855082:1047156,DentiGo Hassas Terazi - Mutfak Tartısı - Mutfak Terazisi - Dijital Tartı - 5 Kg 1 Gr - Paslanmaz Çelik - Pil Hediyeli,DentiGo,BABACANLAR TİCARET,349.99,,105.9,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.5,282,3,109,"[""Kargo Bedava""]",2 saat 27 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/dentigo/hassas-terazi-mutfak-tartisi-mutfak-terazisi-dijital-tarti-5-kg-1-gr-paslanmaz-celik-pil-hediyeli-p-902855082?boutiqueId=61&merchantId=1047156
elektronik:elektronik-vitrini,13,13,-2,89.4,42.3,942265188,825484,942265188:825484,KTR TECH Tüm Dokunmatik Cihazlara -ios/android/windows Uyumlu Tablet Ipad Yazı Çizim Kalemi,KTR TECH,indirimhanem,290,,7.8,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,3.6,,0,4815,"[""Kargo Bedava""]",11 saat 28 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/ktr-tech/tum-dokunmatik-cihazlara-ios-android-windows-uyumlu-tablet-ipad-yazi-cizim-kalemi-p-942265188?boutiqueId=61&merchantId=825484
elektronik:elektronik-vitrini,15,15,-7,84.5,42.1,1054271491,110546,1054271491:110546,Fibaks iPhone 13/14/15 Kılıf Pembe Leopar Desenli Esnek İnce Yumuşak Silikon,Fibaks,Fibaks,119.9,,6.1,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.6,,0,134,"[""Kargo Bedava""]",4 saat 28 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/fibaks/iphone-13-14-15-kilif-pembe-leopar-desenli-esnek-ince-yumusak-silikon-p-1054271491?boutiqueId=61&merchantId=110546
elektronik:elektronik-vitrini,22,22,0,71.6,41.7,1100163891,253958,1100163891:253958,Emsan Pro Multimax 6 in 1 Çok Amaçlı Mutfak Robotu Space Gray 2000 W,Emsan,KARACA ZÜCCACİYE,2298.99,2398.99,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.6,,0,121,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/emsan/pro-multimax-6-in-1-cok-amacli-mutfak-robotu-space-gray-2000-w-p-1100163891?boutiqueId=61&merchantId=253958
elektronik:elektronik-vitrini,21,21,-5,70.6,41.1,816182970,122323,816182970:122323,Genel Markalar Next Kanky HD Gold Full HD Uydu Alıcısı,Genel Markalar,WAAWSTAR,1449,,,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.5,1069,4,2028,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/genel-markalar/next-kanky-hd-gold-full-hd-uydu-alicisi-p-816182970?boutiqueId=61&merchantId=122323
elektronik:elektronik-vitrini,20,20,1,73.3,40.8,936609275,968,936609275:968,Xiaomi 4k Android Tv Box S Medya Oynatıcı (3. NESİL) (Xiaomi Türkiye Garantili),Xiaomi,Trendyol,3919,,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.7,1338,7,1319,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",2 saat 28 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/xiaomi/4k-android-tv-box-s-medya-oynatici-3-nesil-xiaomi-turkiye-garantili-p-936609275?boutiqueId=689770&merchantId=968
