rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
elektronik:elektronik-vitrini,193,193,-85,23.2,6.8,1136166555,107653,1136166555:107653,JOYSIDEA AYAKLI VANTİLATÖR KUMANDALI 90 DERECE SALINIMLI 16 İNÇ 8 KADEME HIZ AYARLI FN-99,JOYSIDEA,TechPazar,749,,-36.3,InStock,,,,,3.3,798,39,302,"[""15 TL Kupon"",""Kargo Bedava""]",11 saat 23 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/joysidea/ayakli-vantilator-kumandali-90-derece-salinimli-16-inc-8-kademe-hiz-ayarli-fn-99-p-1136166555?boutiqueId=61&merchantId=107653
elektronik:elektronik-vitrini,17,17,-5,93.5,37.3,723791701,747892,723791701:747892,RİOMİ Ipl Buz Lazer Epilasyon 999.999 Atım Otomatik/manuel Dokunmatik Ekran Ağrısız Vücut Yüz Cihazı,RİOMİ,RİOMİ TÜRKİYE,2389.92,,-17.6,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.4,,0,30415,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",11 saat 28 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/riomi/ipl-buz-lazer-epilasyon-999-999-atim-otomatik-manuel-dokunmatik-ekran-agrisiz-vucut-yuz-cihazi-p-723791701?boutiqueId=61&merchantId=747892
elektronik:elektronik-vitrini,44,44,18,32.2,15.4,46544176,109324,46544176:109324,Kiwi Ksı 650 1200w Portatif Buharlı Kırışık Giderici Dikey Ütü,Kiwi,Fırsat Dünyası,1022,,-14.8,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.4,3178,-3,1025,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/kiwi/ksi-650-1200w-portatif-buharli-kirisik-giderici-dikey-utu-p-46544176?boutiqueId=61&merchantId=109324
elektronik:elektronik-vitrini,141,141,-109,22.2,7.8,1146148704,968,1146148704:968,"KUMTEL KTF-355 Siyah 16 inç Ayaklı Vantilatör 50 W, 5 Pervaneli, 3 Kademeli, 121 cm Yükseklik",KUMTEL,Trendyol,599,,-14.3,InStock,,,,,3.9,,0,55,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",2 saat 25 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/kumtel/ktf-355-siyah-16-inc-ayakli-vantilator-50-w-5-pervaneli-3-kademeli-121-cm-yukseklik-p-1146148704?boutiqueId=689770&merchantId=968
elektronik:elektronik-vitrini,119,119,5,29.4,0.6,757653233,335426,757653233:335426,"KVK PRİVACY 18W/20W/25W Uyumlu Şarj Kılıfı – Örme Kablo Toparlayıcı, Kablo Koruyucu ve Düzenleyici Aparat",KVK PRİVACY,KVK PRİVACY,121.61,,-13.1,InStock,,,,,4.4,,0,2131,"[""Kargo Bedava""]",2 saat 25 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/kvk-privacy/18w-20w-25w-uyumlu-sarj-kilifi-orme-kablo-toparlayici-kablo-koruyucu-ve-duzenleyici-aparat-p-757653233?boutiqueId=61&merchantId=335426
elektronik:elektronik-vitrini,160,160,15,24.5,5.5,1041954051,335426,1041954051:335426,KVK PRİVACY iPhone 16 Uyumlu Pembe Leopar Desenli İnce Yumuşak Silikon Kılıf,KVK PRİVACY,KVK PRİVACY,101.22,,-11.6,InStock,,,,,4.6,,0,157,"[""Kargo Bedava""]",2 saat 24 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/kvk-privacy/iphone-16-uyumlu-pembe-leopar-desenli-ince-yumusak-silikon-kilif-p-1041954051?boutiqueId=61&merchantId=335426
elektronik:elektronik-vitrini,83,83,1,35,19.6,89542039,1096859,89542039:1096859,Genel Markalar Pubg Parmaklık Eldiveni 1 Çift 2 Adet Ve Oyun Konsolu,Genel Markalar,ARTEBA Global,12.5,13.89,-10,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,3.6,398,2,344,"[""Sepette %10 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/genel-markalar/pubg-parmaklik-eldiveni-1-cift-2-adet-ve-oyun-konsolu-p-89542039?boutiqueId=61&merchantId=1096859
elektronik:elektronik-vitrini,159,159,17,28.4,1.6,760659874,335426,760659874:335426,KVK PRİVACY Iphone 13-14-15 Uyumlu Içi Kadife Lansman Silikon Kılıf Kapak Kum Pembe,KVK PRİVACY,KVK PRİVACY,100.22,,-9.7,InStock,,,,,4.3,,0,463,"[""Kargo Bedava""]",2 saat 24 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/kvk-privacy/iphone-13-14-15-uyumlu-ici-kadife-lansman-silikon-kilif-kapak-kum-pembe-p-760659874?boutiqueId=61&merchantId=335426
elektronik:elektronik-vitrini,18,18,6,82.5,36.8,317122440,113012,317122440:113012,"KUMTEL KTF-258W Kule Tipi Beyaz Vantilatör – 50W, Zaman Ayarlı, 3 Hız Kademeli, Sessiz Çalışma",KUMTEL,KUMTEL,1419,,-8.3,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.3,5950,31,1882,"[""15 TL Kupon"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",11 saat 28 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/kumtel/ktf-258w-kule-tipi-beyaz-vantilator-50w-zaman-ayarli-3-hiz-kademeli-sessiz-calisma-p-317122440?boutiqueId=61&merchantId=113012
elektronik:elektronik-vitrini,133,133,-25,38.8,7.8,823686392,428379,823686392:428379,KOÇTAŞ YENİ NESİL KULE TİPİ VANTİLATÖR,KOÇTAŞ,EVESEN,999.9,1199,-6.5,InStock,,,,,4.2,600,5,364,"[""15 TL Kupon"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Peşin Fiyatına 3 Taksit"",""Son 10 günün en düşük fiyatı""]",11 saat 25 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/koctas/yeni-nesil-kule-tipi-vantilator-p-823686392?boutiqueId=61&merchantId=428379
elektronik:elektronik-vitrini,56,56,4,30.3,14.2,1139403146,113012,1139403146:113012,"KUMTEL KTF-345 Siyah 18 İnç Ayaklı Vantilatör 60 W, 5 Pervaneli, 3 Kademeli, 132 cm",KUMTEL,KUMTEL,1109,,-5.9,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.1,1869,23,313,"[""15 TL Kupon"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",11 saat 27 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/kumtel/ktf-345-siyah-18-inc-ayakli-vantilator-60-w-5-pervaneli-3-kademeli-132-cm-p-1139403146?boutiqueId=61&merchantId=113012
elektronik:elektronik-vitrini,178,178,-32,20.9,9.1,937894249,1003153,937894249:1003153,"SMAYLİNG Sessiz Kule Vantilatör 80cm Uzaktan Kumandalı, 3 Hızlı, Salınımlı, Taşınabilir Fan",SMAYLİNG,SMM TECH,1402.24,,-4.6,InStock,,,,,4.3,409,16,255,"[""15 TL Kupon"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/smayling/sessiz-kule-vantilator-80cm-uzaktan-kumandali-3-hizli-salinimli-tasinabilir-fan-p-937894249?boutiqueId=61&merchantId=1003153
elektronik:elektronik-vitrini,182,182,-55,24.2,5.8,1094128725,110546,1094128725:110546,Fibaks iPhone 18W/20W/25W Pembe Leopar Şarj Aleti Koruyucu Şarj Kablosu Örme Aparatlı Koruyucu Toparlayıcı,Fibaks,Fibaks,139.9,,-3.5,InStock,,,,,4.5,,0,233,"[""Kargo Bedava""]",4 saat 23 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/fibaks/iphone-18w-20w-25w-pembe-leopar-sarj-aleti-koruyucu-sarj-kablosu-orme-aparatli-koruyucu-toparlayici-p-1094128725?boutiqueId=61&merchantId=110546
elektronik:elektronik-vitrini,82,82,-3,33,15.9,345141997,110229,345141997:110229,Schafer Thermochef XL Airfryer/Sıcak Hava Fritözü-Siyah,Schafer,Schafer,2199,2299,-2.2,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.4,1163,5,591,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/schafer/thermochef-xl-airfryer-sicak-hava-fritozu-siyah-p-345141997?boutiqueId=61&merchantId=110229
elektronik:elektronik-vitrini,170,170,-66,25,5,68680447,1144968,68680447:1144968,Arçelik Altus Grundig Uydulu Lcd Led Tv Kumandası,Arçelik,fırsat yolu,116.5,,-1.7,InStock,,,,,4.3,1348,-4,848,"[""Kargo Bedava""]",1 saat 24 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/arcelik/altus-grundig-uydulu-lcd-led-tv-kumandasi-p-68680447?boutiqueId=61&merchantId=1144968
elektronik:elektronik-vitrini,49,49,6,32.3,12.8,840127874,108498,840127874:108498,Memo Cx07 Telefon Soğutucu Fan 15w Power Radyatörlü Magsafe Ve Aparatlı Telefon Ve Tablet Soğutucu,Memo,Akıllıphone,491.5,,-1.5,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.3,,0,5027,"[""Kargo Bedava""]",3 saat 27 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/memo/cx07-telefon-sogutucu-fan-15w-power-radyatorlu-magsafe-ve-aparatli-telefon-ve-tablet-sogutucu-p-840127874?boutiqueId=61&merchantId=108498
elektronik:elektronik-vitrini,161,161,-40,31.4,0,344060466,108980,344060466:108980,VOLEMİ Profesyonel 2200W Hava Üflemeli Saç Şekillendirici İyonik Düzleştirici Fön Tarağı Ve Hacim Verici Fırça V-0167,VOLEMİ,EVKOLİK,399,,-1,InStock,,,,,3.9,,0,1540,"[""Kargo Bedava"",""Sepette %10 İndirim"",""Son 10 Günün En Düşük Fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/volemi/profesyonel-2200w-hava-uflemeli-sac-sekillendirici-iyonik-duzlestirici-fon-taragi-ve-hacim-verici-firca-v-0167-p-344060466?boutiqueId=61&merchantId=108980
elektronik:elektronik-vitrini,101,101,6,30.1,19.3,714313436,107979,714313436:107979,Fujifilm Instax Mini 12 Makineler Ile Uyumlu 20'li Film (20 POZ),Fujifilm,Desibela,1189,1249,-0.4,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.7,434,8,264,"[""25 TL Kupon"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",2 saat 26 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/fujifilm/instax-mini-12-makineler-ile-uyumlu-20-li-film-20-poz-p-714313436?boutiqueId=61&merchantId=107979
elektronik:elektronik-vitrini,100,100,-25,35.1,10.4,260033,110463,260033:110463,FANTOM Pratıc-S P1200 Toz Torbasız Dikey Süpürge Kırmızı,FANTOM,BULUTTABUL,2369,,-0.3,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.6,7292,-7,2804,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",1 saat 26 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/fantom/pratic-s-p1200-toz-torbasiz-dikey-supurge-kirmizi-p-260033?boutiqueId=61&merchantId=110463
elektronik:elektronik-vitrini,54,54,57,25.8,21.8,922158266,730777,922158266:730777,"Philips Lumea 9900 Serisi BRI953/01 IPL Tüy Alma, SkinAI Uygulama,Vücut,Yüz ve Bikini,3 Başlık,Çanta",Philips,CVZ TEKNOLOJİ,15747.95,16235,-0.1,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.3,212,2,1065,"[""Kargo Bedava"",""Peşin Fiyatına 9 Taksit""]",11 saat 27 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/philips/lumea-9900-serisi-bri953-01-ipl-tuy-alma-skinai-uygulama-vucut-yuz-ve-bikini-3-baslik-canta-p-922158266?boutiqueId=61&merchantId=730777
