rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
elektronik:elektronik-vitrini,96,96,85,11.8,32.8,932102878,858465,932102878:858465,"ARVALE Akıllı Bluetooth Tartı | Vücut Analizli Dijital Baskül – 180 kg, LCD Ekran, Mobil Uyumlu",ARVALE,ARVALE,196.99,,0,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,3.8,8,1,6,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/arvale/akilli-bluetooth-tarti-vucut-analizli-dijital-baskul-180-kg-lcd-ekran-mobil-uyumlu-p-932102878?boutiqueId=61&merchantId=858465
elektronik:elektronik-vitrini,138,138,61,41.3,1.5,792465356,968,792465356:968,Havit Gamenote H2040D RGB Aydınlatmalı Mikrofonlu Gaming Oyuncu Kulaklığı - 3.5mm Jack + USB,Havit,Trendyol,479,549,0,InStock,,,,,4.2,,0,2445,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",2 saat 25 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/havit/gamenote-h2040d-rgb-aydinlatmali-mikrofonlu-gaming-oyuncu-kulakligi-3-5mm-jack-usb-p-792465356?boutiqueId=689770&merchantId=968
elektronik:elektronik-vitrini,139,139,61,31.6,0,411917852,109324,411917852:109324,Kiwi Kep-6833 Pro Ipl / Lazer Epilasyon,Kiwi,Fırsat Dünyası,1399,,11.5,InStock,,,,,3.6,8857,0,12797,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/kiwi/kep-6833-pro-ipl-lazer-epilasyon-p-411917852?boutiqueId=61&merchantId=109324
elektronik:elektronik-vitrini,54,54,57,25.8,21.8,922158266,730777,922158266:730777,"Philips Lumea 9900 Serisi BRI953/01 IPL Tüy Alma, SkinAI Uygulama,Vücut,Yüz ve Bikini,3 Başlık,Çanta",Philips,CVZ TEKNOLOJİ,15747.95,16235,-0.1,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.3,212,2,1065,"[""Kargo Bedava"",""Peşin Fiyatına 9 Taksit""]",11 saat 27 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/philips/lumea-9900-serisi-bri953-01-ipl-tuy-alma-skinai-uygulama-vucut-yuz-ve-bikini-3-baslik-canta-p-922158266?boutiqueId=61&merchantId=730777
elektronik:elektronik-vitrini,51,51,52,29.4,15.2,815470422,109324,815470422:109324,Kiwi Ksı-646 2'si 1 Arada Buharlı Ütü Krem,Kiwi,Fırsat Dünyası,1149,,16.1,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.3,,0,287,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/kiwi/ksi-646-2-si-1-arada-buharli-utu-krem-p-815470422?boutiqueId=61&merchantId=109324
elektronik:elektronik-vitrini,43,43,51,27.9,20.2,736143047,107653,736143047:107653,JOYSIDEA Mandallı Akrobat Vantilatör Fn-50,JOYSIDEA,TechPazar,199,,2.1,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,3.8,913,2,144,"[""15 TL Kupon"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/joysidea/mandalli-akrobat-vantilator-fn-50-p-736143047?boutiqueId=61&merchantId=107653
elektronik:elektronik-vitrini,86,86,47,28.9,15.7,730130225,105276,730130225:105276,Philips Qp2724/10 Oneblade Yüz Şekillendirici,Philips,Ereyon,1421.32,,,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.5,1230,-1,1242,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",2 saat 26 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/philips/qp2724-10-oneblade-yuz-sekillendirici-p-730130225?boutiqueId=61&merchantId=105276
elektronik:elektronik-vitrini,113,113,46,29.3,15.3,815114663,126783,815114663:126783,Hairens HRS-720 Seramik Uzun Saç Maşası 25 mm.,Hairens,Hairens,1099,,45.9,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.5,,0,135,"[""Kargo Bedava"",""Sepette %10 İndirim"",""Peşin Fiyatına 3 Taksit"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/hairens/hrs-720-seramik-uzun-sac-masasi-25-mm-p-815114663?boutiqueId=61&merchantId=126783
elektronik:elektronik-vitrini,95,95,45,33.4,11.1,685744930,535008,685744930:535008,Ocado Beyaz 1. Nesil Pro A Kalite Uyumlu Tüm Telefonlar Ile Uyumlu Bluetooth 5.0 Kulaklık,Ocado,Ocado,486.18,,0,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4,,0,3471,"[""Sepette %1 İndirim"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/ocado/beyaz-1-nesil-pro-a-kalite-uyumlu-tum-telefonlar-ile-uyumlu-bluetooth-5-0-kulaklik-p-685744930?boutiqueId=61&merchantId=535008
elektronik:elektronik-vitrini,153,153,44,23.9,6.1,877002459,984136,877002459:984136,Xiaomi Power Bank USB ve USB-C Portu ve USB-C Entegre Kablo 20000mAh 33W BHR8851GL - Tan,Xiaomi,Xiaomi Resmi Mağazası,1549,,0,InStock,,,,,4.6,,0,471,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",11 saat 24 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/xiaomi/power-bank-usb-ve-usb-c-portu-ve-usb-c-entegre-kablo-20000mah-33w-bhr8851gl-tan-p-877002459?boutiqueId=61&merchantId=984136
