bestseller_rank,rank_delta,trend_score,niche_score,product_id,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
32,58,30.8,59.2,1121311540,Ltb Logo Baskılı Siyah T-shırt,Ltb,MARKASTATION,649.99,,261.1,InStock,Son 3 günde 500+ ürün satıldı!,4.3,3,0,2,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",22 saat 23 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/ltb/logo-baskili-siyah-t-shirt-p-1121311540?boutiqueId=61&merchantId=152999
37,,22.2,55.3,1152688316,Ltb Logo Baskılı Lacivert T-shırt,Ltb,MARKASTATION,749.99,,,InStock,Son 3 günde 500+ ürün satıldı!,4.1,5,,9,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",22 saat 23 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/ltb/logo-baskili-lacivert-t-shirt-p-1152688316?boutiqueId=61&merchantId=152999
39,31,25.3,52.2,1109047097,Ltb Şeritli Logo Baskılı Siyah T-shırt,Ltb,TREND STAR MAĞAZACILIK TEKSTİL,559.55,589,210.9,InStock,Son 3 günde 500+ ürün satıldı!,4.8,10,0,7,"[""Sepette %5 İndirim"",""Kargo Bedava""]",22 saat 23 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/ltb/seritli-logo-baskili-siyah-t-shirt-p-1109047097?boutiqueId=61&merchantId=325790
46,-7,87.2,39.8,1166097828,U.S. Polo Assn. Erkek Beyaz Slim Fit Polo Yaka Basic Tişört 50326975-VR013,U.S. Polo Assn. Erkek,U.S. Polo Assn.,639.98,1599.95,0,InStock,Son 3 günde 500+ ürün satıldı!,4.3,,0,65,"[""Sepette %60 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/u-s-polo-assn/erkek-beyaz-slim-fit-polo-yaka-basic-tisort-50326975-vr013-p-1166097828?boutiqueId=61&merchantId=163
54,,8.8,38.7,1105175213,Ltb Krem T-shırt,Ltb,Sportuel,450.49,,,InStock,Son 3 günde 250+ ürün satıldı!,3.8,2,,1,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",9 saat 22 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/ltb/krem-t-shirt-p-1105175213?boutiqueId=61&merchantId=107831
63,,10.6,36.9,1097771843,Ltb Kısa Kollu Bisiklet Yaka Sign Baskılı Siyah T-shırt,Ltb,Sportuel,424.99,,,InStock,Son 3 günde 250+ ürün satıldı!,4.3,4,,2,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",9 saat 22 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/ltb/kisa-kollu-bisiklet-yaka-sign-baskili-siyah-t-shirt-p-1097771843?boutiqueId=61&merchantId=107831
66,,15.6,36.9,1155228036,Ltb Kontrast Kol Detaylı Pike Beyaz T-shırt,Ltb,TREND STAR MAĞAZACILIK TEKSTİL,1044.05,1099,,InStock,Son 3 günde 250+ ürün satıldı!,4.5,4,,6,"[""Sepette %5 İndirim"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",22 saat 22 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/ltb/kontrast-kol-detayli-pike-beyaz-t-shirt-p-1155228036?boutiqueId=61&merchantId=325790
105,-55,5.6,24.4,1114055123,Ltb Slogan Baskılı Basic Lacivert T-shırt,Ltb,MARKASTATION,649.99,,261.1,InStock,,4.7,4,1,5,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",22 saat 21 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/ltb/slogan-baskili-basic-lacivert-t-shirt-p-1114055123?boutiqueId=61&merchantId=152999
110,,0,,1116768078,Ltb Flamlı Basic Lacivert T-shırt,Ltb,MARKASTATION,549.99,,,InStock,,,,,,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",22 saat 21 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/ltb/flamli-basic-lacivert-t-shirt-p-1116768078?boutiqueId=61&merchantId=152999
118,,3.8,26.2,1109047086,Ltb Logo Baskılı Beyaz T-shırt,Ltb,Sportuel,499.99,,,InStock,,5,,,4,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",9 saat 20 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/ltb/logo-baskili-beyaz-t-shirt-p-1109047086?boutiqueId=61&merchantId=107831
187,,24.3,5.7,2426377,Slazenger Edt 125 Ml + 150 Ml Deo Mavi,Slazenger,odak kozmetik paz tic ltd şti,690,,,InStock,,4.5,1101,,190,"[""Kargo Bedava""]",11 saat 18 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/slazenger/edt-125-ml-150-ml-deo-mavi-p-2426377?boutiqueId=61&merchantId=110245
