bestseller_rank,rank_delta,trend_score,niche_score,product_id,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
193,-164,24,6,971346192,LumenaScent S401 Erkek Parfüm Woody Edp 50 ml,LumenaScent,FarmaStar,426.55,,0,InStock,Son 3 günde 500+ ürün satıldı!,3.9,992,6,,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/lumenascent/s401-erkek-parfum-woody-edp-50-ml-p-971346192?boutiqueId=61&merchantId=733266
196,-159,28.7,36.3,468246535,Bargello Sevgililer Günü Erkek 50 Ml Parfüm Edp,Bargello,Bargello Parfüm Yavuzselim,600,,140,InStock,Son 3 günde 500+ ürün satıldı!,4.2,217,4,74,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/bargello/sevgililer-gunu-erkek-50-ml-parfum-edp-p-468246535?boutiqueId=61&merchantId=997063
194,-158,39.7,25.3,220058044,TDRS Dark Royal Ozonik Özel Seri Uzun Süre Kalıcı 100 ML EDP Erkek Parfüm,TDRS,Tudors,400.45,,6.3,InStock,Son 3 günde 500+ ürün satıldı!,4.3,5196,4,614,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",5 saat 20 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/tdrs/dark-royal-ozonik-ozel-seri-uzun-sure-kalici-100-ml-edp-erkek-parfum-p-220058044?boutiqueId=61&merchantId=139435
195,-154,39.5,25.5,875712530,Jeven Brus Libido Erkek Parfüm - Extrait de Parfum 50 ml,Jeven Brus,Jeven Brus Parfüm,1890,,5.3,InStock,Son 3 günde 500+ ürün satıldı!,4,4827,13,475,"[""Kargo Bedava""]",5 saat 20 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/jeven-brus/libido-erkek-parfum-extrait-de-parfum-50-ml-p-875712530?boutiqueId=61&merchantId=650812
197,-109,26.2,3.8,5999692,Defacto Black Erkek Aromatik 50 ml Parfüm L4179AZNS,Defacto,DeFacto,299.99,,0,InStock,,4.3,1900,-3,272,[],Tahmini Teslim:,refreshed,0,https://www.trendyol.com/defacto/black-erkek-aromatik-50-ml-parfum-l4179azns-p-5999692?boutiqueId=61&merchantId=1188
162,-93,5.6,24.4,1155228036,Ltb Kontrast Kol Detaylı Pike Beyaz T-shırt,Ltb,LTB,269.99,,-74.1,InStock,,4.5,4,0,6,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Sepette %5 İndirim"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/ltb/kontrast-kol-detayli-pike-beyaz-t-shirt-p-1155228036?boutiqueId=61&merchantId=346
165,-76,29.5,0.5,162152054,Palmolive Moments Nemlendirici Banyo ve Duş Jeli 500 ml x4 Adet Vücut Şampuanı + Seyahat Kiti Hediye,Palmolive,Colgate-Palmolive Kişisel Bakım Merkezi,372.63,,-5.9,InStock,,4.8,4809,-41,297,"[""Kargo Bedava"",""Sepette %1 İndirim""]",14 saat 21 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/palmolive/moments-nemlendirici-banyo-ve-dus-jeli-500-ml-x4-adet-vucut-sampuani-seyahat-kiti-hediye-p-162152054?boutiqueId=61&merchantId=138932
92,-59,9.8,37.7,1121311540,Ltb Logo Baskılı Siyah T-shırt,Ltb,MARKASTATION,629.99,,-3.1,InStock,Son 3 günde 250+ ürün satıldı!,3.9,3,0,4,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",14 saat 23 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/ltb/logo-baskili-siyah-t-shirt-p-1121311540?boutiqueId=61&merchantId=152999
60,-52,24.6,22.9,1183220792,"Xoom Liberty Kadın Duş Jeli 200 ML – Cildi nemlendiren , Kalıcı Koku",Xoom,ENUCUZAVN,399,,-59.3,InStock,Son 3 günde 250+ ürün satıldı!,5,282,281,5,"[""Kargo Bedava""]",14 saat 23 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/xoom/liberty-kadin-dus-jeli-200-ml-cildi-nemlendiren-kalici-koku-p-1183220792?boutiqueId=61&merchantId=107599
186,-51,26.9,3.1,268194848,Live Success Kalın Tabanlı Ortopedik Iç Tabanlı Çok Amaçlı Deniz Ayakkabısı Havuz Plaj Bahçe Ev Patiği,Live Success,Atlanta Ayakkabı,349.9,,0,InStock,,4.5,,0,311,"[""Kargo Bedava""]",2 saat 20 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/live-success/kalin-tabanli-ortopedik-ic-tabanli-cok-amacli-deniz-ayakkabisi-havuz-plaj-bahce-ev-patigi-p-268194848?boutiqueId=61&merchantId=589366
