bestseller_rank,rank_delta,trend_score,niche_score,product_id,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
107,-43,27.3,20.2,1044998856,Paul Parker Erkek 10'lu Pamuklu Likralı Siyah Boxer,Paul Parker,PAUL PARKER,260.68,,-56.2,InStock,Son 3 günde 250+ ürün satıldı!,3.5,607,2,331,"[""Sepette %2 İndirim"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",5 saat 24 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/paul-parker/erkek-10-lu-pamuklu-likrali-siyah-boxer-p-1044998856?boutiqueId=61&merchantId=106591
133,-89,37,3,267364045,Monalisa 500 Adet Siyah Perma Saç Örgü Lastiği,Monalisa,Monalisa Toka,34.76,38.62,-53.6,InStock,,4.5,,0,32,"[""Sepette %10 İndirim"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",5 saat 24 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/monalisa/500-adet-siyah-perma-sac-orgu-lastigi-p-267364045?boutiqueId=61&merchantId=496056
118,-15,34.9,12.6,35297753,Clear Men Kepeğe Karşı Etkili Şampuan Cool Sport Menthol 600 ml x3,Clear,Unilever,509.21,,-43.4,InStock,Son 3 günde 250+ ürün satıldı!,4.7,5462,0,366,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/clear/men-kepege-karsi-etkili-sampuan-cool-sport-menthol-600-ml-x3-p-35297753?boutiqueId=61&merchantId=378048
99,-31,33.3,14.2,834529801,ORNATE Karınca Yumurtası Tüy Dökücü Krem (UNİSEX),ORNATE,Beauty Stock,233.51,,-41.6,InStock,Son 3 günde 250+ ürün satıldı!,4,3426,2,1893,[],14 saat 25 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/ornate/karinca-yumurtasi-tuy-dokucu-krem-unisex-p-834529801?boutiqueId=61&merchantId=707288
33,6,121.3,33.5,716412326,New Well Ter Önleyici Beyazlatıcı Roll-on 50 ml,New Well,NEW WELL,191.31,499.9,-29.4,InStock,Son 3 günde 500+ ürün satıldı!,4.5,,-16678,2002,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",1 saat 26 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/new-well/ter-onleyici-beyazlatici-roll-on-50-ml-p-716412326?boutiqueId=61&merchantId=529402
137,36,23.6,6.4,801056262,D'S Damat Ds Damat Slim Fit Siyah Beli Lastikli İpli Fermuarlı Likralı Rahat Jogger Pantolon,D'S Damat Ds,DS DAMAT,1154.66,,-27.8,InStock,,4.3,,0,768,"[""Sepette %25 İndirim"",""Süper Fırsat Ürünü"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",5 saat 24 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/d-s-damat/ds-damat-slim-fit-siyah-beli-lastikli-ipli-fermuarli-likrali-rahat-jogger-pantolon-p-801056262?boutiqueId=61&merchantId=159
93,-31,33.8,13.7,742234279,WOU World of Unique Wou Ter Önleyici Beyazlatıcı Roll-On Deodorant 75 ml,WOU World of Unique,Kozfa Store,203.5,,-23.2,InStock,Son 3 günde 250+ ürün satıldı!,4.5,3986,-14,464,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/wou-world-of-unique/wou-ter-onleyici-beyazlatici-roll-on-deodorant-75-ml-p-742234279?boutiqueId=61&merchantId=1194314
145,18,26.9,3.1,809841847,Batçı Saç Kapatıcı Dolgunlaştırıcı Sıvı Krem 30 ml,Batçı,Batçı Cosmetic,572.38,,-21.6,InStock,,3.9,2313,9,1677,"[""Kargo Bedava""]",5 saat 24 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/batci/sac-kapatici-dolgunlastirici-sivi-krem-30-ml-p-809841847?boutiqueId=61&merchantId=774575
84,-49,28.6,18.9,953633592,weem Karınca Yumurtası Yağı içeren Tüy Dökücü Krem 200 ml (Unisex Kullanım),weem,Nova Global Kozmetik,213.07,,-21.1,InStock,Son 3 günde 250+ ürün satıldı!,4.1,882,2,337,"[""Kargo Bedava""]",14 saat 25 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/weem/karinca-yumurtasi-yagi-iceren-tuy-dokucu-krem-200-ml-unisex-kullanim-p-953633592?boutiqueId=61&merchantId=1215958
126,14,32.8,24.5,1093665562,Tonny Black Unisex Bej Termo Taban Yanı Şeritli Bağcıklı Spor Ayakkabı,Tonny Black,Tonny Black,553.75,613.75,-21.1,InStock,Son 3 günde 250+ ürün satıldı!,3.7,,0,19,"[""Kargo Bedava""]",3 saat 24 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/tonny-black/unisex-bej-termo-taban-yani-seritli-bagcikli-spor-ayakkabi-p-1093665562?boutiqueId=61&merchantId=106292
