rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
erkek:genel-erkek,142,142,-60,37.3,2.7,267360421,496056,267360421:496056,Monalisa 500 Adet Renkli Saç Örgü Lastiği,Monalisa,Monalisa Toka,22.12,24.58,-55.7,InStock,,,,,4.2,,0,87,"[""Sepette %10 İndirim"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",5 saat 21 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/monalisa/500-adet-renkli-sac-orgu-lastigi-p-267360421?boutiqueId=61&merchantId=496056
erkek:genel-erkek,101,101,,56.4,13.2,210516046,674296,210516046:674296,Mad Parfüm Mad Narcotic 100 ml Erkek Parfüm - Unisex | Çiçeksi . Meyvemsi . Karizmatik,Mad Parfüm,MAD PARFÜM,1499.99,1999.99,-25,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.3,2513,-2,1083,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/mad-parfum/mad-narcotic-100-ml-erkek-parfum-unisex-ciceksi-meyvemsi-karizmatik-p-210516046?boutiqueId=61&merchantId=674296
erkek:erkek-parfum,2,146,43,127.3,27.7,211235327,674296,211235327:674296,Mad Parfüm Mad Bruno Gold 100 ml Unisex Parfüm | Meyvemsi . Amber . Etkileyici,Mad Parfüm,MAD PARFÜM,1499.99,1999.99,-25,InStock,,,,,4.3,1941,2,1008,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/mad-parfum/mad-bruno-gold-100-ml-unisex-parfum-meyvemsi-amber-etkileyici-p-211235327?boutiqueId=61&merchantId=674296
erkek:genel-erkek,7,7,26,148.6,71.5,716412326,634825,716412326:634825,New Well Ter Önleyici Beyazlatıcı Roll-on 50 ml,New Well,FASİA,220,271,-18.8,InStock,Son 3 günde 2B+ ürün satıldı!,3,2000,666.7,4.5,16634,16634,1999,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",14 saat 25 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/new-well/ter-onleyici-beyazlatici-roll-on-50-ml-p-716412326?boutiqueId=61&merchantId=634825
erkek:genel-erkek,1,1,0,147.4,74.5,776827526,1279865,776827526:1279865,Embeauty 9 Aktifli Saç Dökülmesine Karşı Hızlı Saç Uzatan & Onarıcı Dolgunlaştırıcı Besleyici Şampuan 400 ML,Embeauty,Viel Kozmetik,327.89,,-17.6,InStock,Son 3 günde 10B+ ürün satıldı!,3,10000,3333.3,4.1,,0,16891,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/embeauty/9-aktifli-sac-dokulmesine-karsi-hizli-sac-uzatan-onarici-dolgunlastirici-besleyici-sampuan-400-ml-p-776827526?boutiqueId=61&merchantId=1279865
erkek:genel-erkek,28,28,2,69.9,34.3,777615790,1194314,777615790:1194314,"WOU World of Unique Stick Krem, Koltuk Altı Terleme Önleyici 48 Saat Etkin Koruma Vegan, Erkek Koltu",WOU World of Unique,Kozfa Store,199.69,221.77,-16.8,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.5,2783,4,221,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/wou-world-of-unique/stick-krem-koltuk-alti-terleme-onleyici-48-saat-etkin-koruma-vegan-erkek-koltu-p-777615790?boutiqueId=61&merchantId=1194314
erkek:genel-erkek,113,113,-39,29.4,16.8,1075383404,1131444,1075383404:1131444,Lera The Natural Biotin Ve Keratin Saç Dökülmesine Karşı Hızlı Saç Uzatan Onarıcı Besleyici Şampuan,Lera The Natural,Lera The Natural,340.09,345.64,-14.8,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4,887,2,,"[""Son 10 Günün En Düşük Fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/lera-the-natural/biotin-ve-keratin-sac-dokulmesine-karsi-hizli-sac-uzatan-onarici-besleyici-sampuan-p-1075383404?boutiqueId=61&merchantId=1131444
erkek:genel-erkek,35,35,94,43,33.6,34463249,108880,34463249:108880,OGX Biotin & Kolajen Dolgunlaştırıcı Sülfatsız Şampuan 385 ml x2,OGX,Kenvue Türkiye,474.87,,-10,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.4,1219,1,307,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Trendyol Plus'a Özel""]",4 saat 24 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/ogx/biotin-kolajen-dolgunlastirici-sulfatsiz-sampuan-385-ml-x2-p-34463249?boutiqueId=61&merchantId=108880
erkek:genel-erkek,128,128,11,22.4,17.6,1164116598,109643,1164116598:109643,"Laslusa Butter Tereyağı & Cheese Peynir Squishy 2'li Paket – Slow Rising Sıkılabilir Stres Oyuncağı, Duyusal Fidget Oyuncak",Laslusa,Rüya Gezegeni,410.4,456,-5.1,InStock,,,,,3.5,34,3,54,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",14 saat 22 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/laslusa/butter-tereyagi-cheese-peynir-squishy-2-li-paket-slow-rising-sikilabilir-stres-oyuncagi-duyusal-fidget-oyuncak-p-1164116598?boutiqueId=61&merchantId=109643
erkek:genel-erkek,30,30,-2,68.4,30.8,37206082,347,37206082:347,AC&Co / Altınyıldız Classics Erkek Çekmeyen Pamuklu Kumaş Slim Fit Dar Kesim Beyaz Kıvrılmaz Polo Yaka T-shirt,AC&Co / Altınyıldız Classics,Altınyıldız Classics,427.49,449.99,-5,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.6,,0,219,"[""Sepette %5 İndirim""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/ac-co-altinyildiz-classics/erkek-cekmeyen-pamuklu-kumas-slim-fit-dar-kesim-beyaz-kivrilmaz-polo-yaka-t-shirt-p-37206082?boutiqueId=61&merchantId=347
erkek:genel-erkek,36,36,7,34.7,44.5,1162265524,347,1162265524:347,AC&Co / Altınyıldız Classics Erkek GRI-GRI Pamuklu Slim Fit Dar Kesim Polo Yaka Tişört,AC&Co / Altınyıldız Classics,Altınyıldız Classics,322.99,339.99,-5,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.5,,0,1,"[""Sepette %5 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/ac-co-altinyildiz-classics/erkek-gri-gri-pamuklu-slim-fit-dar-kesim-polo-yaka-tisort-p-1162265524?boutiqueId=61&merchantId=347
erkek:genel-erkek,67,67,3,40.6,10.4,38060393,347,38060393:347,AC&Co / Altınyıldız Classics Erkek Çekmeyen Pamuklu Kumaş Slim Fit Dar Kesim Lacivert Kıvrılmaz Polo Yaka Tişört,AC&Co / Altınyıldız Classics,Altınyıldız Classics,379.99,399.99,-5,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.7,,0,29,"[""Sepette %5 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/ac-co-altinyildiz-classics/erkek-cekmeyen-pamuklu-kumas-slim-fit-dar-kesim-lacivert-kivrilmaz-polo-yaka-tisort-p-38060393?boutiqueId=61&merchantId=347
