bestseller_rank,rank_delta,trend_score,niche_score,product_id,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
198,-180,33,18.5,962499019,"Yunus Göksu Design Mutfak Rulo Tutucusu- Düzenleyicisi (1 adet, 2' li ürün)",Yunus Göksu Design,Innoway,159.36,166,-4.6,InStock,Son 3 günde 250+ ürün satıldı!,3.3,,0,65,"[""Sepette %4 İndirim"",""Sepette %1 İndirim"",""Kargo Bedava""]",1 saat 45 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/yunus-goksu-design/mutfak-rulo-tutucusu-duzenleyicisi-1-adet-2-li-urun-p-962499019?boutiqueId=61&merchantId=1119631
164,-128,30.3,0,834744611,Squall Semplice Meşe Dekoratif Duvar Rafı 54x16 Cm,Squall,astek bilişim,180.48,,-5.9,InStock,,4.4,,0,432,"[""Kargo Bedava""]",13 saat 46 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/squall/semplice-mese-dekoratif-duvar-rafi-54x16-cm-p-834744611?boutiqueId=61&merchantId=116498
166,-128,18.5,11.5,1131640210,MaVaux Velora Set 3’lü Halat Sepet Banyo Organizer Dekoratif Düzenleyici El Yapımı Sepet Seti,MaVaux,Rönesans Tekstil LTD,335,,16.3,InStock,,4.8,,0,12,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/mavaux/velora-set-3-lu-halat-sepet-banyo-organizer-dekoratif-duzenleyici-el-yapimi-sepet-seti-p-1131640210?boutiqueId=61&merchantId=529377
169,-124,22.6,7.4,1081065636,"Fitruka Vanilya Kokulu Dekoratif Set – Yuvarlak Tepsili, Lotus Mumlu ve Oda Kokulu Şık Tasarım",Fitruka,Fitruka,170.99,,0,InStock,,4.6,663,11,109,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",3 saat 46 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/fitruka/vanilya-kokulu-dekoratif-set-yuvarlak-tepsili-lotus-mumlu-ve-oda-kokulu-sik-tasarim-p-1081065636?boutiqueId=61&merchantId=1061217
168,-122,21.6,8.4,1141567610,Printorium Askılı Kedi Raf Dekoru 24 CM – LED Fenerli Minimal Salon & Balkon Aksesuarı (PLASTİK) -TEALİGHT HEDİYELİ,Printorium,Printorium,199.99,,0,InStock,,4,,0,48,"[""Sepette %2 İndirim"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",13 saat 46 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/printorium/askili-kedi-raf-dekoru-24-cm-led-fenerli-minimal-salon-balkon-aksesuari-plastik-tealight-hediyeli-p-1141567610?boutiqueId=61&merchantId=1095092
149,-116,25.8,4.2,990051366,Havalı Tasarım Dekoratif Fırsat Set 5 Parça Standlı,Havalı Tasarım,Havalı Tasarım AYB,154.45,,14.1,InStock,,4.1,,0,136,"[""Kargo Bedava""]",13 saat 46 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/havali-tasarim/dekoratif-firsat-set-5-parca-standli-p-990051366?boutiqueId=61&merchantId=979142
143,-115,23.5,6.5,94776163,vipgross Kapak Içi Kesim Panoluk Magazinlik/panoluk,vipgross,vipgross,284.99,,0,InStock,,4.6,863,5,103,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",13 saat 47 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/vipgross/kapak-ici-kesim-panoluk-magazinlik-panoluk-p-94776163?boutiqueId=61&merchantId=448850
152,-115,18,12,1053971598,Çiçek 3’lü Mini Yapay Bitki Seti – Dekoratif Saksılı Modern Masa Üstü,Çiçek,Evim de Evim,199.99,,0,InStock,,4.5,175,4,48,"[""Kargo Bedava""]",13 saat 46 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/cicek/3-lu-mini-yapay-bitki-seti-dekoratif-saksili-modern-masa-ustu-p-1053971598?boutiqueId=61&merchantId=1193904
183,-110,9.2,20.8,1177655103,H&E LUXURY DESIGN 2'li Koyu Yeşil Okaliptus ve Sarmaşık Sarkıt Seti Yapay Çiçek 80 cm (SAKSISIZ),H&E LUXURY DESIGN,H&E Design,249.86,,0,InStock,,4.6,13,1,4,"[""Kargo Bedava""]",13 saat 46 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/h-e-luxury-design/2-li-koyu-yesil-okaliptus-ve-sarmasik-sarkit-seti-yapay-cicek-80-cm-saksisiz-p-1177655103?boutiqueId=61&merchantId=529219
186,-109,27.2,2.8,852270857,Mariesse Home Naturel Sisal Jüt Halı Modern Yıkanabilir Toz Vermez Halı,Mariesse Home,MARİESSE HOME,114.67,,11.9,InStock,,4.4,,0,896,"[""Kargo Bedava""]",13 saat 46 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/mariesse-home/naturel-sisal-jut-hali-modern-yikanabilir-toz-vermez-hali-p-852270857?boutiqueId=61&merchantId=435670
