bestseller_rank,rank_delta,trend_score,niche_score,product_id,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
118,76,23.1,24.4,1060913741,Spartek home textile 2Adet-KAPAKLI Desenli Dolap İçi Çamaşır Oyuncak Düzenleyici Katlanır Kapaklı Saklama Kutusu 30x30x30,Spartek home textile,Spartek home textile,189.9,,0,InStock,Son 3 günde 250+ ürün satıldı!,4.3,180,1,24,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",4 saat 48 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/spartek-home-textile/2adet-kapakli-desenli-dolap-ici-camasir-oyuncak-duzenleyici-katlanir-kapakli-saklama-kutusu-30x30x30-p-1060913741?boutiqueId=61&merchantId=1011549
89,75,18,29.5,1087972788,BEYZANA 10 Adet Güçlü Kendinden Yapışkanlı Raf Çerçeve Tutucu Kanca Askı,BEYZANA,BEYZANA,31.98,,-3,InStock,Son 3 günde 250+ ürün satıldı!,4,41,0,14,"[""Kargo Bedava""]",13 saat 48 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/beyzana/10-adet-guclu-kendinden-yapiskanli-raf-cerceve-tutucu-kanca-aski-p-1087972788?boutiqueId=61&merchantId=638780
41,74,56.5,23.8,1051805192,SUPERPUP STREÇ FOLYO RULO ORGANİZERİ 3 KATLI DÜZENLEYİCİ YAPIŞKANLI SAKLAMA KABI HEDİYELİ,SUPERPUP,SUPERPUP,48.51,67.68,-35.3,InStock,Son 3 günde 250+ ürün satıldı!,4.4,790,1,59,"[""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",13 saat 50 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/superpup/strec-folyo-rulo-organizeri-3-katli-duzenleyici-yapiskanli-saklama-kabi-hediyeli-p-1051805192?boutiqueId=61&merchantId=737675
124,71,32.8,14.7,870505638,"Nandy Home 10 Parça Çekmece İçi Kaşıklık, Düzenleyici, Organizer",Nandy Home,Nandy Home,176.37,,0,InStock,Son 3 günde 250+ ürün satıldı!,4.5,,0,138,"[""Kargo Bedava""]",13 saat 47 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/nandy-home/10-parca-cekmece-ici-kasiklik-duzenleyici-organizer-p-870505638?boutiqueId=61&merchantId=180667
2,69,105.7,60.3,1153992380,Galeriyo Makyaj Organizeri Çekmeceli Tavşan ve 360 Derece Dönebilen 5 Bölmeli İkili Set Beyaz,Galeriyo,Galeriyo,345.51,349,22.1,InStock,Son 3 günde 500+ ürün satıldı!,4.3,215,8,28,"[""Sepette %1 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/galeriyo/makyaj-organizeri-cekmeceli-tavsan-ve-360-derece-donebilen-5-bolmeli-ikili-set-beyaz-p-1153992380?boutiqueId=61&merchantId=984526
120,64,34.9,12.6,939718795,KAMİZ Fırfırlı Keten Runner & 6'lı Fıfırlı Supla Seti - 7 Parça Çeyiz Seti,KAMİZ,KAMİZ,240.29,,-29.3,InStock,Son 3 günde 250+ ürün satıldı!,4.3,,0,344,"[""Trendyol Plus'a Özel""]",1 saat 48 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/kamiz/firfirli-keten-runner-6-li-fifirli-supla-seti-7-parca-ceyiz-seti-p-939718795?boutiqueId=61&merchantId=311492
49,59,24.1,23.9,921095521,Yataş Eco Dormy Full Kenar Sıvı Geçirmez Alez,Yataş,Yataş,579.9,,3.6,InStock,Son 3 günde 250+ ürün satıldı!,4.5,240,2,118,"[""Kargo Bedava""]",13 saat 49 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/yatas/eco-dormy-full-kenar-sivi-gecirmez-alez-p-921095521?boutiqueId=61&merchantId=106771
141,57,33.1,18.4,962499019,"Yunus Göksu Design Mutfak Rulo Tutucusu- Düzenleyicisi (1 adet, 2' li ürün)",Yunus Göksu Design,Innoway,174.72,182,9.6,InStock,Son 3 günde 250+ ürün satıldı!,3.3,,0,65,"[""Sepette %4 İndirim"",""Kargo Bedava""]",1 saat 47 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/yunus-goksu-design/mutfak-rulo-tutucusu-duzenleyicisi-1-adet-2-li-urun-p-962499019?boutiqueId=61&merchantId=1119631
113,53,33.4,14.1,898542774,Nandy Home SmartDuo İki Bölmeli Çamaşır Sepeti 84Lt.,Nandy Home,Nandy Home,1088.93,,0,InStock,Son 3 günde 250+ ürün satıldı!,4.5,,0,173,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",13 saat 48 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/nandy-home/smartduo-iki-bolmeli-camasir-sepeti-84lt-p-898542774?boutiqueId=61&merchantId=180667
54,48,24,23.5,1136289162,"KAMİZ Fırfırlı Koltuk Örtüsü Bohem Pamuk Keten | Kaymaz, Yıkanabilir, Modern Şık Tasarım Tekli Koltuk",KAMİZ,KAMİZ,199.99,,55.5,InStock,Son 3 günde 250+ ürün satıldı!,4.3,,0,44,"[""Kargo Bedava""]",13 saat 49 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/kamiz/firfirli-koltuk-ortusu-bohem-pamuk-keten-kaymaz-yikanabilir-modern-sik-tasarim-tekli-koltuk-p-1136289162?boutiqueId=61&merchantId=311492
