rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
genel-cok-satanlar:aksesuar,10,20,-6,71.8,52.8,1173361488,,1173361488:unknown,blackcomb İnci Boncuklu Deniz Yıldızlı/Midyeli Saç Süsü Saç İpi,blackcomb,Zerina Saç Aksesuar,74.99,,0,InStock,3 günde 250+ ürün satıldı!,3,250,83.3,4.3,8,0,10,"[""Sepette %1 İndirim"",""Kargo Bedava""]",12 saat 55 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/blackcomb/inci-boncuklu-deniz-yildizli-midyeli-sac-susu-sac-ipi-p-1173361488
genel-cok-satanlar:otomobil-motosiklet,9,139,-5,94.3,32.8,849262464,,849262464:unknown,Woyax Kancalı Araç Içi Premium Telefon Tutucu - Araba Telefon Tutacağı Havalandırma Için,Woyax,Woyax Deji,494.8,,0,InStock,3 günde 250+ ürün satıldı!,3,250,83.3,4.7,3286,5,1612,"[""Kargo Bedava""]",2 saat 52 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/woyax/kancali-arac-ici-premium-telefon-tutucu-araba-telefon-tutacagi-havalandirma-icin-p-849262464
genel-cok-satanlar:aksesuar,7,17,-4,89.1,43,1155469463,,1155469463:unknown,minebag Ayarlanabilir Düğüm Detay Askılı Kadın Çapraz Çanta Juno Kırmızı,minebag,Minebag,589.99,,8.5,InStock,3 günde 250+ ürün satıldı!,3,250,83.3,4.4,,0,53,[],Tahmini Teslim:,refreshed,0,https://www.trendyol.com/minebag/ayarlanabilir-dugum-detay-askili-kadin-capraz-canta-juno-kirmizi-p-1155469463
genel-cok-satanlar:supermarket,8,88,-4,119.1,75.9,1120997705,,1120997705:unknown,Zühre Ana Kekre Termojenik Mix 250 Ml,Zühre Ana,İndirimshop,324.31,,-18.4,InStock,3 günde 5B+ ürün satıldı!,3,5000,1666.7,4,1357,18,1012,"[""Kargo Bedava""]",12 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/zuhre-ana/kekre-termojenik-mix-250-ml-p-1120997705
genel-cok-satanlar:supermarket,9,89,-4,133.1,70.5,796088323,,796088323:unknown,Zühre Ana Bromelain Ananas İçeren Detox Şurubu,Zühre Ana,İndirimshop,370,,0,InStock,3 günde 5B+ ürün satıldı!,3,5000,1666.7,4.1,,0,31132,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/zuhre-ana/bromelain-ananas-iceren-detox-surubu-p-796088323
genel-cok-satanlar:populer-tamamlama,8,198,-4,93.4,36.2,63316571,,63316571:unknown,Genel Markalar 1 Adet Dijital Zikirmatik Verir Yüzük Zikirmatik Sayaçmatik,Genel Markalar,Koza Gift,24.99,,0,InStock,3 günde 250+ ürün satıldı!,3,250,83.3,4.1,1417,1,626,"[""15 TL Kupon"",""Kargo Bedava""]",51 dakika 4 saniye içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/genel-markalar/1-adet-dijital-zikirmatik-verir-yuzuk-zikirmatik-sayacmatik-p-63316571
genel-cok-satanlar:populer-tamamlama,10,200,-4,77.8,46.8,1153977157,,1153977157:unknown,BUNUVER Dumpling Clicker Anahtarlık - Buhar Mantısı Stres Oyuncağı - Kawaii Dumpling Masaüstü Figür ( 1 ADET Sürpriz Renk ),BUNUVER,setra 3d studio,29.99,,-2.8,InStock,3 günde 250+ ürün satıldı!,3,250,83.3,4,50,4,68,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/bunuver/dumpling-clicker-anahtarlik-buhar-mantisi-stres-oyuncagi-kawaii-dumpling-masaustu-figur-1-adet-surpriz-renk-p-1153977157
genel-cok-satanlar:aksesuar,5,15,-3,132.9,49.1,1148383861,,1148383861:unknown,Wega Moda Kadın File Örgü Bandana Yazlık Delikli Triko Saç Bandanası Plaj Uyumlu,Wega Moda,Wega Moda,92.78,133.27,0,InStock,3 günde 500+ ürün satıldı!,3,500,166.7,4.6,,0,58,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",12 saat 55 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/wega-moda/kadin-file-orgu-bandana-yazlik-delikli-triko-sac-bandanasi-plaj-uyumlu-p-1148383861
genel-cok-satanlar:kozmetik-kisisel-bakim,4,34,-3,131.1,73.9,945832144,,945832144:unknown,"CALLİEL Aydınlatıcı, Leke Ve Siyah Nokta Karşıtı Kojik Asit Tonik 200 ml",CALLİEL,Calliel,249.44,,-37.5,InStock,3 günde 5B+ ürün satıldı!,3,5000,1666.7,4.2,4287,37,5621,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",5 saat 55 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/calliel/aydinlatici-leke-ve-siyah-nokta-karsiti-kojik-asit-tonik-200-ml-p-945832144
genel-cok-satanlar:kozmetik-kisisel-bakim,9,39,-3,125.4,72.1,1087380299,,1087380299:unknown,Qremfi Sıfır Gözenek Siyah Nokta Mavi Kil Maskesi | AHA + BHA+PHA 100 ml,Qremfi,FREEWALK,299.15,314.9,13.1,InStock,3 günde 5B+ ürün satıldı!,3,5000,1666.7,4.1,3551,21,1242,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",55 dakika 11 saniye içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/qremfi/sifir-gozenek-siyah-nokta-mavi-kil-maskesi-aha-bha-pha-100-ml-p-1087380299
