rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
hamile:hamile-cok-satanlar,50,50,,50,,1142540483,,1142540483:unknown,Defacto Straıght Fıt Beli Lastikli Bilek Boy Jean Yıkamalı Hamile Pantolon H2077AX26SM,Defacto,,649.99,1299.99,,InStock,,,,,,,,,"[""Sepette %50 İndirim""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/defacto/straight-fit-beli-lastikli-bilek-boy-jean-yikamali-hamile-pantolon-h2077ax26sm-p-1142540483
hamile:hamile-cok-satanlar,19,19,,102.6,21.9,38003801,,38003801:unknown,Pierre Cardin Kadın Beyaz 1031 Pamuklu Göğüs Ucu Belli Etmeyen Kaplı Emzirme Atleti,Pierre Cardin,Pierre Cardin Kadın İç Giyim,390.78,619.9,,InStock,,,,,4.4,,,30,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",7 saat 5 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/pierre-cardin/kadin-beyaz-1031-pamuklu-gogus-ucu-belli-etmeyen-kapli-emzirme-atleti-p-38003801
hamile:hamile-cok-satanlar,12,12,,112,30.8,775532651,,775532651:unknown,Pierre Cardin 2'li Peket Ten 6831 Pamuklu Göğüs Ucu Belli Etmeyen Kaplı Emzirme Atleti,Pierre Cardin,Pierre Cardin Kadın İç Giyim,679.9,999.9,,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.4,,,25,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",7 saat 5 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/pierre-cardin/2-li-peket-ten-6831-pamuklu-gogus-ucu-belli-etmeyen-kapli-emzirme-atleti-p-775532651
hamile:hamile-cok-satanlar,57,57,,32.4,27.6,1177683219,,1177683219:unknown,cicial Kadın 3'lü Yüzde Yüz Pamuklu Emzirme Sütyeni (2 kopçalı) (siyah-beyaz-ten),cicial,CİCİ AL,699.3,999,,InStock,,,,,5,,,2,"[""Sepette %30 İndirim"",""Kargo Bedava""]",7 saat 4 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/cicial/kadin-3-lu-yuzde-yuz-pamuklu-emzirme-sutyeni-2-kopcali-siyah-beyaz-ten-p-1177683219
hamile:hamile-cok-satanlar,66,66,,30,,991467598,,991467598:unknown,MİSTİRİK Portici Model Yüksek Bel Toparlayıcı Hamile Külot Ten Renk,MİSTİRİK,,209.99,299.99,,InStock,,,,,,,,,"[""Sepette %30 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/mistirik/portici-model-yuksek-bel-toparlayici-hamile-kulot-ten-renk-p-991467598
hamile:hamile-cok-satanlar,95,95,,40.6,19.4,917576433,,917576433:unknown,ebebek Baby Mom baby mom Saten Kaplı Emzirme Sütyeni Anne Giyim,ebebek Baby Mom,ebebek,374.49,534.99,,InStock,,,,,3.4,20,,8,"[""Sepette %30 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/ebebek-baby-mom/baby-mom-saten-kapli-emzirme-sutyeni-anne-giyim-p-917576433
hamile:hamile-cok-satanlar,13,13,,109.8,27.5,38003803,,38003803:unknown,Pierre Cardin Kadın Ten 1031 Pamuklu Göğüs Ucu Belli Etmeyen Kaplı Emzirme Atleti,Pierre Cardin,Pierre Cardin Kadın İç Giyim,439.9,619.9,,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.3,,,69,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",7 saat 5 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/pierre-cardin/kadin-ten-1031-pamuklu-gogus-ucu-belli-etmeyen-kapli-emzirme-atleti-p-38003803
hamile:hamile-cok-satanlar,5,5,,122.7,31.1,32211168,,32211168:unknown,Pierre Cardin Kadın Ten 6116 Pamuklu Kaplı Emzirme Sütyeni,Pierre Cardin,Pierre Cardin Kadın İç Giyim,409.9,549.9,,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.4,,,41,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",7 saat 6 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/pierre-cardin/kadin-ten-6116-pamuklu-kapli-emzirme-sutyeni-p-32211168
hamile:hamile-cok-satanlar,39,39,,43.5,19,1130409231,,1130409231:unknown,"Pierre Cardin 6118 Premium Comfort Kaplı Emzirme Sütyeni – Dikişsiz, İz Yapmaz, Ayarlanabilir Askılı",Pierre Cardin,Pierre Cardin Kadın İç Giyim,629.9,839.9,,InStock,,,,,4.4,,,12,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",7 saat 5 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/pierre-cardin/6118-premium-comfort-kapli-emzirme-sutyeni-dikissiz-iz-yapmaz-ayarlanabilir-askili-p-1130409231
hamile:hamile-cok-satanlar,22,22,,77.4,27.3,1130942050,,1130942050:unknown,"Pierre Cardin 6119 Premium Comfort Kaplı Emzirme Sütyeni – Toparlayıcı, Dikişsiz, İz Yapmaz, Ayarlanabilir Askılı",Pierre Cardin,,699.9,929.9,,InStock,,,,,4.3,,,36,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",7 saat 5 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/pierre-cardin/6119-premium-comfort-kapli-emzirme-sutyeni-toparlayici-dikissiz-iz-yapmaz-ayarlanabilir-askili-p-1130942050
hamile:hamile-cok-satanlar,74,74,,37,17.7,1130942773,,1130942773:unknown,"Pierre Cardin 6119 Premium Comfort Kaplı Emzirme Sütyeni – Toparlayıcı, Dikişsiz, İz Yapmaz, Ayarlanabilir Askılı",Pierre Cardin,Pierre Cardin Kadın İç Giyim,699.8,929.9,,InStock,,,,,4.5,,,9,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",7 saat 4 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/pierre-cardin/6119-premium-comfort-kapli-emzirme-sutyeni-toparlayici-dikissiz-iz-yapmaz-ayarlanabilir-askili-p-1130942773
hamile:hamile-elbise,69,169,,40.6,14.1,905031886,175525,905031886:175525,Miss Dünya Lissa Sabahlıklı Şerit Detaylı Hamile ve Lohusa Pijama Takımı,Miss Dünya Lissa,Miss Dünya Lissa,1136.74,1509.99,,InStock,,,,,4.5,,,24,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Peşin Fiyatına 3 Taksit"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/miss-dunya-lissa/sabahlikli-serit-detayli-hamile-ve-lohusa-pijama-takimi-p-905031886?boutiqueId=61&merchantId=175525
hamile:hamile-cok-satanlar,15,15,,93.7,33.4,1130407328,,1130407328:unknown,"Pierre Cardin 6118 Premium Comfort Kaplı Emzirme Sütyeni – Dikişsiz, İz Yapmaz, Ayarlanabilir Askılı",Pierre Cardin,Pierre Cardin Kadın İç Giyim,639.9,839.9,,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.5,,,27,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",7 saat 5 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/pierre-cardin/6118-premium-comfort-kapli-emzirme-sutyeni-dikissiz-iz-yapmaz-ayarlanabilir-askili-p-1130407328
hamile:hamile-cok-satanlar,71,71,,22.2,,1178830579,,1178830579:unknown,Maison La Femme Kadın Yüksek Bel Bol Paça Hamile Pantolonu,Maison La Femme,,439,564,,InStock,,,,,,,,,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/maison-la-femme/kadin-yuksek-bel-bol-paca-hamile-pantolonu-p-1178830579
hamile:hamile-cok-satanlar,63,63,,23.8,26.2,1131053507,,1131053507:unknown,Defacto Regular Fıt Emzirme Atleti H2280AX26SM,Defacto,DeFacto,319.99,399.99,,InStock,,,,,5,2,,2,"[""Sepette %20 İndirim""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/defacto/regular-fit-emzirme-atleti-h2280ax26sm-p-1131053507
hamile:hamile-cok-satanlar,38,38,,42.5,12.5,32590516,,32590516:unknown,Pierre Cardin Kadın Ten 6117 Kaplı Emzirme Sütyeni,Pierre Cardin,Pierre Cardin Kadın İç Giyim,492.91,579.9,,InStock,,,,,4.1,,,31,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",7 saat 5 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/pierre-cardin/kadin-ten-6117-kapli-emzirme-sutyeni-p-32590516
hamile:hamile-cok-satanlar,49,49,,15,,32211171,,32211171:unknown,Pierre Cardin 6116 Elienor Soft Boş Kap Pamuklu Emzirme Sütyeni,Pierre Cardin,,467.41,549.9,,InStock,,,,,,,,,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/pierre-cardin/6116-elienor-soft-bos-kap-pamuklu-emzirme-sutyeni-p-32211171
hamile:hamile-cok-satanlar,33,33,,53.3,13.5,816223983,,816223983:unknown,Miss Dünya Lissa Önden Bağlamalı Geniş Şerit Yakalı Hamile ve Lohusa Pijama Takımı,Miss Dünya Lissa,Miss Dünya Lissa,813.76,949.99,,InStock,,,,,4.4,,,196,"[""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/miss-dunya-lissa/onden-baglamali-genis-serit-yakali-hamile-ve-lohusa-pijama-takimi-p-816223983
hamile:hamile-cok-satanlar,80,80,,30.8,13,987446287,,987446287:unknown,Miss Dünya Lissa Gömlek Yaka Önden Düğmeli Uzun Kol Rahat Form Hamile ve Lohusa Pijama Takımı,Miss Dünya Lissa,Miss Dünya Lissa,768.62,891.56,,InStock,,,,,4.5,,,45,"[""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/miss-dunya-lissa/gomlek-yaka-onden-dugmeli-uzun-kol-rahat-form-hamile-ve-lohusa-pijama-takimi-p-987446287
hamile:hamile-cok-satanlar,27,27,,54.3,25.8,1124598160,,1124598160:unknown,MODALADY 3 ADET %100 PAMUKLU HAMİLE KÜLODU,MODALADY,UCUZAGETİR,251.55,287.9,,InStock,,,,,4.6,,,27,"[""Kargo Bedava""]",7 saat 5 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/modalady/3-adet-100-pamuklu-hamile-kulodu-p-1124598160
hamile:hamile-cok-satanlar,99,99,,26.4,15.4,1124301612,,1124301612:unknown,bodin Ayarlanabilir Yüksek Bel Esnek Hamile ve Lohusa Rahat Kesim Pantolon,bodin,BODİN,749.99,849.99,,InStock,,,,,4.3,,,63,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",7 saat 3 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/bodin/ayarlanabilir-yuksek-bel-esnek-hamile-ve-lohusa-rahat-kesim-pantolon-p-1124301612
hamile:hamile-cok-satanlar,28,28,,44.6,32.1,1020935115,,1020935115:unknown,Genel Markalar Belly Moon Esnek Beli Ayarlanabilir İspanyol Paça Hamile Tayt,Genel Markalar,Belly Moon,353.31,399.9,,InStock,,,,,4.7,12,,21,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/genel-markalar/belly-moon-esnek-beli-ayarlanabilir-ispanyol-paca-hamile-tayt-p-1020935115
hamile:hamile-cok-satanlar,68,68,,19.8,21.4,988939621,,988939621:unknown,Oysho 70 cm Warm Hamile Bilek Hizasında Tayt,Oysho,,790,890,,InStock,,,,,3.9,11,,,"[""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/oysho/70-cm-warm-hamile-bilek-hizasinda-tayt-p-988939621
hamile:hamile-elbise,63,163,,14.7,26.2,1172237354,110374,1172237354:110374,WESTMARK LONDON Hamile Lohusa Koyu Lacivert Pamuk Kayık Yaka Yarım Kol Pelerinli Çift Katlı Emzirme Elbise MELANIE,WESTMARK LONDON,Westmark London,535.69,601.22,,InStock,,,,,5,,,3,"[""Kargo Bedava"",""Sepette %10 İndirim"",""Sepette %1 İndirim""]",7 saat 2 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/westmark-london/hamile-lohusa-koyu-lacivert-pamuk-kayik-yaka-yarim-kol-pelerinli-cift-katli-emzirme-elbise-melanie-p-1172237354?boutiqueId=61&merchantId=110374
hamile:hamile-elbise,79,179,,18.1,22.8,1148184828,4575,1148184828:4575,Luvmabelly MYRA5861 – Doğal Yumuşacık Müslin kumaş - yazlık Gömlek Hamile Elbise - Lacivert,Luvmabelly,LuvmaBelly,1336.66,1499.99,,InStock,,,,,4.6,,,13,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Peşin Fiyatına 3 Taksit"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/luvmabelly/myra5861-dogal-yumusacik-muslin-kumas-yazlik-gomlek-hamile-elbise-lacivert-p-1148184828?boutiqueId=61&merchantId=4575
hamile:hamile-elbise,85,185,,13.3,27.6,1172237433,110374,1172237433:110374,WESTMARK LONDON Hamile Saks Mavisi Pamuk Kare Yaka Kısa Balon Kollu Önü Gipe Detaylı Elbise VERA,WESTMARK LONDON,Westmark London,537.7,603.48,,InStock,,,,,5,1,,,"[""Kargo Bedava"",""Sepette %10 İndirim"",""Sepette %1 İndirim""]",7 saat 1 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/westmark-london/hamile-saks-mavisi-pamuk-kare-yaka-kisa-balon-kollu-onu-gipe-detayli-elbise-vera-p-1172237433?boutiqueId=61&merchantId=110374
hamile:hamile-cok-satanlar,17,17,,78.3,24.7,168110209,,168110209:unknown,MODALADY Kadın Emzirme Sütyeni,MODALADY,UCUZAGETİR,178.84,199.9,,InStock,,,,,4.4,,,23,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",7 saat 5 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/modalady/kadin-emzirme-sutyeni-p-168110209
