rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
hamile:hamile-cok-satanlar,59,59,,14.8,25.2,1157628048,,1157628048:unknown,Cottonhill Seamless Bra - Nuvia |Krem Lazer Kesim Klipsli Önden Açılabilir Rib Dokulu Dikişsiz Emzirme Sütyeni,Cottonhill,Cottonhill,599.06,665.62,,InStock,,,,,4.7,,,7,"[""Sepette %10 İndirim"",""Kargo Bedava""]",7 saat 11 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/cottonhill/seamless-bra-nuvia-krem-lazer-kesim-klipsli-onden-acilabilir-rib-dokulu-dikissiz-emzirme-sutyeni-p-1157628048
hamile:hamile-cok-satanlar,79,79,,23.1,6.9,37541548,,37541548:unknown,Hilarity Emzirme Sütyeni,Hilarity,HİLARİTY,149,,,InStock,,,,,4.5,770,,61,"[""Kargo Bedava""]",7 saat 10 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/hilarity/emzirme-sutyeni-p-37541548
hamile:hamile-elbise,9,89,,78.8,33.7,345824773,108216,345824773:108216,Artış Kadın Askılı Esnek Viskoz Kumaş Hamile Gecelik 13127,Artış,Artış Collection,1399,,,InStock,,,,,3.9,,,17,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",7 saat 10 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/artis/kadin-askili-esnek-viskoz-kumas-hamile-gecelik-13127-p-345824773?boutiqueId=61&merchantId=108216
hamile:hamile-elbise,25,105,,35.6,36.9,1182302171,157030,1182302171:157030,SENTEX Geniş kısa kollu desenli kadın elbisesi,SENTEX,SUDENAZ TEKSTİL,679,,,InStock,,,,,4,,,4,"[""Kargo Bedava""]",7 saat 10 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/sentex/genis-kisa-kollu-desenli-kadin-elbisesi-p-1182302171?boutiqueId=61&merchantId=157030
hamile:hamile-elbise,39,119,,4.4,33.1,1182302553,157030,1182302553:157030,SENTEX Geniş kısa kollu desenli kadın elbisesi,SENTEX,SUDENAZ TEKSTİL,689,,,InStock,,,,,5,,,1,"[""Kargo Bedava""]",7 saat 9 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/sentex/genis-kisa-kollu-desenli-kadin-elbisesi-p-1182302553?boutiqueId=61&merchantId=157030
hamile:hamile-elbise,44,124,,18.6,24.4,1155810581,178236,1155810581:178236,Cottonhill Seamless Bra - Mavelle | Lazer Kesim Klipsli ve Çıtçıtlı Önü Açılabilir Emzirme Sütyeni 3'lü Paket,Cottonhill,Cottonhill,1490.35,1655.94,,InStock,,,,,4.3,,,28,"[""Sepette %10 İndirim"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",7 saat 9 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/cottonhill/seamless-bra-mavelle-lazer-kesim-klipsli-ve-citcitli-onu-acilabilir-emzirme-sutyeni-3-lu-paket-p-1155810581?boutiqueId=61&merchantId=178236
hamile:hamile-elbise,69,149,,14.7,26.2,1172237354,110374,1172237354:110374,WESTMARK LONDON Hamile Lohusa Koyu Lacivert Pamuk Kayık Yaka Yarım Kol Pelerinli Çift Katlı Emzirme Elbise MELANIE,WESTMARK LONDON,Westmark London,535.69,601.22,,InStock,,,,,5,,,3,"[""Kargo Bedava"",""Sepette %10 İndirim"",""Sepette %1 İndirim""]",7 saat 9 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/westmark-london/hamile-lohusa-koyu-lacivert-pamuk-kayik-yaka-yarim-kol-pelerinli-cift-katli-emzirme-elbise-melanie-p-1172237354?boutiqueId=61&merchantId=110374
hamile:hamile-elbise,76,156,,24.1,7.2,114098809,133964,114098809:133964,Emose Kadın Pudra Lohusa Sabahlıklı Pijama Takım,Emose,EMOSE,1479,1499,,InStock,,,,,4.5,,,281,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/emose/kadin-pudra-lohusa-sabahlikli-pijama-takim-p-114098809?boutiqueId=61&merchantId=133964
hamile:hamile-elbise,78,158,,17.9,18.7,892680950,733989,892680950:733989,LORIAN'S Ekru Özel Gecelik Sabahlık Dantelli Düğmeli Kısa Kollu Esnek Kumaşlı Hamile ve Lohusa Pijama Takımı,LORIAN'S,KEM-TEX,1774.05,1899,,InStock,,,,,4.5,25,,21,"[""Kargo Bedava"",""Sepette %5 İndirim"",""Peşin Fiyatına 3 Taksit""]",7 saat 8 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/lorian-s/ekru-ozel-gecelik-sabahlik-dantelli-dugmeli-kisa-kollu-esnek-kumasli-hamile-ve-lohusa-pijama-takimi-p-892680950?boutiqueId=61&merchantId=733989
hamile:hamile-elbise,91,171,,13.3,27.6,1172237433,110374,1172237433:110374,WESTMARK LONDON Hamile Saks Mavisi Pamuk Kare Yaka Kısa Balon Kollu Önü Gipe Detaylı Elbise VERA,WESTMARK LONDON,Westmark London,537.7,603.48,,InStock,,,,,5,1,,,"[""Kargo Bedava"",""Sepette %10 İndirim"",""Sepette %1 İndirim""]",7 saat 8 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/westmark-london/hamile-saks-mavisi-pamuk-kare-yaka-kisa-balon-kollu-onu-gipe-detayli-elbise-vera-p-1172237433?boutiqueId=61&merchantId=110374
