rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
hamile:hamile-elbise,18,118,11,64,26,816224335,175525,816224335:175525,Miss Dünya Lissa Önden Bağlamalı Geniş Şerit Yakalı Hamile ve Lohusa Pijama Takımı,Miss Dünya Lissa,Miss Dünya Lissa,619.98,,-34.7,InStock,,,,,4.3,,0,60,[],Tahmini Teslim:,refreshed,0,https://www.trendyol.com/miss-dunya-lissa/onden-baglamali-genis-serit-yakali-hamile-ve-lohusa-pijama-takimi-p-816224335?boutiqueId=61&merchantId=175525
hamile:hamile-elbise,37,137,21,42.4,17.7,692870111,175525,692870111:175525,Miss Dünya Lissa Bebe Mavisi Hamile Ve Lohusa Sabahlık Gecelik Takımı,Miss Dünya Lissa,Miss Dünya Lissa,977.65,1186.01,-27.6,InStock,,,,,4.6,,0,40,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/miss-dunya-lissa/bebe-mavisi-hamile-ve-lohusa-sabahlik-gecelik-takimi-p-692870111?boutiqueId=61&merchantId=175525
hamile:hamile-elbise,32,132,5,37.4,17.6,681010384,175525,681010384:175525,Miss Dünya Lissa Lacivert Dantel Detaylı Hamile Ve Lohusa Gecelik Takımı,Miss Dünya Lissa,Miss Dünya Lissa,728.78,,-27.1,InStock,,,,,4.6,,0,94,[],Tahmini Teslim:,refreshed,0,https://www.trendyol.com/miss-dunya-lissa/lacivert-dantel-detayli-hamile-ve-lohusa-gecelik-takimi-p-681010384?boutiqueId=61&merchantId=175525
hamile:hamile-elbise,35,135,21,26,21.5,975044814,175525,975044814:175525,Miss Dünya Lissa Siyah Hamile Ve Lohusa Sabahlık Gecelik Takımı,Miss Dünya Lissa,Miss Dünya Lissa,1000.97,,-25.9,InStock,,,,,4.7,,0,25,"[""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/miss-dunya-lissa/siyah-hamile-ve-lohusa-sabahlik-gecelik-takimi-p-975044814?boutiqueId=61&merchantId=175525
hamile:hamile-elbise,4,104,0,83.9,41.1,885457711,126861,885457711:126861,Catherines Lux mood hamile elbisesi-2351,Catherines,Penyemood,616.61,,-23.8,InStock,,,,,4.8,30,0,7,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/catherines/lux-mood-hamile-elbisesi-2351-p-885457711?boutiqueId=61&merchantId=126861
hamile:hamile-elbise,52,152,-12,21.1,13.8,824226446,126861,824226446:126861,Catherines Lux Mood Hamile Elbisesi,Catherines,Penyemood,738.95,776.94,-21.1,InStock,,,,,4.7,105,0,18,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/catherines/lux-mood-hamile-elbisesi-p-824226446?boutiqueId=61&merchantId=126861
hamile:hamile-cok-satanlar,94,94,2,3.4,27.6,1159227041,,1159227041:unknown,Catherines Yumuşak dokulu hamile pijama takımı-893,Catherines,Penyemood,1021.58,1031.9,-20.6,InStock,,,,,5,,0,2,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Peşin Fiyatına 3 Taksit"",""Son 10 günün en düşük fiyatı""]",9 saat 56 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/catherines/yumusak-dokulu-hamile-pijama-takimi-893-p-1159227041
hamile:hamile-elbise,24,124,6,48.3,26.7,926283988,175525,926283988:175525,Miss Dünya Lissa Sabahlıklı Emzirmeye Uygun Şerit Detaylı Hamile ve Lohusa Sıfır Kol Gecelik Takımı,Miss Dünya Lissa,Miss Dünya Lissa,1011.36,,-20.4,InStock,,,,,4.4,,0,35,"[""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/miss-dunya-lissa/sabahlikli-emzirmeye-uygun-serit-detayli-hamile-ve-lohusa-sifir-kol-gecelik-takimi-p-926283988?boutiqueId=61&merchantId=175525
hamile:hamile-elbise,10,110,10,85.5,24.5,409396548,175525,409396548:175525,Miss Dünya Lissa Beyaz Sabahlıklı Hamile Ve Lohusa Pijama Takımı,Miss Dünya Lissa,Miss Dünya Lissa,1097.04,,-19.3,InStock,,,,,4.5,,0,262,"[""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/miss-dunya-lissa/beyaz-sabahlikli-hamile-ve-lohusa-pijama-takimi-p-409396548?boutiqueId=61&merchantId=175525
hamile:hamile-elbise,64,164,12,5.6,24.4,1088349790,987100,1088349790:987100,Lohussa Yeni Sezon Ekru Dantel Detaylı Yazlık Kısa Kol Özel Tasarım Lohusa Hamile Sabahlık Gecelik Seti,Lohussa,Lohusa Center,2321.95,,-17.1,InStock,,,,,4.8,,0,9,"[""Sepette %2 İndirim"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit"",""Trendyol Plus'a Özel""]",54 dakika 24 saniye içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/lohussa/yeni-sezon-ekru-dantel-detayli-yazlik-kisa-kol-ozel-tasarim-lohusa-hamile-sabahlik-gecelik-seti-p-1088349790?boutiqueId=61&merchantId=987100
hamile:hamile-cok-satanlar,93,93,-16,11,19,1137939978,,1137939978:unknown,Miss Dünya Lissa Nova MomEmzirme Özellikli Hamile Gecelik Yumuşak Viskon Rahat Kesim,Miss Dünya Lissa,Miss Dünya Lissa,622.66,,-17,InStock,,,,,4.2,,0,10,[],Tahmini Teslim:,refreshed,0,https://www.trendyol.com/miss-dunya-lissa/nova-momemzirme-ozellikli-hamile-gecelik-yumusak-viskon-rahat-kesim-p-1137939978
hamile:hamile-elbise,14,114,3,66,34,1137940167,175525,1137940167:175525,Miss Dünya Lissa Nova MomEmzirme Özellikli Hamile Gecelik Yumuşak Viskon Rahat Kesim,Miss Dünya Lissa,Miss Dünya Lissa,655.41,,-17,InStock,,,,,4.4,,0,21,[],Tahmini Teslim:,refreshed,0,https://www.trendyol.com/miss-dunya-lissa/nova-momemzirme-ozellikli-hamile-gecelik-yumusak-viskon-rahat-kesim-p-1137940167?boutiqueId=61&merchantId=175525
hamile:hamile-cok-satanlar,83,83,6,24.4,6.6,816224155,,816224155:unknown,Miss Dünya Lissa Önden Bağlamalı Geniş Şerit Yakalı Hamile ve Lohusa Pijama Takımı,Miss Dünya Lissa,Miss Dünya Lissa,751.63,759.22,-16.7,InStock,,,,,4.3,,0,153,"[""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/miss-dunya-lissa/onden-baglamali-genis-serit-yakali-hamile-ve-lohusa-pijama-takimi-p-816224155
hamile:hamile-elbise,2,102,1,101.3,39.7,401830673,126861,401830673:126861,Catherines Lux Mood Hamile Elbise-892,Catherines,Penyemood,678.94,763.08,-16.1,InStock,,,,,4.6,61,3,28,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/catherines/lux-mood-hamile-elbise-892-p-401830673?boutiqueId=61&merchantId=126861
hamile:hamile-elbise,70,170,30,6.6,24.4,1055793461,126861,1055793461:126861,Catherines 871 Lohusa Elbise,Catherines,Penyemood,804.43,812.56,-14.9,InStock,,,,,4.8,4,0,4,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/catherines/871-lohusa-elbise-p-1055793461?boutiqueId=61&merchantId=126861
hamile:hamile-cok-satanlar,6,6,1,94.3,31.6,790050699,,790050699:unknown,Miss Dünya Lissa 3'lü Paket Kadın Çok Renkli Pamuklu Likralı Süprem Hamile ve Lohusa Yüksek Bel Külot,Miss Dünya Lissa,Miss Dünya Lissa,254.35,,-10.8,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.5,1191,2,238,[],Tahmini Teslim:,refreshed,0,https://www.trendyol.com/miss-dunya-lissa/3-lu-paket-kadin-cok-renkli-pamuklu-likrali-suprem-hamile-ve-lohusa-yuksek-bel-kulot-p-790050699
hamile:hamile-cok-satanlar,5,5,-2,98.4,34.9,996643753,,996643753:unknown,Arma Yıldız Çıkarılabilir Pedli Emzirme Sütyeni 3'lü Beyaz Siyah Ten Pamuklu Göğüs Ucu Belli Etmez,Arma Yıldız,ARMA YILDIZ,531.9,559.9,-6.7,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.4,,0,94,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/arma-yildiz/cikarilabilir-pedli-emzirme-sutyeni-3-lu-beyaz-siyah-ten-pamuklu-gogus-ucu-belli-etmez-p-996643753
hamile:hamile-cok-satanlar,47,47,17,62.1,5.2,862768488,,862768488:unknown,Lesa Wear İspanyol Paça Ayarlanabilir Yüksek Bel Esnek Toparlayıcı Ve Sıkılaştırıcı Hamile Tayt,Lesa Wear,Lesa Wear,480.56,749,-5.1,InStock,,,,,4.3,,0,339,"[""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/lesa-wear/ispanyol-paca-ayarlanabilir-yuksek-bel-esnek-toparlayici-ve-sikilastirici-hamile-tayt-p-862768488
hamile:hamile-elbise,21,121,-6,49.7,34.3,1155144033,157030,1155144033:157030,SENTEX Geniş kısa kollu desenli kadın elbisesi,SENTEX,SUDENAZ TEKSTİL,679,689,-1.5,InStock,,,,,4.7,,0,25,"[""Kargo Bedava""]",9 saat 55 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/sentex/genis-kisa-kollu-desenli-kadin-elbisesi-p-1155144033?boutiqueId=61&merchantId=157030
hamile:hamile-elbise,29,129,4,24.4,38.1,1182302553,157030,1182302553:157030,SENTEX Geniş kısa kollu desenli kadın elbisesi,SENTEX,SUDENAZ TEKSTİL,679,,-1.5,InStock,,,,,5,,0,1,"[""Kargo Bedava""]",9 saat 55 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/sentex/genis-kisa-kollu-desenli-kadin-elbisesi-p-1182302553?boutiqueId=61&merchantId=157030
hamile:hamile-elbise,8,108,2,84.8,31.2,468237314,719046,468237314:719046,ByLohusa Effortt Ekru Sabahlıklı Hamile Lohusa Gecelik Takım,ByLohusa,ByLohusa,2069.09,2089.99,-1,InStock,,,,,4.5,,0,130,"[""Sepette %1 İndirim"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/bylohusa/effortt-ekru-sabahlikli-hamile-lohusa-gecelik-takim-p-468237314?boutiqueId=61&merchantId=719046
