rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
hobi:hobi-malzemeleri,36,136,38,26.5,18.5,731150460,1293335,731150460:1293335,Genel Markalar Su balonu renkli su balonu karışık renk su balonu 100 adet,Genel Markalar,Baykuş Kıratsiye,55.61,,-14.4,InStock,,,,,3.7,203,1,40,"[""Kargo Bedava""]",9 saat 24 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/genel-markalar/su-balonu-renkli-su-balonu-karisik-renk-su-balonu-100-adet-p-731150460?boutiqueId=61&merchantId=1293335
hobi:hobi-cok-satanlar,58,58,33,15.9,30.3,1167431657,,1167431657:unknown,FESTİVALOON Balon Zinciri Aparatı 5 Metre Şeffaf Balon Kemeri Şeridi 100 Balona Kadar Parti Dekor Süsleme Bandı,FESTİVALOON,FESTİVALOON,21.14,23.6,0,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,5,2,0,,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",9 saat 26 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/festivaloon/balon-zinciri-aparati-5-metre-seffaf-balon-kemeri-seridi-100-balona-kadar-parti-dekor-susleme-bandi-p-1167431657
hobi:hobi-cok-satanlar,43,43,32,4.8,,135207708,,135207708:unknown,SENSY 2 Mm - 200 gr Polyester Makrome Ipi Sütlü Kahve 230 M Polyester Makrome Ip Supla Ip Ve Çanta Ipliği,SENSY,SENSY,83.99,84.49,0,InStock,3 günde 250+ ürün satıldı!,3,250,83.3,,,0,,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/sensy/2-mm-200-gr-polyester-makrome-ipi-sutlu-kahve-230-m-polyester-makrome-ip-supla-ip-ve-canta-ipligi-p-135207708
hobi:hobi-cok-satanlar,22,22,23,75,52,1162276275,,1162276275:unknown,"ZEYMERADE Beyaz Gül Yaprağı Yapay, 100 Adet, Hediye Süs Düğün Kına Söz Nişan Parti Süsleme Romantik Dekor",ZEYMERADE,ZEYMERADE,33.75,49.9,0,InStock,3 günde 250+ ürün satıldı!,3,250,83.3,5,,0,1,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",9 saat 27 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/zeymerade/beyaz-gul-yapragi-yapay-100-adet-hediye-sus-dugun-kina-soz-nisan-parti-susleme-romantik-dekor-p-1162276275
hobi:hobi-cok-satanlar,72,72,23,12.7,23.1,979314425,,979314425:unknown,"Mortex 100’lü Toplu İğne Seti – Türban, Eşarp, Şal, Düğün, Kına, Nişan, Nikah, Sünnet Takı İğnesi",Mortex,Mortex,24.99,,0,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,3.8,,0,3,"[""Kargo Bedava""]",9 saat 26 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/mortex/100-lu-toplu-igne-seti-turban-esarp-sal-dugun-kina-nisan-nikah-sunnet-taki-ignesi-p-979314425
hobi:hobi-cok-satanlar,32,32,19,41.7,27.9,1055240435,,1055240435:unknown,"Genel Markalar İstiridye Anahtarlık 10 Adet Nişan,Kına ,Nikah, Söz Hediyelik",Genel Markalar,,85.5,,-3.9,InStock,3 günde 250+ ürün satıldı!,3,250,83.3,4.3,484,0,,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/genel-markalar/istiridye-anahtarlik-10-adet-nisan-kina-nikah-soz-hediyelik-p-1055240435
hobi:hobi-cok-satanlar,15,15,18,69,53.1,1169527369,,1169527369:unknown,Devin Kına Gecesi Kırmızı Lale Buketi Hediyelik Mum Nişan Nikah Düğün Parti Hediyelikleri,Devin,The Aura Home,45,50,39.1,InStock,3 günde 250+ ürün satıldı!,3,250,83.3,5,3,0,16,"[""Sepette %10 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/devin/kina-gecesi-kirmizi-lale-buketi-hediyelik-mum-nisan-nikah-dugun-parti-hediyelikleri-p-1169527369
hobi:hobi-cok-satanlar,20,20,15,68.1,32.8,844192026,,844192026:unknown,Genel Markalar 10 Adet Süslemeli Halka Şekerleme Nikah Nişan Söz Düğün Hediyeliği,Genel Markalar,UMUT HEDİYECİLİK,150,152,0,InStock,3 günde 250+ ürün satıldı!,3,250,83.3,4.2,672,1,3228,"[""Son 10 Günün En Düşük Fiyatı"",""30 TL Kupon"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/genel-markalar/10-adet-suslemeli-halka-sekerleme-nikah-nisan-soz-dugun-hediyeligi-p-844192026
hobi:hobi-malzemeleri,75,175,15,8.9,21.1,1168251382,1180647,1168251382:1180647,Minia 8 li Doğum günü Oyuncak Şapka Seti(4 Adet 10 cm + 4 adet 7 cm),Minia,Minia,156.63,,0,InStock,,,,,3.9,12,1,7,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",9 saat 23 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/minia/8-li-dogum-gunu-oyuncak-sapka-seti-4-adet-10-cm-4-adet-7-cm-p-1168251382?boutiqueId=61&merchantId=1180647
hobi:hobi-malzemeleri,77,177,15,17.7,12.3,904299949,281693,904299949:281693,bukashops Yapay Kiraz Çiçeği (Sakura) ve 3 Metre LED Işık Seti - Yapay Çiçek Sarmaşık - 1.85 metre Çiçek,bukashops,Bukashops,299.9,,0,InStock,,,,,4,164,1,90,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/bukashops/yapay-kiraz-cicegi-sakura-ve-3-metre-led-isik-seti-yapay-cicek-sarmasik-1-85-metre-cicek-p-904299949?boutiqueId=61&merchantId=281693
