rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
hobi:hobi-cok-satanlar,37,37,-11,28.6,28.5,1084067119,,1084067119:unknown,"ZEYMERADE 10 Metre Çift Katlı Dantel Kurdele Beyaz Fisto, Bohça, Nişan, Çeyiz, Nikah, Hediye, Şeker, Süsleme",ZEYMERADE,,49.9,,0,InStock,3 günde 250+ ürün satıldı!,3,250,83.3,4.6,,0,28,"[""Sepette %1 İndirim"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",9 saat 27 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/zeymerade/10-metre-cift-katli-dantel-kurdele-beyaz-fisto-bohca-nisan-ceyiz-nikah-hediye-seker-susleme-p-1084067119
hobi:hobi-malzemeleri,8,108,,65.1,,947907198,106316,947907198:106316,Lubinski Deri Puro Kılıfı Örgü Desen Turuncu 3lü (60Ring),Lubinski,Bek Tobacco,2704.43,2734.89,,InStock,,,,,,,,,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/lubinski/deri-puro-kilifi-orgu-desen-turuncu-3lu-60ring-p-947907198?merchantId=106316
hobi:hobi-malzemeleri,10,110,,62.8,,2969586,106316,2969586:106316,Prometheus Deri Puro Kılıfı Robusto Kahve Yılan 3lü(52 Ring),Prometheus,Bek Tobacco,4572.78,4704.41,,InStock,,,,,,,,,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/prometheus/deri-puro-kilifi-robusto-kahve-yilan-3lu-52-ring-p-2969586?merchantId=106316
hobi:hobi-malzemeleri,17,117,,47.6,,1107460129,106316,1107460129:106316,Davidoff Iconic Seri Deri Puro Kılıfı Kırmızı Gold 2li 64 Ring,Davidoff,Bek Tobacco,18584.77,18884.32,,InStock,,,,,,,,,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Peşin Fiyatına 9 Taksit"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/davidoff/iconic-seri-deri-puro-kilifi-kirmizi-gold-2li-64-ring-p-1107460129?merchantId=106316
hobi:hobi-malzemeleri,18,118,,44,,1107467655,106316,1107467655:106316,Davidoff Iconic Seri Deri Puro Kılıfı Kahve Gold 3lüi 64 Ring,Davidoff,Bek Tobacco,21115.01,,,InStock,,,,,,,,,"[""Kargo Bedava"",""Peşin Fiyatına 9 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/davidoff/iconic-seri-deri-puro-kilifi-kahve-gold-3lui-64-ring-p-1107467655?merchantId=106316
hobi:hobi-malzemeleri,19,119,,42,,1107461980,106316,1107461980:106316,Davidoff Iconic Seri Deri Puro Kılıfı Kırmızı Gold 3lüi 64 Ring,Davidoff,,21164.03,,,InStock,,,,,,,,,"[""Kargo Bedava"",""Peşin Fiyatına 9 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/davidoff/iconic-seri-deri-puro-kilifi-kirmizi-gold-3lui-64-ring-p-1107461980?merchantId=106316
hobi:hobi-malzemeleri,20,120,,41.6,,1107458931,106316,1107458931:106316,Davidoff Iconic Seri Deri Puro Kılıfı Kahve Gold 2li 64 Ring,Davidoff,Bek Tobacco,18584.77,18884.32,,InStock,,,,,,,,,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Peşin Fiyatına 9 Taksit"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/davidoff/iconic-seri-deri-puro-kilifi-kahve-gold-2li-64-ring-p-1107458931?merchantId=106316
hobi:hobi-malzemeleri,22,122,,36,,1107462754,106316,1107462754:106316,Davidoff Iconic Seri Deri Puro Kılıfı Lacivert Gold 2li 64 Ring,Davidoff,Bek Tobacco,18980.03,,,InStock,,,,,,,,,"[""Kargo Bedava"",""Peşin Fiyatına 9 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/davidoff/iconic-seri-deri-puro-kilifi-lacivert-gold-2li-64-ring-p-1107462754?merchantId=106316
hobi:hobi-malzemeleri,23,123,,34,,1107465081,106316,1107465081:106316,Davidoff Iconic Seri Deri Puro Kılıfı Lacivert Gold 3lüi 64 Ring,Davidoff,Bek Tobacco,21114.34,,,InStock,,,,,,,,,"[""Kargo Bedava"",""Peşin Fiyatına 9 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/davidoff/iconic-seri-deri-puro-kilifi-lacivert-gold-3lui-64-ring-p-1107465081?merchantId=106316
hobi:hobi-malzemeleri,28,128,12,39.8,25.2,857296077,,857296077:unknown,Apple Yenilenmiş IPHONE 16 PRO MAX 256GB -B Kalite- Siyah Titanyum,Apple,Getmobil,92999,,0,InStock,,,,,4.6,94,0,99,"[""750 TL Kupon"",""Kargo Bedava"",""Peşin Fiyatına 9 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/apple/iphone-16-pro-max-256gb-siyah-titanyum-p-857296077
