bestseller_rank,rank_delta,trend_score,niche_score,product_id,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
33,,116.9,40.6,97187608,Defacto Çabuk Kuruyan Regular Fit Deniz Şortu T5639AZ21SM,Defacto,DeFacto,150,499.99,,InStock,Son 3 günde 500+ ürün satıldı!,4.4,720,,118,"[""Sepette %70 İndirim""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/defacto/cabuk-kuruyan-regular-fit-deniz-sortu-t5639az21sm-p-97187608?boutiqueId=61&merchantId=1188
131,,91.6,8.4,944096414,ELİTOL Bürümcük İnce Askılı Şort Takım,ELİTOL,ELİTOL,264.71,882.37,,InStock,,4.4,496,,85,"[""Sepette %70 İndirim"",""Kargo Bedava""]",11 saat 29 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/elitol/burumcuk-ince-askili-sort-takim-p-944096414?boutiqueId=61&merchantId=2938
32,,102.9,12.2,844065301,"ILLUSIONE FRAGRANCE Lumiére Edp Kadın Parfüm 50ml | Tatlı - Vanilya - Gurme | Narenciye, Müge, Orkide, Misk",ILLUSIONE FRAGRANCE,,479,1199,,InStock,Son 3 günde 500+ ürün satıldı!,4.2,2248,,,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü""]",,refreshed,0,https://www.trendyol.com/illusione-fragrance/lumiere-edp-kadin-parfum-50ml-tatli-vanilya-gurme-narenciye-muge-orkide-misk-p-844065301?boutiqueId=61&merchantId=989677
64,,82.9,42.1,926544973,Defacto Relax Fit Beli Lastikli Bağcıklı Bermuda Şort E9686AX25SM,Defacto,DeFacto,200,499.99,,InStock,Son 3 günde 500+ ürün satıldı!,4.4,40,,10,"[""Sepette %60 İndirim""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/defacto/relax-fit-beli-lastikli-bagcikli-bermuda-sort-e9686ax25sm-p-926544973?boutiqueId=61&merchantId=1188
163,,82.5,7.5,797427439,Defacto Regular Fit Pamuklu Atlet R9041AZ24SP,Defacto,DeFacto,120,299.99,,InStock,,4.7,,,28,"[""Sepette %60 İndirim"",""Sepette %10 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/defacto/regular-fit-pamuklu-atlet-r9041az24sp-p-797427439?boutiqueId=61&merchantId=1188
49,,70.9,9.6,652657736,Mad Parfüm Mad P104 Selective 50 ml Kadın Parfüm,Mad Parfüm,,299.99,599.99,,InStock,Son 3 günde 500+ ürün satıldı!,4.1,414,,,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/mad-parfum/mad-p104-selective-50-ml-kadin-parfum-p-652657736?boutiqueId=61&merchantId=674296
88,,74.2,23.3,354099620,Mad Parfüm Mad W212 Selective 50 ml Kadın Parfüm,Mad Parfüm,MAD PARFÜM,299.99,599.99,,InStock,Son 3 günde 250+ ürün satıldı!,4,252,,177,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/mad-parfum/mad-w212-selective-50-ml-kadin-parfum-p-354099620?boutiqueId=61&merchantId=674296
95,,75.4,22.1,355160801,Mad Parfüm Mad A120 Selective 50 ml Kadın Parfüm,Mad Parfüm,MAD PARFÜM,299.99,599.99,,InStock,Son 3 günde 250+ ürün satıldı!,4,350,,204,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/mad-parfum/mad-a120-selective-50-ml-kadin-parfum-p-355160801?boutiqueId=61&merchantId=674296
121,,69.9,10.1,354099623,Mad Parfüm Mad W125 Selective 50 ml Kadın Parfüm,Mad Parfüm,MAD PARFÜM,299.99,599.99,,InStock,,4,305,,183,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/mad-parfum/mad-w125-selective-50-ml-kadin-parfum-p-354099623?boutiqueId=61&merchantId=674296
150,,74.6,5.4,1233491,Wella Koleston Single Tüp Saç Boyası 8/1 Açık Küllü Kumral,Wella,Wella,89.9,179.8,,InStock,,4.5,,,197,"[""Sepette %50 İndirim"",""Süper Fırsat Ürünü"",""Kargo Bedava""]",11 saat 28 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/wella/koleston-single-tup-sac-boyasi-8-1-acik-kullu-kumral-p-1233491?boutiqueId=61&merchantId=932912
155,,72.7,7.3,832907891,ÖZDEN ÖZDOĞAN Kadın Özel Ter Önleyici Roll-on Antiperspirant 50ml,ÖZDEN ÖZDOĞAN,ÖZDEN ÖZDOĞAN,199.99,399.99,,InStock,,4.4,691,,119,"[""Sepette %50 İndirim"",""399,99 TL Kupon"",""299,90 TL Kupon"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Trendyol Plus'a Özel""]",11 saat 28 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/ozden-ozdogan/kadin-ozel-ter-onleyici-roll-on-antiperspirant-50ml-p-832907891?boutiqueId=61&merchantId=856334
