rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
kadin:genel-kadin,181,181,-130,29.7,0.3,1206436,105053,1206436:105053,Avon Pur Blanca Kadın Parfüm Edt 50 Ml.,Avon,AvonShop,377.9,,0,InStock,,,,,4.5,5191,-5,296,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",3 saat 22 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/avon/pur-blanca-kadin-parfum-edt-50-ml-p-1206436?boutiqueId=61&merchantId=105053
kadin:genel-kadin,184,184,-119,14.3,15.7,1149098217,496056,1149098217:496056,monalisatoka 1 ADET Renkli Lotus Mandal Toka - Kadın Saç Tokası,monalisatoka,Monalisa Toka,24.9,,151,InStock,,,,,3.5,61,6,20,"[""Sepette %10 İndirim"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",4 saat 22 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/monalisatoka/1-adet-renkli-lotus-mandal-toka-kadin-sac-tokasi-p-1149098217?boutiqueId=61&merchantId=496056
kadin:genel-kadin,168,168,-105,23.6,6.4,953633592,1215958,953633592:1215958,weem Karınca Yumurtası Yağı içeren Tüy Dökücü Krem 200 ml (Unisex Kullanım),weem,Nova Global Kozmetik,213.07,,16.9,InStock,,,,,4.1,885,4,337,"[""Kargo Bedava""]",13 saat 22 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/weem/karinca-yumurtasi-yagi-iceren-tuy-dokucu-krem-200-ml-unisex-kullanim-p-953633592?boutiqueId=61&merchantId=1215958
kadin:genel-kadin,177,177,-104,8,22,1175378675,143746,1175378675:143746,"ORNATE Karınca Tüy Azaltıcı, Beyazlatıcı, Koku ve Ter Karşıtı Unisex Doğal Roll On 2'li Set",ORNATE,Ornate,649,,0,InStock,,,,,4.2,9,3,1,"[""Kargo Bedava""]",13 saat 22 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/ornate/karinca-tuy-azaltici-beyazlatici-koku-ve-ter-karsiti-unisex-dogal-roll-on-2-li-set-p-1175378675?boutiqueId=61&merchantId=143746
kadin:genel-kadin,185,185,-97,33.5,4,905023641,1060158,905023641:1060158,PHELSİUM Dökülme Karşıtı Kemik İlikli Bakım Şampuanı 500 ml,PHELSİUM,Online Sipariş,282.04,304.99,-32.7,InStock,,,,,4.2,1779,1,801,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/phelsium/dokulme-karsiti-kemik-ilikli-bakim-sampuani-500-ml-p-905023641?boutiqueId=61&merchantId=1060158
kadin:genel-kadin,161,161,-94,41.2,13.4,267364045,496056,267364045:496056,Monalisa 500 Adet Siyah Perma Saç Örgü Lastiği,Monalisa,Monalisa Toka,34.76,38.62,-30.3,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.5,,0,32,"[""Sepette %10 İndirim"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",4 saat 23 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/monalisa/500-adet-siyah-perma-sac-orgu-lastigi-p-267364045?boutiqueId=61&merchantId=496056
kadin:genel-kadin,163,163,-91,31.2,0,88298545,109651,88298545:109651,Nicoletta Kadın Külot Yüksek Bel Büyük Beden 5 Li Paket Pamuklu Likralı Siyah,Nicoletta,Nicoletta,460.4,,0,InStock,,,,,4.7,,0,771,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",2 saat 22 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/nicoletta/kadin-kulot-yuksek-bel-buyuk-beden-5-li-paket-pamuklu-likrali-siyah-p-88298545?boutiqueId=61&merchantId=109651
kadin:genel-kadin,191,191,-86,28.1,1.9,833284269,113771,833284269:113771,la & vetta Siyah Keten Karışımlı Bol Kesim Pantolon,la &,Vettamoda,669.99,,11.1,InStock,,,,,4,,0,410,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/la-vetta/siyah-keten-karisimli-bol-kesim-pantolon-p-833284269?boutiqueId=61&merchantId=113771
kadin:genel-kadin,180,180,-84,29.4,0.6,354099434,674296,354099434:674296,Mad Parfüm Mad G103 Selective 50 ml Kadın Parfüm,Mad Parfüm,MAD PARFÜM,599.99,,0,InStock,,,,,4.5,4732,0,1833,"[""50 TL Kupon"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/mad-parfum/mad-g103-selective-50-ml-kadin-parfum-p-354099434?boutiqueId=61&merchantId=674296
kadin:genel-kadin,187,187,-80,25.7,4.3,802087534,691473,802087534:691473,Yves Rocher Comme une Evidence EDP- Comme Une Evidence- Kadın Parfüm-50ml,Yves Rocher,ZENIQ LİVİNG,1549,,-2.6,InStock,,,,,4.4,1627,9,319,"[""Kargo Bedava"",""Sepette %25 İndirim""]",13 saat 22 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/yves-rocher/comme-une-evidence-edp-comme-une-evidence-kadin-parfum-50ml-p-802087534?boutiqueId=61&merchantId=691473
