bestseller_rank,rank_delta,trend_score,niche_score,product_id,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
167,-119,27.2,2.8,208019394,ISANA Vücut Losyonu %5 Üre 300 ml,ISANA,The Kozmetik,332.99,,21.1,InStock,Son 3 günde 250+ ürün satıldı!,4.6,2516,-1,928,"[""Kargo Bedava""]",53 dakika 10 saniye içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/isana/vucut-losyonu-5-ure-300-ml-p-208019394?boutiqueId=61&merchantId=108088
197,-115,48.9,61.1,1103229850,LOVECRA Aloe Vera Yüz Temizleme Köpüğü Gözenek Arındırıcı Derinlemesine Temizlik Canlılık 150 ml,LOVECRA,LOVECRA,389.99,,0,InStock,"Son 3 günde 1,5B+ ürün satıldı!",4.3,227,12,110,"[""Kargo Bedava""]",11 saat 52 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/lovecra/aloe-vera-yuz-temizleme-kopugu-gozenek-arindirici-derinlemesine-temizlik-canlilik-150-ml-p-1103229850?boutiqueId=61&merchantId=1055691
144,-89,44.8,56.2,1090635124,Embeauty Keratin Boost Onarıcı Dolgunlaştırıcı Saç Bakım Kremi 200 ml,Embeauty,,266.31,269,-14.1,InStock,Son 3 günde 1B+ ürün satıldı!,4.4,942,4,,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/embeauty/keratin-boost-onarici-dolgunlastirici-sac-bakim-kremi-200-ml-p-1090635124?boutiqueId=61&merchantId=1279865
137,-63,37,28,802277773,NIVOSHE Ağız Kokusu Giderici Sprey Ağız Kokusu Önleyici Sprey Ağız Kokusu Spreyi Propolis05,NIVOSHE,DEVACOS SAĞLIKLI YAŞAM ÜRÜNLERİ,443,,48.2,InStock,Son 3 günde 500+ ürün satıldı!,4.1,2359,9,1034,"[""Kargo Bedava""]",53 dakika 58 saniye içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/nivoshe/agiz-kokusu-giderici-sprey-agiz-kokusu-onleyici-sprey-agiz-kokusu-spreyi-propolis05-p-802277773?boutiqueId=61&merchantId=1158462
113,-49,40.8,25,285913280,COSMED Temizleme Yağı - Çift Aşamalı Temizlik/ Atopia CLEANSING OIL 200 ML,COSMED,Allita Kozmetik,469,,-1.1,InStock,Son 3 günde 500+ ürün satıldı!,4.5,7024,3,,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/cosmed/temizleme-yagi-cift-asamali-temizlik-atopia-cleansing-oil-200-ml-p-285913280?boutiqueId=61&merchantId=1304552
122,-42,35.3,29.7,41124219,Bargello 226 Kadın 50 ml Parfüm Edp Orıental,Bargello,Efes Kozmetik,600,,62.2,InStock,Son 3 günde 500+ ürün satıldı!,4.5,1441,2,642,"[""Kargo Bedava""]",11 saat 54 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/bargello/226-kadin-50-ml-parfum-edp-oriental-p-41124219?boutiqueId=61&merchantId=701202
148,-40,27.4,20.1,159186217,"Round Lab Birch Juice Moisturizing Sunscreen Nemlendirici, Aydınlatıcı Güneş Kremi 50 ml",Round Lab,ORİJİNAL AL,735.18,,-1.4,InStock,Son 3 günde 250+ ürün satıldı!,4.5,621,1,753,"[""Kargo Bedava""]",11 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/round-lab/birch-juice-moisturizing-sunscreen-nemlendirici-aydinlatici-gunes-kremi-50-ml-p-159186217?boutiqueId=61&merchantId=198973
83,-37,23.7,6.3,516804256,hbtasarim Glitter Far Jel Far 3lu Parlak Glitter,hbtasarim,hbtasarim,172.67,,-5.5,InStock,,4.2,905,-5,114,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",2 saat 55 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/hbtasarim/glitter-far-jel-far-3lu-parlak-glitter-p-516804256?boutiqueId=61&merchantId=406896
88,-36,22.7,7.3,839836821,MUJGAN 2'li Kararma Karşıtı Cilt Beyazlatıcı Krem,MUJGAN,Ucuz Al,146.99,,0,InStock,,3.5,692,0,653,"[""Sepette %26 İndirim"",""Sepette %5 İndirim"",""74,98 TL Kupon"",""192,26 TL Kupon"",""298,48 TL Kupon"",""20 TL Kupon"",""420 TL Kupon"",""350 TL Kupon"",""299,99 TL Kupon"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Trendyol Plus'a Özel""]",1 saat 55 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/mujgan/2-li-kararma-karsiti-cilt-beyazlatici-krem-p-839836821?boutiqueId=61&merchantId=357668
157,-34,33.9,13.6,205456960,Barulab Greentea Hyrdo Calming Sun Cream - Yeşil Çaylı Kimyasal Filtreli Güneş Kremi 60ml,Barulab,Ledoria Kozmetik,799,,0,InStock,Son 3 günde 250+ ürün satıldı!,4.7,4137,-12,1543,"[""Kargo Bedava""]",11 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/barulab/greentea-hyrdo-calming-sun-cream-yesil-cayli-kimyasal-filtreli-gunes-kremi-60ml-p-205456960?boutiqueId=61&merchantId=650379
