bestseller_rank,rank_delta,trend_score,niche_score,product_id,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
19,-18,148.9,68.7,844065301,"ILLUSIONE FRAGRANCE Lumiére Edp Kadın Parfüm 50ml | Tatlı - Vanilya - Gurme | Narenciye, Müge, Orkide, Misk",ILLUSIONE FRAGRANCE,ILLUSIONE,479,1199,0,InStock,Son 3 günde 1B+ ürün satıldı!,4.2,2269,6,504,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",1 saat 57 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/illusione-fragrance/lumiere-edp-kadin-parfum-50ml-tatli-vanilya-gurme-narenciye-muge-orkide-misk-p-844065301?boutiqueId=61&merchantId=989677
178,,80.9,24.9,729677950,Bargello Promosyon Babalar Günü Erkek 50 ml Parfüm Edp Bgy,Bargello,Bargello,250,600,,InStock,Son 3 günde 250+ ürün satıldı!,4.4,156,,59,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",11 saat 52 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/bargello/promosyon-babalar-gunu-erkek-50-ml-parfum-edp-bgy-p-729677950?boutiqueId=61&merchantId=138065
197,,74.7,10.3,98624663,Pierre Cardin Peel Off Arındırıcı Soyulabilir Siyah Maske,Pierre Cardin,Miorre,83.25,185,,InStock,,4,291,,114,"[""Sepette %55 İndirim"",""Kargo Bedava""]",52 dakika 27 saniye içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/pierre-cardin/peel-off-arindirici-soyulabilir-siyah-maske-p-98624663?boutiqueId=61&merchantId=2727
5,,131.3,41.8,1124048665,Frederic Patric C'OR Premium Parfüm,Frederic Patric,Frederic Patric Parfüm,1698,3434,,InStock,,4.7,21,,26,"[""50 TL Kupon"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/frederic-patric/c-or-premium-parfum-p-1124048665?boutiqueId=61&merchantId=522172
107,,73.8,6.2,1233486,Wella Koleston Single Tüp Saç Boyası 7/1 Küllü Kumral,Wella,Wella,89.9,179.8,,InStock,,4.5,,,118,"[""Sepette %50 İndirim"",""Süper Fırsat Ürünü"",""Kargo Bedava""]",11 saat 54 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/wella/koleston-single-tup-sac-boyasi-7-1-kullu-kumral-p-1233486?boutiqueId=61&merchantId=932912
132,-70,81.6,14.2,778688401,İLEİDA Saç Bakım Toniği Hair Tonic 200 ml,İLEİDA,ILEIDA COSMETICS,309.99,599.99,0,InStock,Son 3 günde 250+ ürün satıldı!,4.5,3434,0,1038,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/ileida/sac-bakim-tonigi-hair-tonic-200-ml-p-778688401?boutiqueId=61&merchantId=831253
87,,89.1,50,354112846,Mad Parfüm Mad H105 Selective 100 ml Kadın Parfüm,Mad Parfüm,MAD PARFÜM,549.99,899.99,,InStock,Son 3 günde 1B+ ürün satıldı!,4.4,5958,,2203,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/mad-parfum/mad-h105-selective-100-ml-kadin-parfum-p-354112846?boutiqueId=61&merchantId=674296
156,,57.3,11,122958796,Bargello 112 Kadın 50 ml Parfüm Edp Floral,Bargello,Bargello,370,600,,InStock,,4.4,239,,207,"[""Kargo Bedava""]",11 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/bargello/112-kadin-50-ml-parfum-edp-floral-p-122958796?boutiqueId=61&merchantId=138065
80,,45.9,21.1,1165262745,Sinoz Pink Touch Tiger Grass Anında Ton Eşitleyici Onarıcı Yüz Bakım Kremi 15 ml (Açık Tenler İçin),Sinoz,Sinoz Kozmetik,378,599.6,,InStock,,4.3,12,,29,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Son 10 günün en düşük fiyatı""]",11 saat 55 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/sinoz/pink-touch-tiger-grass-aninda-ton-esitleyici-onarici-yuz-bakim-kremi-15-ml-acik-tenler-icin-p-1165262745?boutiqueId=61&merchantId=107302
159,,69.8,13.2,659630648,Sinoz Yağlı ve Karma Ciltler İçin Sebum Dengeleyici Yüz Temizleme Jeli 400 ml,Sinoz,Sinoz Kozmetik,348,539.4,,InStock,Son 3 günde 250+ ürün satıldı!,4.5,4615,,1351,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",11 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/sinoz/yagli-ve-karma-ciltler-icin-sebum-dengeleyici-yuz-temizleme-jeli-400-ml-p-659630648?boutiqueId=61&merchantId=107302
