bestseller_rank,rank_delta,trend_score,niche_score,product_id,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
57,120,50.2,26.2,128207285,Flormar Nemlendirici Parlak Ruj- Sheer Up Lipstick - 003 Pinky Nude - 8682536012010,Flormar,tekbutik,349.99,395,0,InStock,Son 3 günde 500+ ürün satıldı!,4.7,3944,4,180,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı"",""Trendyol Plus'a Özel""]",56 dakika 7 saniye içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/flormar/nemlendirici-parlak-ruj-sheer-up-lipstick-003-pinky-nude-8682536012010-p-128207285?boutiqueId=61&merchantId=835085
29,117,54.8,10.5,1264767,Flormar Antioksidan İçeren Aydınlatıcı Makyaj Bazı - Illuminating Primer Make-Up Base - 001 - 8690604164660,Flormar,Flormar,379.99,,0,InStock,Son 3 günde 500+ ürün satıldı!,4.4,12606,-24,1391,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Trendyol Plus'a Özel""]",11 saat 56 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/flormar/antioksidan-iceren-aydinlatici-makyaj-bazi-illuminating-primer-make-up-base-001-8690604164660-p-1264767?boutiqueId=61&merchantId=4473
103,92,27.3,20.2,1146336382,kyza skin Pearlized Glow BB Cream Medium 02 SPF 50+ | Yoğun Işıltılı Cilt Görünümü 30 ml,kyza skin,Viel Kozmetik,350,,-10.5,InStock,Son 3 günde 250+ ürün satıldı!,4.2,,0,189,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/kyza-skin/pearlized-glow-bb-cream-medium-02-spf-50-yogun-isiltili-cilt-gorunumu-30-ml-p-1146336382?boutiqueId=61&merchantId=1279865
84,80,54.6,55.4,1063917638,La Vielle Daydream Bare Vanilla 200 ml,La Vielle,Viel Kozmetik,331.21,,14.3,InStock,"Son 3 günde 1,5B+ ürün satıldı!",3.7,1174,16,257,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/la-vielle/daydream-bare-vanilla-200-ml-p-1063917638?boutiqueId=61&merchantId=1279865
40,79,35,35,858305830,Flormar Nemlendirici Parlak Ruj- Sheer up Lipstick- 018 Enchanted Kiss- 8682536097864,Flormar,Flormar,379.99,,-5,InStock,Son 3 günde 500+ ürün satıldı!,4.5,1335,3,209,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",11 saat 56 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/flormar/nemlendirici-parlak-ruj-sheer-up-lipstick-018-enchanted-kiss-8682536097864-p-858305830?boutiqueId=61&merchantId=4473
17,77,76.9,38.9,947383025,Revolution Forever Flawless Far Paleti Nova Green,Revolution,Watsons,499.07,529.9,-5.8,InStock,Son 3 günde 250+ ürün satıldı!,4.5,326,6,28,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/revolution/forever-flawless-far-paleti-nova-green-p-947383025?boutiqueId=61&merchantId=468928
97,73,30.4,9.9,1120926033,Qremfi Gül Maya Kil Maskesi | Aydınlatıcı | Bariyer Güçlendirici | Akne Karşıtı | Yağ Dengeleyici | 100 ml,Qremfi,FREEWALK,287.02,319.9,-8.4,InStock,,4.5,327,2,254,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı"",""Trendyol Plus'a Özel""]",11 saat 55 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/qremfi/gul-maya-kil-maskesi-aydinlatici-bariyer-guclendirici-akne-karsiti-yag-dengeleyici-100-ml-p-1120926033?boutiqueId=61&merchantId=443728
92,53,67.3,50,94542562,Bargello 122 Kadın 50 ml Parfüm Edp Orıental,Bargello,Bargello,600,,0,InStock,"Son 3 günde 1,5B+ ürün satıldı!",4.5,,0,8827,"[""Kargo Bedava""]",11 saat 55 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/bargello/122-kadin-50-ml-parfum-edp-oriental-p-94542562?boutiqueId=61&merchantId=138065
143,48,29.9,0.1,749788569,Flormar Besleyici Dudak Parlatıcısı - Dewy Lip Glaze - 021 Shine Today-8682536069380,Flormar,Flormar,399.99,,0,InStock,,4.7,,0,160,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",11 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/flormar/besleyici-dudak-parlaticisi-dewy-lip-glaze-021-shine-today-8682536069380-p-749788569?boutiqueId=61&merchantId=4473
91,48,37,12.5,354236050,S'GLAM Transparan Pudra (Baking Powder),S'GLAM,SGLAM,499,,0,InStock,Son 3 günde 250+ ürün satıldı!,4.6,10001,-1,2665,"[""Kargo Bedava""]",1 saat 55 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/s-glam/transparan-pudra-baking-powder-p-354236050?boutiqueId=61&merchantId=145234
135,48,30.8,16.7,153813229,Bioblas Keratin & Kolajen Onarıcı Dolgunlaştırıcı Saç Bakım Kremi 250 Ml İnce ve Yıpranmış Saçlar,Bioblas,Bioblas,156.86,,-19.1,InStock,Son 3 günde 250+ ürün satıldı!,4.6,1685,-4,496,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/bioblas/keratin-kolajen-onarici-dolgunlastirici-sac-bakim-kremi-250-ml-ince-ve-yipranmis-saclar-p-153813229?boutiqueId=61&merchantId=654443
113,45,26.4,3.6,467979111,S'GLAM Makyaj Süngeri,S'GLAM,SGLAM,199,,0,InStock,,4.5,1981,-1,195,"[""Kargo Bedava""]",1 saat 54 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/s-glam/makyaj-sungeri-p-467979111?boutiqueId=61&merchantId=145234
