date,captured_at,query,sort,source_segment,source_query,segment_position,source_page,search_position,bestseller_rank,category_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,title,brand,category,url,seller_name,seller_score,price,original_price,discount_percent,price_delta_percent,currency,campaigns,stock_status,stock_signal,sales_signal,sales_signal_min,rating,rating_count,review_count,review_delta,question_count,basket_signal,favorite_signal,view_signal,shipping_cost,shipping_currency,handling_days_min,handling_days_max,transit_days_min,transit_days_max,delivery_summary,badge,image_url,properties,sample_review_count,sample_review_avg,detail_status,detail_selection,detail_attempted,detail_refreshed_at,detail_age_days,data_sources,field_availability,detail_ok,detail_error
2026-08-19,2026-08-19T01:49:40+03:00,mobilya,BEST_SELLER,mobilya-cok-satanlar,Trendyol Mobilya / Çok Satanlar,1,1,1,1,1,,106.8,25.7,133138947,,"Hürrem Koyu Kahve Koltuk Tepsisi Yan Sehpa Tesbih Cevizi Cm Ortasabit 13,5 Cm Amerikan Servisi",Hürrem,Yan Sehpa,https://www.trendyol.com/hurrem/koyu-kahve-koltuk-tepsisi-yan-sehpa-tesbih-cevizi-cm-ortasabit-13-5-cm-amerikan-servisi-p-133138947,Asır Dekorasyon,85,97.8,,,,TRY,"[""Kargo Bedava""]",InStock,100 adetten fazla stok sunulmuştur,3 günde 100+ ürün satıldı!,,4,6870,3961,,157,738 kişinin sepetinde,"126,3B kişi favoriledi",Son 24 saatte 463 kişi görüntüledi,4999,TRY,0,1,1,4,22 saat 10 dakika içinde sipariş verirsen en geç yarın kargoda!,,https://cdn.dsmcdn.com/ty1528/product/media/images/prod/QC/20240907/07/62a35309-1e66-3b71-ac66-8b506b6b68cb/1_org_zoom.jpg,"{""Materyal"":""MDF"",""Şekil"":""Dikdörtgen"",""Renk"":""Kahverengi"",""Boyut/Ebat"":""22 x 20"",""Garanti Süresi"":""2 Yıl"",""Parça Sayısı"":""1 Parça"",""Stil"":""Retro"",""Tema / Stil"":""Modern"",""Menşei"":""TR"",""Özellik"":""Uzun""}",20,5,refreshed,"[""daily_top""]",true,2026-08-19T01:49:40+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-19,2026-08-19T01:49:40+03:00,mobilya,BEST_SELLER,mobilya-cok-satanlar,Trendyol Mobilya / Çok Satanlar,2,1,2,2,2,,97.9,37.1,1066296696,,"WOOVEN DESIGN Koltuk Tepsisi, Ahşap Koltuk Yanı Sehpası, Portatif Koltuk Kenarı Tepsisi",WOOVEN DESIGN,Yan Sehpa,https://www.trendyol.com/wooven-design/koltuk-tepsisi-ahsap-koltuk-yani-sehpasi-portatif-koltuk-kenari-tepsisi-p-1066296696,WOOVEN DESIGN,83,162.69,171.25,5,,TRY,"[""Sepette %5 İndirim"",""Kargo Bedava""]",InStock,100 adetten fazla stok sunulmuştur,3 günde 100+ ürün satıldı!,,4.7,241,128,,23,370 kişinin sepetinde,"7,3B kişi favoriledi",Son 24 saatte 333 kişi görüntüledi,4999,TRY,0,1,1,4,22 saat 10 dakika içinde sipariş verirsen en geç yarın kargoda!,,https://cdn.dsmcdn.com/ty1797/prod/QC_PREP/20251212/18/65e51391-f4d1-3ccb-83ad-486a4b282f48/1_org_zoom.jpg,"{""Materyal"":""MDF"",""Şekil"":""Dikdörtgen"",""Renk"":""Kahverengi"",""Boyut/Ebat"":""40 x 40"",""Parça Sayısı"":""1 Parça"",""Stil"":""Modern"",""Tema / Stil"":""Modern"",""Menşei"":""TR""}",20,5,refreshed,"[""daily_top""]",true,2026-08-19T01:49:40+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""observed"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-19,2026-08-19T01:49:40+03:00,mobilya,BEST_SELLER,mobilya-cok-satanlar,Trendyol Mobilya / Çok Satanlar,3,1,3,3,3,,104.3,24.2,93428578,,"Mobezzo 3’lü Yuvarlak Zigon Sehpa Takımı –hobistan Ahşap Ayaklı, Modern Tarz, Kahve Ve Sunum Sehpası",Mobezzo,,https://www.trendyol.com/mobezzo/3-lu-yuvarlak-zigon-sehpa-takimi-hobistan-ahsap-ayakli-modern-tarz-kahve-ve-sunum-sehpasi-p-93428578,MZ Ahşap,9,649.93,656.5,1,,TRY,"[""Sepette %1 İndirim"",""Kargo Bedava""]",InStock,100 adetten fazla stok sunulmuştur,3 günde 100+ ürün satıldı!,,4.4,4574,,,645,654 kişinin sepetinde,"92,8B kişi favoriledi",Son 24 saatte 939 kişi görüntüledi,,,0,,,,10 saat 10 dakika içinde sipariş verirsen en geç bugün kargoda!,,,{},0,,refreshed,"[""daily_top""]",true,2026-08-19T01:49:40+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""observed"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""unavailable"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""unavailable"",""properties"":""observed""}",true,
2026-08-19,2026-08-19T01:49:40+03:00,mobilya,BEST_SELLER,mobilya-cok-satanlar,Trendyol Mobilya / Çok Satanlar,4,1,4,4,4,,105.6,24.4,179070299,,YUNUSOĞLU HOME Katlanabilir Ahşap Koltuk Kenarı Yan Sehpa Amerikan Servisi Kanepe Kenarı Koltuk Tepsisi Ceviz Rengi,YUNUSOĞLU HOME,,https://www.trendyol.com/yunusoglu-home/katlanabilir-ahsap-koltuk-kenari-yan-sehpa-amerikan-servisi-kanepe-kenari-koltuk-tepsisi-ceviz-rengi-p-179070299,YUNUSOĞLU HOME,,142.4,149.9,5,,TRY,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",InStock,100 adetten fazla stok sunulmuştur,3 günde 100+ ürün satıldı!,,3.9,3765,,,208,743 kişinin sepetinde,"68,1B kişi favoriledi",Son 24 saatte 312 kişi görüntüledi,,,0,,,,9 saat 10 dakika içinde sipariş verirsen en geç bugün kargoda!,,,{},0,,refreshed,"[""daily_top""]",true,2026-08-19T01:49:40+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""unavailable"",""price"":""observed"",""original_price"":""observed"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""unavailable"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""unavailable"",""properties"":""observed""}",true,
2026-08-19,2026-08-19T01:49:40+03:00,mobilya,BEST_SELLER,mobilya-cok-satanlar,Trendyol Mobilya / Çok Satanlar,5,1,5,5,5,,97.4,25.1,350150910,,enc home Geyik Yan Sehpa,enc home,Yan Sehpa,https://www.trendyol.com/enc-home/geyik-yan-sehpa-p-350150910,enc home,,1216.65,,,,TRY,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",InStock,100 adetten fazla stok sunulmuştur,3 günde 100+ ürün satıldı!,,4.6,4074,2661,,593,"1,1B kişinin sepetinde","255,4B kişi favoriledi","Son 24 saatte 1,8B kişi görüntüledi",4999,TRY,0,6,1,9,Tahmini Teslim:,,https://cdn.dsmcdn.com/ty533/product/media/images/20220912/15/174444863/561692970/1/1_org_zoom.jpg,"{""Materyal"":""Metal"",""Şekil"":""Dikdörtgen"",""Renk"":""Altın"",""Boyut/Ebat"":""60 x 45"",""Garanti Süresi"":""Garantisiz"",""Parça Sayısı"":""1 Parça"",""Stil"":""Modern"",""Tema / Stil"":""Modern"",""Menşei"":""TR"",""Özellik"":""Dikdörtgen""}",20,5,refreshed,"[""daily_top""]",true,2026-08-19T01:49:40+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""unavailable"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-19,2026-08-19T01:49:40+03:00,mobilya,BEST_SELLER,mobilya-cok-satanlar,Trendyol Mobilya / Çok Satanlar,6,1,6,6,6,,94.7,25.3,867211774,,lefty Geniş Iskandinav Mantar Sehpa 3 Lü Zigon Sehpa Takımı Yan Orta Sehpa Traverten Mermer Desen Sehpa,lefty,,https://www.trendyol.com/lefty/genis-iskandinav-mantar-sehpa-3-lu-zigon-sehpa-takimi-yan-orta-sehpa-traverten-mermer-desen-sehpa-p-867211774,lefty,87,961,,,,TRY,"[""Kargo Bedava""]",InStock,100 adetten fazla stok sunulmuştur,3 günde 100+ ürün satıldı!,,4.4,2183,,,358,"1,3B kişinin sepetinde","150,2B kişi favoriledi","Son 24 saatte 1,4B kişi görüntüledi",,,0,,,,Tahmini Teslim:,,,{},0,,refreshed,"[""daily_top""]",true,2026-08-19T01:49:40+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""unavailable"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""unavailable"",""properties"":""observed""}",true,
2026-08-19,2026-08-19T01:49:40+03:00,mobilya,BEST_SELLER,mobilya-cok-satanlar,Trendyol Mobilya / Çok Satanlar,7,1,7,7,7,,85.2,32.3,6119917,,Monte Sehpa Roma Zigonsehpa Beyaz,Monte Sehpa,Zigon,https://www.trendyol.com/monte-sehpa/roma-zigonsehpa-beyaz-p-6119917,Monte Sehpa,,649,,,,TRY,"[""Kargo Bedava""]",InStock,100 adetten fazla stok sunulmuştur,,,4.2,367,248,,67,,"20,1B kişi favoriledi","Son 24 saatte 1,2B kişi görüntüledi",4999,TRY,0,17,1,21,Tahmini Teslim:,,https://cdn.dsmcdn.com/ty1000406/product/media/images/prod/PIM/20260611/14/1331b105-a434-4f6b-8a2b-06f18bf66205/1_org_zoom.jpg,"{""Materyal"":""Suntalam"",""Şekil"":""Yuvarlak"",""Renk"":""Beyaz"",""Parça Sayısı"":""3"",""Boyut/Ebat"":""33 x 33"",""Garanti Süresi"":""1 Yıl"",""Stil"":""İskandinav"",""Tema / Stil"":""İskandinav"",""Menşei"":""TR"",""Özellik"":""Uzun""}",20,5,refreshed,"[""daily_top""]",true,2026-08-19T01:49:40+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""unavailable"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-19,2026-08-19T01:49:40+03:00,mobilya,BEST_SELLER,mobilya-cok-satanlar,Trendyol Mobilya / Çok Satanlar,8,1,8,8,8,,85.7,39,1172023646,,MASALCI MOBİLYA PARİS (TEKERLEKLİ) 4 LÜ ZİGON CAPPUCİNO DÜZ KREM,MASALCI MOBİLYA,Zigon,https://www.trendyol.com/masalci-mobilya/paris-tekerlekli-4-lu-zigon-cappucino-duz-krem-p-1172023646,MASALCI MOBİLYA,93,3157.85,3499,9.7,,TRY,"[""Trendyol Plus'a Özel"",""Sepette %5 İndirim"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",InStock,100 adetten fazla stok sunulmuştur,,,4.8,39,31,,29,543 kişinin sepetinde,"4,6B kişi favoriledi","Son 24 saatte 1,3B kişi görüntüledi",4999,TRY,0,2,1,6,Tahmini Teslim:,,https://cdn.dsmcdn.com/ty1933/prod/QC_ENRICHMENT/20260806/10/8e9ccea9-2a74-3a97-abfc-d51a84992531/1_org_zoom.jpg,"{""Materyal"":""MDF"",""Şekil"":""Oval"",""Renk"":""Beyaz"",""Parça Sayısı"":""4"",""Boyut/Ebat"":""44 x 40"",""Garanti Süresi"":""2 Yıl"",""Stil"":""Modern"",""Tema / Stil"":""Klasik"",""Menşei"":""TR"",""Paket Derinlik"":""41 cm"",""Paket Genişlik"":""44 cm"",""Paket Yükseklik"":""62 cm""}",20,5,refreshed,"[""daily_top""]",true,2026-08-19T01:49:40+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""observed"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-19,2026-08-19T01:49:40+03:00,mobilya,BEST_SELLER,mobilya-cok-satanlar,Trendyol Mobilya / Çok Satanlar,9,1,9,9,9,,88.6,23.9,896927280,,Kagu Mdf Alvin Zigon - Orta Sehpa 3'lü,Kagu,,https://www.trendyol.com/kagu/mdf-alvin-zigon-orta-sehpa-3-lu-p-896927280,Kagu,,1799,,,,TRY,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",InStock,100 adetten fazla stok sunulmuştur,,,4.7,2141,,,296,516 kişinin sepetinde,"68,4B kişi favoriledi",Son 24 saatte 642 kişi görüntüledi,,,0,,,,Tahmini Teslim:,,,{},0,,refreshed,"[""daily_top""]",true,2026-08-19T01:49:40+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""unavailable"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""unavailable"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""unavailable"",""properties"":""observed""}",true,
2026-08-19,2026-08-19T01:49:40+03:00,mobilya,BEST_SELLER,mobilya-cok-satanlar,Trendyol Mobilya / Çok Satanlar,10,1,10,10,10,,87.7,22.3,780948024,,Kagu Mdf Alvin Zigon - Orta Sehpa 3'lü,Kagu,,https://www.trendyol.com/kagu/mdf-alvin-zigon-orta-sehpa-3-lu-p-780948024,Kagu,,1699,,,,TRY,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",InStock,100 adetten fazla stok sunulmuştur,,,4.8,2886,,,320,543 kişinin sepetinde,"75,6B kişi favoriledi",Son 24 saatte 718 kişi görüntüledi,,,0,,,,Tahmini Teslim:,,,{},0,,refreshed,"[""daily_top""]",true,2026-08-19T01:49:40+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""unavailable"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""unavailable"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""unavailable"",""properties"":""observed""}",true,
