bestseller_rank,rank_delta,trend_score,niche_score,product_id,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
194,-70,2.4,27.6,826713115,GOOD NİGHT New Legom Puf Koltuk &berjer & Uzanma Koltuğu Yıkanabilir,GOOD NİGHT,GOOD NIGHT HOME,7499,,0,InStock,,5,,0,5,"[""Sepette %21 İndirim"",""200 TL Kupon"",""Kargo Bedava"",""Süper Fırsat Ürünü"",""Peşin Fiyatına 3 Taksit"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/good-night/new-legom-puf-koltuk-berjer-uzanma-koltugu-yikanabilir-p-826713115?boutiqueId=61&merchantId=797053
73,-29,16.7,13.3,1078238968,Hofga Truva Çok Amaçlı Çekmeceli Yan Sehpa Kitaplık Dekor Sehpa Beyaz Meşe,Hofga,HOFGA,1212,,0,InStock,,4.7,,0,32,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",1 saat 56 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/hofga/truva-cok-amacli-cekmeceli-yan-sehpa-kitaplik-dekor-sehpa-beyaz-mese-p-1078238968
45,-25,26.9,5.6,48929192,Genel Markalar Üçlü Yuvarlak Ahşap Ayaklı Zigon Sehpa 3’lü Sunum Sehpası Servis Sehpası Yan Sehpa Beyaz,Genel Markalar,Nisvia,720,,2.9,InStock,,4.2,,0,499,"[""Kargo Bedava""]",10 saat 57 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/genel-markalar/uclu-yuvarlak-ahsap-ayakli-zigon-sehpa-3-lu-sunum-sehpasi-servis-sehpasi-yan-sehpa-beyaz-p-48929192
61,-25,30.6,5.4,218456015,Genel Markalar Koltuk Tepsisi Yan Sehpa Kahverengi Ortasabit 15 Cm Amerikan Servisi Hm658,Genel Markalar,vagonik,108.06,114.9,0,InStock,,3.8,1193,-1,100,"[""Trendyol Plus'a Özel"",""Sepette %1 İndirim"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",10 saat 57 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/genel-markalar/koltuk-tepsisi-yan-sehpa-kahverengi-ortasabit-15-cm-amerikan-servisi-hm658-p-218456015
36,-20,44.2,8.8,215896063,Gaga Mobilya Üçlü Orta Sehpa Dekoratif Zigon Sehpa Yan Sehpa Takımı Metal Ayaklı C Sehpa (3 LÜ C ZİGON SEHPA),Gaga Mobilya,Gaga Mobilya,1149,1249,0,InStock,,4.6,3344,-2,503,"[""Trendyol Plus'a Özel"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/gaga-mobilya/uclu-orta-sehpa-dekoratif-zigon-sehpa-yan-sehpa-takimi-metal-ayakli-c-sehpa-3-lu-c-zigon-sehpa-p-215896063
94,-20,12.1,27.6,1182294429,MASALCI MOBİLYA TOKYO 4 LÜ ZİGON SEHPA AYTAŞI MDF AHŞAP,MASALCI MOBİLYA,MASALCI MOBİLYA,3067.6,3399,0,InStock,,4,1,0,9,"[""Trendyol Plus'a Özel"",""Sepette %5 İndirim"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/masalci-mobilya/tokyo-4-lu-zigon-sehpa-aytasi-mdf-ahsap-p-1182294429
69,-19,19.1,10.9,917806543,"BARIN DESIGN Modern TV Ünitesi Ahşap Raflı 2 Katlı Televizyon Sehpası Minimalist,Dayanıklı, Fonksiyonel TV Standı",BARIN DESIGN,BARIN DESIGN,1284.6,,0,InStock,,4.6,,0,67,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",10 saat 57 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/barin-design/modern-tv-unitesi-ahsap-rafli-2-katli-televizyon-sehpasi-minimalist-dayanikli-fonksiyonel-tv-standi-p-917806543
63,-18,17.2,12.8,871528282,Huga Metal Relax 90x200 cm Dinlenme Koltuğu Yatak Olabilen Kanepe Rahat Kanepe Fittilli Kadife Yıkanır Silinir - Yeşil,Huga Metal,Huga Mobilya,10376.37,,0,InStock,,4.7,,0,110,"[""Kargo Bedava"",""Peşin Fiyatına 9 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/huga-metal/relax-90x200-cm-dinlenme-koltugu-yatak-olabilen-kanepe-rahat-kanepe-fittilli-kadife-yikanir-silinir-yesil-p-871528282
80,-18,14.8,15.2,1088897900,Myplas Modern Ahşap Dikdörtgen Koltuk Sehpası Tepsi Dekoratif,Myplas,MYPLAS,349.99,,0,InStock,,4.4,70,0,26,"[""Kargo Bedava""]",10 saat 56 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/myplas/modern-ahsap-dikdortgen-koltuk-sehpasi-tepsi-dekoratif-p-1088897900
185,-18,0,,1142682473,Gaga Mobilya Köşe Takımı Koltuk Takımı Yatak Kanepe Koltuk Berjer Puf Modüler Oturma Grubu 90 X 180 YanYana,Gaga Mobilya,,9999,,0,InStock,,,,0,,"[""Kargo Bedava"",""Peşin Fiyatına 6 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/gaga-mobilya/kose-takimi-koltuk-takimi-yatak-kanepe-koltuk-berjer-puf-moduler-oturma-grubu-90-x-180-yanyana-p-1142682473?boutiqueId=61&merchantId=107598
