bestseller_rank,rank_delta,trend_score,niche_score,product_id,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
1,0,106.8,25.7,133138947,"Hürrem Koyu Kahve Koltuk Tepsisi Yan Sehpa Tesbih Cevizi Cm Ortasabit 13,5 Cm Amerikan Servisi",Hürrem,Asır Dekorasyon,97.8,,0,InStock,3 günde 100+ ürün satıldı!,4,3955,-5,157,"[""Kargo Bedava""]",10 saat 58 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/hurrem/koyu-kahve-koltuk-tepsisi-yan-sehpa-tesbih-cevizi-cm-ortasabit-13-5-cm-amerikan-servisi-p-133138947
4,0,105.6,24.4,179070299,YUNUSOĞLU HOME Katlanabilir Ahşap Koltuk Kenarı Yan Sehpa Amerikan Servisi Kanepe Kenarı Koltuk Tepsisi Ceviz Rengi,YUNUSOĞLU HOME,YUNUSOĞLU HOME,142.4,149.9,0,InStock,3 günde 100+ ürün satıldı!,3.9,,0,207,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",10 saat 58 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/yunusoglu-home/katlanabilir-ahsap-koltuk-kenari-yan-sehpa-amerikan-servisi-kanepe-kenari-koltuk-tepsisi-ceviz-rengi-p-179070299
3,0,103.3,24.2,93428578,"Mobezzo 3’lü Yuvarlak Zigon Sehpa Takımı –hobistan Ahşap Ayaklı, Modern Tarz, Kahve Ve Sunum Sehpası",Mobezzo,Nisvia,745,,16.2,InStock,3 günde 100+ ürün satıldı!,4.4,,0,645,"[""Kargo Bedava"",""Sepette %1 İndirim""]",10 saat 58 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/mobezzo/3-lu-yuvarlak-zigon-sehpa-takimi-hobistan-ahsap-ayakli-modern-tarz-kahve-ve-sunum-sehpasi-p-93428578
6,2,99.7,25.7,226201928,Bofigo 3'lü Metal Zigon Sehpa Zigon Sehpa Orta Sehpa Yan Sehpa Çam,Bofigo,BofigoGrup,1320,1395,12,InStock,3 günde 100+ ürün satıldı!,4.3,,0,202,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/bofigo/3-lu-metal-zigon-sehpa-zigon-sehpa-orta-sehpa-yan-sehpa-cam-p-226201928
2,0,97.9,37.1,1066296696,"WOOVEN DESIGN Koltuk Tepsisi, Ahşap Koltuk Yanı Sehpası, Portatif Koltuk Kenarı Tepsisi",WOOVEN DESIGN,WOOVEN DESIGN,162.69,171.25,0,InStock,3 günde 100+ ürün satıldı!,4.7,129,1,23,"[""Sepette %5 İndirim"",""Kargo Bedava""]",10 saat 58 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/wooven-design/koltuk-tepsisi-ahsap-koltuk-yani-sehpasi-portatif-koltuk-kenari-tepsisi-p-1066296696
7,-2,93.4,24.1,350150910,enc home Geyik Yan Sehpa,enc home,enc home,1216.65,,0,InStock,3 günde 100+ ürün satıldı!,4.6,2664,2,593,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/enc-home/geyik-yan-sehpa-p-350150910
8,-1,90.7,24.3,867211774,lefty Geniş Iskandinav Mantar Sehpa 3 Lü Zigon Sehpa Takımı Yan Orta Sehpa Traverten Mermer Desen Sehpa,lefty,lefty,961,,0,InStock,,4.3,,0,358,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/lefty/genis-iskandinav-mantar-sehpa-3-lu-zigon-sehpa-takimi-yan-orta-sehpa-traverten-mermer-desen-sehpa-p-867211774
5,1,89.2,33.3,6119917,Monte Sehpa Roma Zigonsehpa Beyaz,Monte Sehpa,Monte Sehpa,649,,0,InStock,3 günde 100+ ürün satıldı!,4.2,249,1,67,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/monte-sehpa/roma-zigonsehpa-beyaz-p-6119917
9,0,88.7,23.8,896927280,Kagu Mdf Alvin Zigon - Orta Sehpa 3'lü,Kagu,Kagu,1799,,0,InStock,,4.7,,0,296,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/kagu/mdf-alvin-zigon-orta-sehpa-3-lu-p-896927280
10,0,87.7,22.3,780948024,Kagu Mdf Alvin Zigon - Orta Sehpa 3'lü,Kagu,Kagu,1699,,0,InStock,,4.8,,0,320,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/kagu/mdf-alvin-zigon-orta-sehpa-3-lu-p-780948024
13,0,86,32.8,1127021644,Skandi homeworks Stones 3 lü zigon Sehpa,Skandi homeworks,Monte Sehpa,1380.73,1649,0,InStock,,3.8,,0,43,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""50 TL Kupon"",""Peşin Fiyatına 3 Taksit"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/skandi-homeworks/stones-3-lu-zigon-sehpa-p-1127021644
12,0,85.2,33.4,1154710493,ROBEVE 140 cm Modern TV Ünitesi Konsol 2 Kapaklı Ahşap Ayaklı Televizyon Sehpası Salon ve Oturma Odası İçin Şık Tasarımlı TV Konsolu Televizyon Ünitesi TV Ünitesi Konsol,ROBEVE,MARİMA,1600.42,1853.24,0,InStock,,3.6,89,1,23,"[""Trendyol Plus'a Özel"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/robeve/140-cm-modern-tv-unitesi-konsol-2-kapakli-ahsap-ayakli-televizyon-sehpasi-salon-ve-oturma-odasi-icin-sik-tasarimli-tv-konsolu-televizyon-unitesi-tv-unitesi-konsol-p-1154710493
20,7,82.6,16.6,221746438,Monte Sehpa Roma Zigonsehpa- Krem Cappuccino Kahve,Monte Sehpa,Monte Sehpa,851.61,992.75,0,InStock,,4.2,,0,460,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/monte-sehpa/roma-zigonsehpa-krem-cappuccino-kahve-p-221746438
16,-2,81.3,17,303482980,interGO Tekerlekli C Sehpa Koltuk Sehpası Yan Sehpa Zigon Sehpa Servis Sehpası - Atlantik Çam,interGO,interGO,999.5,,0,InStock,,4.7,,0,1038,"[""Kargo Bedava"",""75 TL Kupon""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/intergo/tekerlekli-c-sehpa-koltuk-sehpasi-yan-sehpa-zigon-sehpa-servis-sehpasi-atlantik-cam-p-303482980
11,0,79.8,37.4,1172023646,MASALCI MOBİLYA PARİS (TEKERLEKLİ) 4 LÜ ZİGON CAPPUCİNO DÜZ KREM,MASALCI MOBİLYA,MASALCI MOBİLYA,3157.85,3499,0,InStock,,4.8,32,1,31,"[""Trendyol Plus'a Özel"",""Sepette %5 İndirim"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/masalci-mobilya/paris-tekerlekli-4-lu-zigon-cappucino-duz-krem-p-1172023646
18,6,71,19,163935122,Bofigo Orta Sehpa Geniş Çantalı Sehpa Gazetelik Kitaplık Çiçeklik Çam,Bofigo,BofigoGrup,790,,12.1,InStock,,3.9,,0,238,"[""Kargo Bedava""]",10 saat 58 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/bofigo/orta-sehpa-genis-cantali-sehpa-gazetelik-kitaplik-ciceklik-cam-p-163935122
17,4,68.9,29.3,973520914,Bofigo Orta Sehpa Yan Sehpa Dekoratif Sehpa Metal Sehpa Athena Çam,Bofigo,BofigoGrup,1243,1318,14.7,InStock,,4.7,,0,35,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",10 saat 58 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/bofigo/orta-sehpa-yan-sehpa-dekoratif-sehpa-metal-sehpa-athena-cam-p-973520914
15,3,65.1,,1181216106,Skandi homeworks Loop 3’lü Zigon Sehpa – İç İçe Geçen Modern C Tipi Tasarım,Skandi homeworks,Monte Sehpa,1400.6,1649,0,InStock,,,,0,12,"[""Son 10 Günün En Düşük Fiyatı"",""50 TL Kupon"",""Peşin Fiyatına 3 Taksit"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/skandi-homeworks/loop-3-lu-zigon-sehpa-ic-ice-gecen-modern-c-tipi-tasarim-p-1181216106
