rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,1,1,,120.5,70.3,939791424,,939791424:unknown,CLNK Araba Güneş Gölge Koruyucu Yenilenmiş Yansıtma Teknoloji Şemsiye Oto Ön Cam Güneşlik Araç Şemsiyesi,CLNK,CLNK TECH,285,,,InStock,3 günde 1B+ ürün satıldı!,3,1000,333.3,4.1,1716,,1440,"[""Kargo Bedava""]",7 saat 31 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/clnk/araba-gunes-golge-koruyucu-yenilenmis-yansitma-teknoloji-semsiye-oto-on-cam-guneslik-arac-semsiyesi-p-939791424
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,2,2,,114.2,44.9,955288272,,955288272:unknown,auhma AHV-02 Kablosuz Araç İçi Süpürge Mor | 21000PA Güçlü Vakum | Fırçasız Motor | Üfleme & Vakum Ö,auhma,7GO,1279,,,InStock,3 günde 500+ ürün satıldı!,3,500,166.7,4.4,5447,,2148,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",7 saat 31 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/auhma/ahv-02-kablosuz-arac-ici-supurge-mor-21000pa-guclu-vakum-fircasiz-motor-ufleme-vakum-o-p-955288272
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,4,4,,114.1,45,975598255,,975598255:unknown,EZERE TurboVac 20000pa Güçlü Dijital Göstergeli Vakumlu Kablosuz Üflemeli Mini Araç Süpürgesi,EZERE,Akıllıphone,1139.05,1199,,InStock,3 günde 500+ ürün satıldı!,3,500,166.7,4.5,3974,,849,"[""Trendyol Plus'a Özel"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",7 saat 31 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/ezere/turbovac-20000pa-guclu-dijital-gostergeli-vakumlu-kablosuz-uflemeli-mini-arac-supurgesi-p-975598255
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,7,7,,108.5,43.2,737181074,,737181074:unknown,Universal Araç Ön Cam Güneşliği Katlanabilir Şemsiye Oto Güneşlik UV Korumalı Gölgelik Araba Oto Şemsiyesi,Universal,Hombak,270.75,285,,InStock,3 günde 500+ ürün satıldı!,3,500,166.7,4.1,4445,,2977,"[""Trendyol Plus'a Özel"",""Sepette %5 İndirim"",""Kargo Bedava""]",7 saat 31 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/universal/arac-on-cam-gunesligi-katlanabilir-semsiye-oto-guneslik-uv-korumali-golgelik-araba-oto-semsiyesi-p-737181074
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,5,5,,106.5,45.2,849262464,,849262464:unknown,Woyax Kancalı Araç Içi Premium Telefon Tutucu - Araba Telefon Tutacağı Havalandırma Için,Woyax,Woyax Deji,494.8,,,InStock,3 günde 500+ ürün satıldı!,3,500,166.7,4.7,3282,,1609,"[""Kargo Bedava""]",7 saat 31 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/woyax/kancali-arac-ici-premium-telefon-tutucu-araba-telefon-tutacagi-havalandirma-icin-p-849262464
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,8,8,,104.8,34.8,378946840,,378946840:unknown,Fine Clean ( 90x60 Cm ) Maxi Boy Mikrofiber Oto Yıkama Ve Araba Kurulama Bezi Ekstra Su Emici,Fine Clean,Fine Clean,179.91,199.9,,InStock,3 günde 250+ ürün satıldı!,3,250,83.3,4.3,2134,,246,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",7 saat 31 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/fine-clean/90x60-cm-maxi-boy-mikrofiber-oto-yikama-ve-araba-kurulama-bezi-ekstra-su-emici-p-378946840
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,10,10,,100.3,43.3,971289078,,971289078:unknown,EVİMA Katlanabilir Oto Güneşlik Şemsiye 75x140 cm UV Korumalı Ön Cam Güneş Koruyucu,EVİMA,EVİMA,248.39,306.66,,InStock,3 günde 250+ ürün satıldı!,3,250,83.3,4.4,137,,130,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",7 saat 31 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/evima/katlanabilir-oto-guneslik-semsiye-75x140-cm-uv-korumali-on-cam-gunes-koruyucu-p-971289078
otomobil-motosiklet:arac-ici-aksesuar,1,101,,99.1,,961711719,126505,961711719:126505,"BAKKİMYA Araç İçi Detaylı Temizlik Sıvısı (Pro) 1 L – Koltuk, Döşeme, Torpido...",BAKKİMYA,BURSA ANADOLU KİMYA,572.03,724.78,,InStock,,,,,,,,,"[""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",7 saat 28 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/bakkimya/arac-ici-detayli-temizlik-sivisi-pro-1-l-koltuk-doseme-torpido-plastik-panel-temizleyici-p-961711719?merchantId=126505
otomobil-motosiklet:arac-ici-aksesuar,2,102,,99.1,,961711868,126505,961711868:126505,BAKKİMYA Ultra Hızlı Cila 1 Litre – Parlaklık Sağlayan Hızlı Uygulamalı Araç ...,BAKKİMYA,BURSA ANADOLU KİMYA,489.48,636.23,,InStock,,,,,,,,,"[""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",7 saat 28 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/bakkimya/ultra-hizli-cila-1-litre-parlaklik-saglayan-hizli-uygulamali-arac-cilasi-p-961711868?merchantId=126505
otomobil-motosiklet:arac-ici-aksesuar,7,107,,98.1,40.8,305657814,1301802,305657814:1301802,Bosch Honda Civic 1.6 Fc5 Karbonlu Filtre Bakım Seti 2017-2021,Bosch,Japon&ZEY Oto Yedek Parça,1650,2100,,InStock,,,,,4.2,21,,51,"[""Trendyol Plus'a Özel"",""50 TL Kupon"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/bosch/honda-civic-1-6-fc5-karbonlu-filtre-bakim-seti-2017-2021-p-305657814?merchantId=1301802
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,3,3,,97.8,62.9,1133197795,,1133197795:unknown,Lionix Silikon Vakumlu Yapışkanlı Kaymaz Vantuz Cep Telefon Tutucu 12 Renk Seçeneği,Lionix,Lionix Store,23.99,24.99,,InStock,3 günde 500+ ürün satıldı!,3,500,166.7,4,26,,243,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",7 saat 31 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/lionix/silikon-vakumlu-yapiskanli-kaymaz-vantuz-cep-telefon-tutucu-12-renk-secenegi-p-1133197795
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,6,6,,91.7,57.4,1126496613,,1126496613:unknown,SHHOBİ Araba Klima Süsü Papatya Araç İçi Aksesuar Klipsli Takmalı 1 Adet (Klips Sağlamlaştırıldı),SHHOBİ,SHHOBİ LAB,32.98,,,InStock,3 günde 500+ ürün satıldı!,3,500,166.7,4.2,83,,20,"[""Kargo Bedava""]",7 saat 31 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/shhobi/araba-klima-susu-papatya-arac-ici-aksesuar-klipsli-takmali-1-adet-klips-saglamlastirildi-p-1126496613
otomobil-motosiklet:arac-ici-aksesuar,12,112,,90.6,38.4,135985225,1301802,135985225:1301802,Bosch Toyota Corolla 1.4 D4d Karbonlu 4'lü Filtre Bakım Seti 2007-2018,Bosch,Japon&ZEY Oto Yedek Parça,1520,2000,,InStock,,,,,4.5,20,,62,"[""Trendyol Plus'a Özel"",""50 TL Kupon"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/bosch/toyota-corolla-1-4-d4d-karbonlu-4-lu-filtre-bakim-seti-2007-2018-p-135985225?merchantId=1301802
