rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,85,85,-25,21.1,14.7,378080448,,378080448:unknown,Selsil Susuz Motor Temizleme Spreyi 500ML Motor Temizleyici,Selsil,ROSIE,199,,0,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.5,268,1,59,"[""Kargo Bedava""]",10 saat 26 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/selsil/susuz-motor-temizleme-spreyi-500ml-motor-temizleyici-p-378080448
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,47,47,-15,20.8,18.5,937245286,,937245286:unknown,CanCo Store Hello Kitty Set Sticker Su Geçirmez Yüksek Çözünürlüklü Araba Motorsiklet Kask Laptop Duvar Sticker,CanCo Store,Özgül Reklam,18.62,19,-2,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.4,137,0,46,"[""Sepette %2 İndirim"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",10 saat 27 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/canco-store/hello-kitty-set-sticker-su-gecirmez-yuksek-cozunurluklu-araba-motorsiklet-kask-laptop-duvar-sticker-p-937245286
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,90,90,-15,23.8,12.1,822695373,,822695373:unknown,babikamium Kumandalı Şarjlı Çift RGB Led Flaşör 2’li Set Araç İçi Ambiyans Pedal Altı Uyarı Lambası,babikamium,Babikamium,660,,0,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.1,577,0,852,"[""Kargo Bedava""]",10 saat 26 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/babikamium/kumandali-sarjli-cift-rgb-led-flasor-2-li-set-arac-ici-ambiyans-pedal-alti-uyari-lambasi-p-822695373
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,79,79,-14,33,12.8,1097952023,,1097952023:unknown,ROBO Süper 4'lü Şarjlı Akü Ateşleyici Lastik şişirici Powebank Led ışık 150Psi Yüksek basınçlı Gri,ROBO,ROBO TÜRKİYE,2145.6,2384,0,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.5,464,2,322,"[""Trendyol Plus'a Özel"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",1 saat 26 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/robo/super-4-lu-sarjli-aku-atesleyici-lastik-sisirici-powebank-led-isik-150psi-yuksek-basincli-gri-p-1097952023
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,93,93,-14,16.9,18.9,190138290,,190138290:unknown,Genel Markalar By Erek 115gr 35x50cm Baskısız 50 Adet Kraft Kağıt Oto Paspas (1 KG),Genel Markalar,ORCOPY,36.5,,2.8,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.2,79,1,23,"[""Kargo Bedava""]",10 saat 26 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/genel-markalar/by-erek-115gr-35x50cm-baskisiz-50-adet-kraft-kagit-oto-paspas-1-kg-p-190138290
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,72,72,-13,32.6,13.3,983873045,,983873045:unknown,GERMAN KUPFERMAX 22 Parça CE ve E Belgeli Araç Muayenesine ve Yol Denetimine Uygun İlk Yardım ve Trafik Seti,GERMAN KUPFERMAX,GERMAN KUPFERMAX,1573.9,1748.78,0,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.7,408,0,238,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",10 saat 26 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/german-kupfermax/22-parca-ce-ve-e-belgeli-arac-muayenesine-ve-yol-denetimine-uygun-ilk-yardim-ve-trafik-seti-p-983873045
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,81,81,-11,23,12.9,213012896,,213012896:unknown,Genel Markalar Araç Yüzey Temizleme Kil Hamuru 100 GRAM,Genel Markalar,MİR OTO,375,,13.6,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.2,459,1,177,"[""Kargo Bedava"",""Sepette %1 İndirim""]",10 saat 26 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/genel-markalar/arac-yuzey-temizleme-kil-hamuru-100-gram-p-213012896
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,31,31,-10,53.6,23.5,278114100,,278114100:unknown,Single Çok Fonksiyonlu 2 In 1 Mikrofiber Araba Yıkama Fırçası Teleskopik Uzun Saplı Detay Fırçası Oto Mopu,Single,Single,284.9,299.9,0,InStock,3 günde 250+ ürün satıldı!,3,250,83.3,4.3,1991,3,376,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",2 saat 27 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/single/cok-fonksiyonlu-2-in-1-mikrofiber-araba-yikama-fircasi-teleskopik-uzun-sapli-detay-fircasi-oto-mopu-p-278114100
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,64,64,-10,34.6,11.2,922389824,,922389824:unknown,Parker Otomotiv Parlak Otomobil Araç Plakalık (2 Adet ) Kişiye Özel Yazılı,Parker Otomotiv,Parker Otomotiv A.Ş,171.89,190.99,0,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.3,732,3,799,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/parker-otomotiv/parlak-otomobil-arac-plakalik-2-adet-kisiye-ozel-yazili-p-922389824
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,24,24,-9,63,31.6,1102463350,,1102463350:unknown,EZERE Vacpro 22000pa Güçlü Dijital Göstergeli Vakumlu Kablosuz Üflemeli Mini Araç Süpürgesi,EZERE,Akıllıphone,1376.55,1449,0,InStock,3 günde 250+ ürün satıldı!,3,250,83.3,4.4,529,529,189,"[""Trendyol Plus'a Özel"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",2 saat 27 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/ezere/vacpro-22000pa-guclu-dijital-gostergeli-vakumlu-kablosuz-uflemeli-mini-arac-supurgesi-p-1102463350
