rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
otomobil-motosiklet:arac-ici-aksesuar,81,181,29,17,18.8,925428347,4651,925428347:4651,Proseg Portatif Vakumlu Mini Kablolu Araç Süpürgesi - Toz Ve Kül Temizliği El Süpürgesi PR-AS04,Proseg,,374,397,-37.6,InStock,,,,,4.2,24,1,36,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/proseg/portatif-vakumlu-mini-kablolu-arac-supurgesi-toz-ve-kul-temizligi-el-supurgesi-pr-as04-p-925428347?boutiqueId=61&merchantId=4651
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,1,1,0,120.6,70.3,939791424,,939791424:unknown,CLNK Araba Güneş Gölge Koruyucu Yenilenmiş Yansıtma Teknoloji Şemsiye Oto Ön Cam Güneşlik Araç Şemsiyesi,CLNK,CLNK TECH,199,,-30.2,InStock,3 günde 1B+ ürün satıldı!,3,1000,333.3,4.1,1722,6,1442,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/clnk/araba-gunes-golge-koruyucu-yenilenmis-yansitma-teknoloji-semsiye-oto-on-cam-guneslik-arac-semsiyesi-p-939791424
otomobil-motosiklet:arac-ici-aksesuar,14,114,30,75.2,24.8,42572747,968792,42572747:968792,CMT Fosforlu Acılır Kapanabilir Numaratör Ön Torpido Üstü Telefon Numarası Göstergesi Araba,CMT,LOVEBELLA,25,,-13.8,InStock,,,,,4.3,795,0,48,"[""15 TL Kupon"",""Sepette %1 İndirim"",""Kargo Bedava""]",1 saat 25 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/cmt/fosforlu-acilir-kapanabilir-numarator-on-torpido-ustu-telefon-numarasi-gostergesi-araba-p-42572747?boutiqueId=61&merchantId=968792
otomobil-motosiklet:arac-ici-aksesuar,35,135,24,30.2,18.3,1146322427,404545,1146322427:404545,BYENS Oto Branda Araba Brandası Çadırı Araç Örtüsü Tentesi Otobranda Araç Güneşlik Ön Cam Perdesi Camı Güneşliği Araç İçi Güneş Önleyici,BYENS,Pratik Center BYENS,759.86,767.54,-9.2,InStock,,,,,4.3,249,1,373,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/byens/oto-branda-araba-brandasi-cadiri-arac-ortusu-tentesi-otobranda-arac-guneslik-on-cam-perdesi-cami-gunesligi-arac-ici-gunes-onleyici-p-1146322427?boutiqueId=61&merchantId=404545
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,39,39,2,28.3,17,793191916,,793191916:unknown,Hologram Kart ARABA ARKA CAM YAZILARI 1 adet HOLOGRAMLI YENİ MODEL,Hologram Kart,Özgül Reklam,32.34,33,-7.6,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.2,674,2,571,"[""Sepette %2 İndirim"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",10 saat 27 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/hologram-kart/araba-arka-cam-yazilari-1-adet-hologramli-yeni-model-p-793191916
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,18,18,2,68.1,38.6,1040758962,,1040758962:unknown,Genel Markalar Bisiklet Scooter Motosiklet Otomatik Tuşlu Motosiklet Gidon Bağlantılı Telefon Tutucu,Genel Markalar,Ayers Teknoloji,185.93,190,-6.6,InStock,3 günde 250+ ürün satıldı!,3,250,83.3,4.2,168,2,313,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",10 saat 28 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/genel-markalar/bisiklet-scooter-motosiklet-otomatik-tuslu-motosiklet-gidon-baglantili-telefon-tutucu-p-1040758962
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,20,20,-4,64.8,36.8,1056980004,,1056980004:unknown,ReklamX Otomobil Motosiklet sticker seti 1 adet,ReklamX,Özgül Reklam,33.32,34,-2,InStock,3 günde 250+ ürün satıldı!,3,250,83.3,3.8,212,0,135,"[""Sepette %2 İndirim"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",10 saat 28 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/reklamx/otomobil-motosiklet-sticker-seti-1-adet-p-1056980004
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,47,47,-15,20.8,18.5,937245286,,937245286:unknown,CanCo Store Hello Kitty Set Sticker Su Geçirmez Yüksek Çözünürlüklü Araba Motorsiklet Kask Laptop Duvar Sticker,CanCo Store,Özgül Reklam,18.62,19,-2,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.4,137,0,46,"[""Sepette %2 İndirim"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",10 saat 27 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/canco-store/hello-kitty-set-sticker-su-gecirmez-yuksek-cozunurluklu-araba-motorsiklet-kask-laptop-duvar-sticker-p-937245286
otomobil-motosiklet:arac-ici-aksesuar,29,129,37,40.5,24,1073308677,1047736,1073308677:1047736,ÖZGÜL REKLAM Tom ve Jerry Gaz Kapağı Sticker Araba sticker / Motor Sticker / Laptop Sticker,ÖZGÜL REKLAM,Özgül Reklam,49,50,-2,InStock,,,,,4.7,115,0,28,"[""Sepette %2 İndirim"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",10 saat 25 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/ozgul-reklam/tom-ve-jerry-gaz-kapagi-sticker-araba-sticker-motor-sticker-laptop-sticker-p-1073308677?boutiqueId=61&merchantId=1047736
otomobil-motosiklet:arac-ici-aksesuar,70,170,46,22,8,792283874,386081,792283874:386081,Genel Markalar Alüminyum Kasa Çevirmeli Araç Içi Park Telefon Numaratör Parkmatik (SİYAH) Tüm Araçlara,Genel Markalar,CHN GROUP,70,,-1.4,InStock,,,,,4.1,557,0,71,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",1 saat 24 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/genel-markalar/aluminyum-kasa-cevirmeli-arac-ici-park-telefon-numarator-parkmatik-siyah-tum-araclara-p-792283874?boutiqueId=61&merchantId=386081
