bestseller_rank,rank_delta,trend_score,niche_score,product_id,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
1,0,146,74.5,752356123,icollagen Kolajen Ve Prebiyotik Tablet,icollagen,FUAR BOX,350,,0,InStock,Son 3 günde 10B+ ürün satıldı!,4.2,,0,23471,"[""Kargo Bedava""]",28 dakika 53 saniye içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/icollagen/kolajen-ve-prebiyotik-tablet-p-752356123?boutiqueId=61&merchantId=1013507
2,0,144.4,74,974364895,MOMORDİCA Coconut Mix - 250 ml,MOMORDİCA,Daily Organics,212.55,217.29,-23.8,InStock,Son 3 günde 10B+ ürün satıldı!,3.7,,-14951,7576,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı"",""Trendyol Plus'a Özel""]",1 saat 28 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/momordica/coconut-mix-250-ml-p-974364895?boutiqueId=61&merchantId=1024688
5,1,141.1,72.5,796088323,Zühre Ana Bromelain Ananas İçeren Detox Şurubu,Zühre Ana,İndirimshop,400,,0,InStock,Son 3 günde 5B+ ürün satıldı!,4.1,,0,31115,"[""Kargo Bedava""]",12 saat 28 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/zuhre-ana/bromelain-ananas-iceren-detox-surubu-p-796088323?boutiqueId=61&merchantId=985455
3,0,136.8,73.5,22730659,Nilem Sihirli Muhteşem Sıvı 1 L,Nilem,İpek Grup,249.9,,0,InStock,Son 3 günde 5B+ ürün satıldı!,4.2,12693,17,906,"[""Kargo Bedava""]",12 saat 28 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/nilem/sihirli-muhtesem-sivi-1-l-p-22730659?boutiqueId=61&merchantId=176892
8,-1,133.3,71,288620006,HARMANA Hindiba Kahvesi 1 Aylık - (60 Kullanım) Net 150gr,HARMANA,Botanica Sağlıklı Yaşam Ürünleri,479,,0,InStock,Son 3 günde 5B+ ürün satıldı!,4.1,,0,28056,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/harmana/hindiba-kahvesi-1-aylik-60-kullanim-net-150gr-p-288620006?boutiqueId=61&merchantId=1303419
6,-2,127.5,72.5,806589462,icollagen İyi Uykular Kolajen Jelibonu - Kedi Otu & 5 Tip Kolajen,icollagen,FUAR BOX,350,,0,InStock,Son 3 günde 5B+ ürün satıldı!,4.2,4867,7,3714,"[""Kargo Bedava""]",28 dakika 48 saniye içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/icollagen/iyi-uykular-kolajen-jelibonu-kedi-otu-5-tip-kolajen-p-806589462?boutiqueId=61&merchantId=1013507
7,2,121,76.5,1120997705,Zühre Ana Kekre Termojenik Mix 250 Ml,Zühre Ana,İndirimshop,324.31,,0,InStock,Son 3 günde 5B+ ürün satıldı!,4,1322,3,1001,"[""Kargo Bedava""]",12 saat 28 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/zuhre-ana/kekre-termojenik-mix-250-ml-p-1120997705?boutiqueId=61&merchantId=985455
4,1,120.9,84.1,1174485891,MOMORDİCA Karnıyarık Otu Mix - 250ml,MOMORDİCA,Daily Organics,279,,0,InStock,Son 3 günde 5B+ ürün satıldı!,4.4,231,6,141,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/momordica/karniyarik-otu-mix-250ml-p-1174485891?boutiqueId=61&merchantId=1024688
14,-1,118.7,68,98844337,EPİFY Epify Tüy Dökücü Krem,EPİFY,Epify,549,,0,InStock,Son 3 günde 2B+ ürün satıldı!,3.6,,0,10819,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/epify/epify-tuy-dokucu-krem-p-98844337?boutiqueId=61&merchantId=1125806
16,0,118.7,67,795882353,STOP Forte Leke Çıkarıcı 750 ML,STOP Forte,MARKA FABRİKASI,149,,0,InStock,Son 3 günde 2B+ ürün satıldı!,4,,0,5424,"[""Kargo Bedava""]",12 saat 28 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/stop-forte/leke-cikarici-750-ml-p-795882353?boutiqueId=61&merchantId=1259078
11,0,113.4,74.1,1130262186,Swedent Gurme Serisi Sütlü Çikolata Sos Kremsi Dokusu ile Zengin ve Akışkan Kıvam,Swedent,KOREACO,269,,0,InStock,Son 3 günde 2B+ ürün satıldı!,4,1497,15,276,"[""Sepette %10 İndirim"",""Kargo Bedava""]",28 dakika 40 saniye içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/swedent/gurme-serisi-sutlu-cikolata-sos-kremsi-dokusu-ile-zengin-ve-akiskan-kivam-p-1130262186?boutiqueId=61&merchantId=126383
19,1,111.8,65.5,266254989,Bilge İlaç Matcha Premium Japanese Premium Japanese Çilek Aromalı Detox Burner Form Maça Çayı 1 Kutu,Bilge İlaç Matcha Premium Japanese,MATCHA GARDEN,185.14,189.88,0,InStock,Son 3 günde 2B+ ürün satıldı!,4.2,,0,21725,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",12 saat 28 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/bilge-ilac-matcha-premium-japanese/premium-japanese-cilek-aromali-detox-burner-form-maca-cayi-1-kutu-p-266254989?boutiqueId=61&merchantId=687241
12,-2,110,75,940900057,"ORNATE Karınca Tüy Azaltıcı Beyazlatıcı, Koku Ve Ter Karşıtı Unisex Doğal Roll On - Aliminyum Içermez",ORNATE,Beauty Stock,399.99,,0,InStock,Son 3 günde 2B+ ürün satıldı!,4.3,999,2,82,"[""Kargo Bedava""]",12 saat 28 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/ornate/karinca-tuy-azaltici-beyazlatici-koku-ve-ter-karsiti-unisex-dogal-roll-on-aliminyum-icermez-p-940900057?boutiqueId=61&merchantId=707288
9,-1,109.2,83.3,1165218449,HARMANA Karnıyarık Otu Tozu 150 Gr,HARMANA,Botanica Sağlıklı Yaşam Ürünleri,499,,0,InStock,Son 3 günde 5B+ ürün satıldı!,4.1,142,1,191,"[""Kargo Bedava"",""Sepette %1 İndirim"",""279 TL Kupon"",""20 TL Kupon"",""Son 10 Günün En Düşük Fiyatı"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/harmana/karniyarik-otu-tozu-150-gr-p-1165218449?boutiqueId=61&merchantId=1303419
13,1,109,73.5,900381109,"icollagen Kolajen, Isırgan Otu, Prebiyotik Şampuan - Dökülen Ve Geç Uzayan Yağlanma Karşıtı",icollagen,Doctamin iCollagen,450,,0,InStock,Son 3 günde 2B+ ürün satıldı!,4.4,1339,2,332,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/icollagen/kolajen-isirgan-otu-prebiyotik-sampuan-dokulen-ve-gec-uzayan-yaglanma-karsiti-p-900381109?boutiqueId=61&merchantId=1224693
20,-3,106.5,65,450797981,Nutraxin Magnezyum Complex 60 Tablet 125 Mg - Bisiglinat - Taurat - Malat - Sitrat - B6,Nutraxin,Pharmasya Kozmetik ve Sağlık,441.9,,0,InStock,Son 3 günde 2B+ ürün satıldı!,4.6,,-15250,8739,"[""Kargo Bedava""]",3 saat 28 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/nutraxin/magnezyum-complex-60-tablet-125-mg-bisiglinat-taurat-malat-sitrat-b6-p-450797981?boutiqueId=61&merchantId=337532
50,-7,105,51.9,728936456,eliamora Çocuk Güneş Kremi 50 Spf,eliamora,Eczamed,189,355.93,-5.5,InStock,"Son 3 günde 1,5B+ ürün satıldı!",4.4,3294,1,1032,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",12 saat 27 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/eliamora/cocuk-gunes-kremi-50-spf-p-728936456?boutiqueId=61&merchantId=1084029
133,-4,102,25,399326376,Erbatab Vitamin D3 K2 2'si 1 Arada Damla,Erbatab,,370.56,926.4,0,InStock,Son 3 günde 500+ ürün satıldı!,4.7,9899,0,4676,"[""Kargo Bedava"",""Sepette %60 İndirim"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/erbatab/vitamin-d3-k2-2-si-1-arada-damla-p-399326376?boutiqueId=61&merchantId=679772
17,1,100.2,72.3,1130262843,Swedent Gurme Serisi Beyaz Çikolata Sos İpeksi Dokusu ile Dengeli ve Akışkan Kıvam,Swedent,KOREACO,269,,0,InStock,Son 3 günde 2B+ ürün satıldı!,4.2,1073,7,158,"[""Kargo Bedava""]",28 dakika 29 saniye içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/swedent/gurme-serisi-beyaz-cikolata-sos-ipeksi-dokusu-ile-dengeli-ve-akiskan-kivam-p-1130262843?boutiqueId=61&merchantId=126383
166,-12,99.8,25.2,467921164,Erbatab Vitamin B12- Folik Asit B9 Tablet Metilkobalamin-Metilfolat,Erbatab,erbatabstore,370.56,926.4,0,InStock,Son 3 günde 500+ ürün satıldı!,4.7,5256,0,2788,"[""Kargo Bedava"",""Sepette %60 İndirim"",""Trendyol Plus'a Özel""]",2 saat 24 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/erbatab/vitamin-b12-folik-asit-b9-tablet-metilkobalamin-metilfolat-p-467921164?boutiqueId=61&merchantId=679772
194,-4,99.4,25.6,654597461,Erbatab Demir 30 Kapsül,Erbatab,erbatabstore,370.56,926.4,0,InStock,Son 3 günde 500+ ürün satıldı!,4.6,4667,0,2375,"[""Kargo Bedava"",""Sepette %60 İndirim"",""Trendyol Plus'a Özel""]",2 saat 23 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/erbatab/demir-30-kapsul-p-654597461?boutiqueId=61&merchantId=679772
63,3,98.5,51.5,835153031,Naturagen Bromelain 2500 GDU 1000 mg 60 Kapsül | Ananas Kaynaklı Enzim | Yüksek Enzim Aktivitesi,Naturagen,,449.9,899.9,0,InStock,Son 3 günde 1B+ ürün satıldı!,4.5,3641,5,1653,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/naturagen/bromelain-2500-gdu-1000-mg-60-kapsul-ananas-kaynakli-enzim-yuksek-enzim-aktivitesi-p-835153031?boutiqueId=61&merchantId=156693
21,4,93.1,69.4,989033110,Evonox Clean Oxi Force Toz Leke Çıkarıcı 750 gr,Evonox,İndirimshop,365.26,,0,InStock,Son 3 günde 2B+ ürün satıldı!,4.3,1355,2,297,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/evonox/clean-oxi-force-toz-leke-cikarici-750-gr-p-989033110?boutiqueId=61&merchantId=985455
91,1,90.7,50,47932852,Mayi Tuz İyotlu İnce Öğütülmüş Doğal Kaynak Tuzu 2000 g e,Mayi Tuz,MAYİ TUZ,348,580,0,InStock,Son 3 günde 1B+ ürün satıldı!,4.8,6922,-2,968,"[""Sepette %40 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/mayi-tuz/iyotlu-ince-ogutulmus-dogal-kaynak-tuzu-2000-g-e-p-47932852?boutiqueId=61&merchantId=130268
