rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
supermarket:birlesik-supermarket,180,180,-95,21.3,37.9,1163833845,884398,1163833845:884398,"Züber Ice Tea Soğuk Çay Deneme Paketi 250ml x 12 Adet (Limon, Şeftali, Tropik, Mango&Greyfurt)",Züber,Züber,546,,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.7,41,7,11,"[""75 TL Kupon"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/zuber/ice-tea-soguk-cay-deneme-paketi-250ml-x-12-adet-limon-seftali-tropik-mango-greyfurt-p-1163833845?boutiqueId=61&merchantId=884398
supermarket:birlesik-supermarket,182,182,-78,29.5,29.7,949487796,884398,949487796:884398,Züber Ice Tea Şeftali Soğuk Çay 250ml x 12 Adet,Züber,Züber,543.9,,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.8,440,1,38,"[""75 TL Kupon"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/zuber/ice-tea-seftali-soguk-cay-250ml-x-12-adet-p-949487796?boutiqueId=61&merchantId=884398
supermarket:birlesik-supermarket,139,139,-71,30.8,28.4,1078929568,1194314,1078929568:1194314,WOU World of Unique Wou Ter Önleyici Leke Karşıtı Roll-On 75 ml Women,WOU World of Unique,Kozfa Store,175.38,,-17.6,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.4,643,3,129,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/wou-world-of-unique/wou-ter-onleyici-leke-karsiti-roll-on-75-ml-women-p-1078929568?boutiqueId=61&merchantId=1194314
supermarket:birlesik-supermarket,173,173,-58,32.9,27.3,920570825,315690,920570825:315690,SMARTER Aqua Master Üçgen Aparat Ve Kare Mop Hediyeli Temiz & Kirli Su Ayırma Temizlik Seti Paspas,SMARTER,SMARTER,1042.31,1052.84,-32.7,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.3,882,3,413,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Peşin Fiyatına 3 Taksit"",""Son 10 günün en düşük fiyatı""]",3 saat 23 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/smarter/aqua-master-ucgen-aparat-ve-kare-mop-hediyeli-temiz-kirli-su-ayirma-temizlik-seti-paspas-p-920570825?boutiqueId=61&merchantId=315690
supermarket:birlesik-supermarket,154,154,-57,27.2,32,1135800996,884398,1135800996:884398,Züber Nutzilla Fındık Kreması 315g (Yeni),Züber,,372,,-0.5,InStock,3 günde 500+ ürün satıldı!,3,500,166.7,4.8,226,2,,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/zuber/nutzilla-findik-kremasi-315g-yeni-p-1135800996?boutiqueId=61&merchantId=884398
supermarket:birlesik-supermarket,130,130,-54,38.4,20.8,825166201,137544,825166201:137544,Kitchen Beauty Kendinden Desenli Yağlı Kağıt | 50 Adet Vintage Gazete Desen Sunum Kağıdı | Karışık Desen,Kitchen Beauty,Eymen Ticaret,49.99,,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.7,5724,1,403,"[""Kargo Bedava""]",1 saat 24 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/kitchen-beauty/kendinden-desenli-yagli-kagit-50-adet-vintage-gazete-desen-sunum-kagidi-karisik-desen-p-825166201?boutiqueId=61&merchantId=137544
supermarket:birlesik-supermarket,162,162,-54,39.6,24.7,98763827,179281,98763827:179281,ISANA DEODORANT KREM 50ML SODYUM KARBONATLI,ISANA,Rossmann,150,158,-39.8,InStock,3 günde 500+ ürün satıldı!,3,500,166.7,4.5,1848,10,398,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",2 saat 23 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/isana/deodorant-krem-50ml-sodyum-karbonatli-p-98763827?boutiqueId=61&merchantId=179281
supermarket:birlesik-supermarket,138,138,-45,31.7,27.4,982021345,830154,982021345:830154,CALLİEL Cilde Nüfuzu Kolaylaştıran Pamuk Tonik Pad 160 Adet,CALLİEL,Calliel,186.52,,-34.5,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.5,838,5,88,"[""Sepette %1 İndirim"",""Kargo Bedava""]",5 saat 24 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/calliel/cilde-nufuzu-kolaylastiran-pamuk-tonik-pad-160-adet-p-982021345?boutiqueId=61&merchantId=830154
supermarket:birlesik-supermarket,108,108,-39,34.8,24.3,994448280,1259078,994448280:1259078,STOP Forte Cam Temizleyici Sprey 750 ml,STOP Forte,MARKA FABRİKASI,149,,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.1,2054,2,112,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",12 saat 25 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/stop-forte/cam-temizleyici-sprey-750-ml-p-994448280?boutiqueId=61&merchantId=1259078
supermarket:birlesik-supermarket,75,75,-36,45.3,43,870319022,781333,870319022:781333,Rivance Genital Koku Giderici Ve Koku Önleyici %100 Saf Niaouli Suyu Hidrosol,Rivance,Rivance,199.9,,-47.4,InStock,Son 3 günde 1B+ ürün satıldı!,3,1000,333.3,4.2,3796,4,1484,"[""Kargo Bedava""]",5 saat 26 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/rivance/genital-koku-giderici-ve-koku-onleyici-100-saf-niaouli-suyu-hidrosol-p-870319022?boutiqueId=61&merchantId=781333
supermarket:birlesik-supermarket,194,194,-30,25.1,34,1172667638,831253,1172667638:831253,İLEİDA Yeşil Mix Sirke 250ml,İLEİDA,ILEIDA COSMETICS,599.99,,76.5,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.8,125,13,72,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/ileida/yesil-mix-sirke-250ml-p-1172667638?boutiqueId=61&merchantId=831253
supermarket:birlesik-supermarket,116,116,-29,37.4,21.8,220063980,168061,220063980:168061,Proteinocean CREATİNE - 120g - 40 servis,Proteinocean,Proteinocean,229,,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.6,4271,-2,4336,"[""Kargo Bedava""]",3 saat 25 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/proteinocean/creatine-120g-40-servis-p-220063980?boutiqueId=61&merchantId=168061
