bestseller_rank,rank_delta,trend_score,niche_score,product_id,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,rating,review_count,review_delta,question_count,campaigns,delivery_summary,url
57,,65.6,24.4,1137564581,Defacto %100 Pamuk Oversıze Kısa Kollu Polo Tişört Erkek Bebek G7483A526SM,Defacto,DeFacto,200,499.99,,InStock,,5,,,2,"[""Sepette %60 İndirim"",""20 TL Kupon"",""Süper Fırsat Ürünü""]",Tahmini Teslim:,https://www.trendyol.com/defacto/100-pamuk-oversize-kisa-kollu-polo-tisort-erkek-bebek-g7483a526sm-p-1137564581?boutiqueId=61&merchantId=1188
81,,71.8,18.2,1136076428,Defacto %100 Pamuk New Regular Fıt Bisiklet Yaka Kısa Kollu Tişört Erkek Çocuk G9417A826SM,Defacto,DeFacto,200,499.99,,InStock,,4.5,,,2,"[""Sepette %60 İndirim"",""20 TL Kupon"",""Süper Fırsat Ürünü"",""Kargo Bedava""]",Tahmini Teslim:,https://www.trendyol.com/defacto/100-pamuk-new-regular-fit-bisiklet-yaka-kisa-kollu-tisort-erkek-cocuk-g9417a826sm-p-1136076428?boutiqueId=61&merchantId=1188
12,,120.7,41.8,987253589,"Genel Markalar 3'lü Bebek Vakumlu Döner Topaç: Duyu Gelişimi Destekli, Serbest Kombinasyonlu ABS Hayvan Oyuncağı",Genel Markalar,BBSKY,599,998.34,,InStock,Son 3 günde 250+ ürün satıldı!,4.5,288,,26,"[""Sepette %40 İndirim"",""125 TL Kupon"",""Kargo Bedava"",""Sepette %20 İndirim""]",11 saat 15 dakika içinde sipariş verirsen en geç yarın kargoda!,https://www.trendyol.com/genel-markalar/3-lu-bebek-vakumlu-doner-topac-duyu-gelisimi-destekli-serbest-kombinasyonlu-abs-hayvan-oyuncagi-p-987253589?boutiqueId=61&merchantId=1164978
17,,98.7,50.1,862599544,H&M Straight Leg Okul Pantolonu,H&M,H&M,299.99,489.99,,InStock,Son 3 günde 250+ ürün satıldı!,4.6,,,4,"[""20 TL Kupon"",""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,https://www.trendyol.com/h-m/straight-leg-okul-pantolonu-p-862599544?boutiqueId=61&merchantId=982060
56,,45.3,18.3,949434512,H&M Spor Ayakkabı,H&M,H&M,729.99,1099,,InStock,,4.8,,,10,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,https://www.trendyol.com/h-m/spor-ayakkabi-p-949434512?boutiqueId=61&merchantId=982060
86,,35.6,24.4,1164197102,ebebek Hello Baby HelloBaby Kız Çarık Çorap Kız Bebek,ebebek Hello Baby,ebebek,35.94,51.35,,InStock,,4.4,4,,3,"[""Sepette %30 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,https://www.trendyol.com/ebebek-hello-baby/hellobaby-kiz-carik-corap-kiz-bebek-p-1164197102?boutiqueId=61&merchantId=392
89,,30,,1182060703,ebebek Hello Baby HelloBaby Unisex Çarık Çorap Unisex,ebebek Hello Baby,ebebek,35.94,51.35,,InStock,,,,,1,"[""Sepette %30 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,https://www.trendyol.com/ebebek-hello-baby/hellobaby-unisex-carik-corap-unisex-p-1182060703?boutiqueId=61&merchantId=392
88,,36.2,22.8,954111091,ebebek Hello Baby HelloBaby Kız Bebek Basic Tişört Bisiklet Yaka Atlet Kol Koyu Pembe,ebebek Hello Baby,ebebek,85.59,120.56,,InStock,,4.7,7,,1,"[""Kargo Bedava""]",Tahmini Teslim:,https://www.trendyol.com/ebebek-hello-baby/hellobaby-kiz-bebek-basic-tisort-bisiklet-yaka-atlet-kol-koyu-pembe-p-954111091?boutiqueId=61&merchantId=392
2,,133.2,59.1,858144107,H&M 3’lü Pamuklu Kolsuz Üst,H&M,H&M,399.99,549.99,,InStock,Son 3 günde 500+ ürün satıldı!,4.7,,,12,"[""20 TL Kupon"",""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,https://www.trendyol.com/h-m/3-lu-pamuklu-kolsuz-ust-p-858144107?boutiqueId=61&merchantId=982060
84,,38.1,16.9,858277293,H&M 5'li Kaymaz Korumalı Çorap,H&M,H&M,299.99,399.99,,InStock,,4.3,,,7,"[""20 TL Kupon"",""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,https://www.trendyol.com/h-m/5-li-kaymaz-korumali-corap-p-858277293?boutiqueId=61&merchantId=982060
