bestseller_rank,rank_delta,trend_score,niche_score,product_id,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
185,-108,30,,1182060703,ebebek Hello Baby HelloBaby Unisex Çarık Çorap Unisex,ebebek Hello Baby,ebebek,89.87,128.39,150.1,InStock,,,,0,1,"[""Sepette %30 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/ebebek-hello-baby/hellobaby-unisex-carik-corap-unisex-p-1182060703?boutiqueId=61&merchantId=392
123,-106,47.7,21.1,862599544,H&M Straight Leg Okul Pantolonu,H&M,H&M,299.99,489.99,0,InStock,,4.6,,0,4,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/h-m/straight-leg-okul-pantolonu-p-862599544?boutiqueId=61&merchantId=982060
177,-60,13.8,16.2,1146153558,Dark Seer DS Speedy Beyaz Mavi Tekerlekli Işıklı Paten Çocuk Ayakkabı Sneaker,Dark Seer,Dark Seer,1799.9,,0,InStock,,4.2,,0,45,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/dark-seer/ds-speedy-beyaz-mavi-tekerlekli-isikli-paten-cocuk-ayakkabi-sneaker-p-1146153558?boutiqueId=61&merchantId=104936
93,-59,37.7,12.3,884099202,H&M Sweatshirt Jogger Pantolon,H&M,H&M,399.99,499.99,0,InStock,,4.7,,0,6,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/h-m/sweatshirt-jogger-pantolon-p-884099202?boutiqueId=61&merchantId=982060
116,-53,19.9,10.1,943669033,Kiko Kids Unibella Unicorn Kız Çocuk Topuklu Simli Abiye Terlik,Kiko Kids,Kiko Kids,834.22,,0,InStock,,4.5,,0,21,"[""Sepette %2 İndirim"",""50 TL Kupon"",""Kargo Bedava"",""Sepette %5 İndirim"",""Trendyol Plus'a Özel""]",12 saat 43 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/kiko-kids/unibella-unicorn-kiz-cocuk-topuklu-simli-abiye-terlik-p-943669033?boutiqueId=61&merchantId=719604
79,-50,28.6,21.4,944489107,H&M Pamuklu Muslin Tulum,H&M,H&M,479.99,599.99,0,InStock,,5,11,0,5,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/h-m/pamuklu-muslin-tulum-p-944489107?boutiqueId=61&merchantId=982060
109,-40,23.4,6.6,137975483,Dolu Su Ve Kum Aktivite Masası Kırmızı 3070,Dolu,Happy Center,1676.99,,0,InStock,,4.7,837,0,415,"[""50 TL Kupon"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",9 saat 43 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/dolu/su-ve-kum-aktivite-masasi-kirmizi-3070-p-137975483?boutiqueId=61&merchantId=104968
61,-36,15,15,43304618,Genel Markalar Havuz Ve Deniz Makarnası,Genel Markalar,jetlegelsin,73.41,,46.8,InStock,,4.3,75,0,64,"[""Sepette %1 İndirim"",""Kargo Bedava""]",12 saat 44 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/genel-markalar/havuz-ve-deniz-makarnasi-p-43304618?boutiqueId=61&merchantId=397045
65,-30,39.9,13.2,858258668,H&M 5'li Kaymaz Korumalı Çorap,H&M,H&M,299.99,389.99,0,InStock,,4.7,,0,14,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/h-m/5-li-kaymaz-korumali-corap-p-858258668?boutiqueId=61&merchantId=982060
142,-27,15.6,15.4,43837806,Genel Markalar Plaj Havlu Mandalı - Şezlong Mandalı - Mandal Xl 4 Adet,Genel Markalar,PANJİ EV GEREÇLERİ,138.5,139.9,-9,InStock,,4.6,66,0,30,"[""Sepette %1 İndirim"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Trendyol Plus'a Özel""]",21 saat 42 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/genel-markalar/plaj-havlu-mandali-sezlong-mandali-mandal-xl-4-adet-p-43837806?boutiqueId=61&merchantId=119768
