bestseller_rank,rank_delta,trend_score,niche_score,product_id,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
199,-103,18.6,11.4,1077372867,Genel Markalar 78 Parça Manyetik Yapı Blokları Mıknatıslı Bloklar Fermuarlı Taşıma Poşeti Hediyeli,Genel Markalar,datoys,1499,,-25,InStock,,4.2,212,3,73,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/genel-markalar/78-parca-manyetik-yapi-bloklari-miknatisli-bloklar-fermuarli-tasima-poseti-hediyeli-p-1077372867?boutiqueId=61&merchantId=1297097
147,-4,7.2,22.8,1144879174,LEGO ® Botanicals Kozmos Çiçekleri 11514 - 9 Yaş Üzeri Çocuklar için Oyuncak Yapım Seti (171 Parça),LEGO,Trendyol,629,,-22.6,InStock,,4.8,7,0,1,"[""Kargo Bedava""]",5 saat 53 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/lego/botanicals-kozmos-cicekleri-11514-9-yas-uzeri-cocuklar-icin-oyuncak-yapim-seti-171-parca-p-1144879174?boutiqueId=690823&merchantId=968
165,0,6.8,23.2,1071656947,LEGO ® ǀ Marvel Örümcek Adam vs. Ghost Rider Motosikleti 76335 - 6+ Yaratıcı Oyuncak Yapım Seti (72P),LEGO,Trendyol,479,,-20.2,InStock,,4.9,6,0,4,"[""Kargo Bedava""]",5 saat 52 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/lego/marvel-orumcek-adam-vs-ghost-rider-motosikleti-76335-6-yaratici-oyuncak-yapim-seti-72p-p-1071656947?boutiqueId=690823&merchantId=968
191,-39,13.2,16.8,1071656941,LEGO ® Speed Champions | Şimşek McQueen 77255 – 9+ Yaratıcı Oyuncak Yapım Seti (270 Parça),LEGO,Trendyol,1159,,-17.7,InStock,,4.7,44,0,17,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",5 saat 52 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/lego/speed-champions-simsek-mcqueen-77255-9-yaratici-oyuncak-yapim-seti-270-parca-p-1071656941?boutiqueId=690823&merchantId=968
178,-8,21.2,8.8,655324356,LEGO ® Creator Uzay Mekiği 31134 - 6+ Çocuklar için Yaratıcı Oyuncak Yapım Seti (144P),LEGO,Trendyol,473.71,,-12.1,InStock,,4.8,448,-1,49,"[""Kargo Bedava""]",5 saat 52 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/lego/creator-uzay-mekigi-31134-6-cocuklar-icin-yaratici-oyuncak-yapim-seti-144p-p-655324356?boutiqueId=690823&merchantId=968
139,-22,17.9,12.1,1146936151,RAMEH Yuvarlak Pembe Oyuncaklı Gölgelikli Tenteli Çocuk Deniz Simiti Baby Float Bebek Deniz Simiti 0-3 Yaş Bebek Botu Pembe,RAMEH,ÖZER TOYS,669.9,,-10.1,InStock,,3.8,,0,78,"[""Kargo Bedava"",""Sepette %2 İndirim""]",14 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/rameh/yuvarlak-pembe-oyuncakli-golgelikli-tenteli-cocuk-deniz-simiti-baby-float-bebek-deniz-simiti-0-3-yas-bebek-botu-pembe-p-1146936151?boutiqueId=61&merchantId=1309280
129,33,26,9.5,39449150,Genel Markalar Oyuncak Otomatik Robota Dönüşen Araba,Genel Markalar,KİNKU,172,182,-10,InStock,,4,365,1,286,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",5 saat 53 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/genel-markalar/oyuncak-otomatik-robota-donusen-araba-p-39449150?boutiqueId=61&merchantId=752303
163,-23,15,15,1073249098,LEGO ® Speed Champions Ferrari SF90 XX Stradale Spor Araba 77254 - 9+ Oyuncak Yapım seti (339 Parça),LEGO,Trendyol,1299,,-9.9,InStock,,4.5,75,0,21,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",5 saat 53 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/lego/speed-champions-ferrari-sf90-xx-stradale-spor-araba-77254-9-oyuncak-yapim-seti-339-parca-p-1073249098?boutiqueId=690823&merchantId=968
86,0,25.6,4.4,72392826,Genel Markalar Ahşap Kızma Birader Kutu Oyunu,Genel Markalar,JOY SMART,114,,-9.5,InStock,,4.4,1572,1,249,"[""Kargo Bedava""]",14 saat 55 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/genel-markalar/ahsap-kizma-birader-kutu-oyunu-p-72392826?boutiqueId=61&merchantId=1312738
164,29,13.6,16.4,1071656852,LEGO ® Botanicals Papatyalar 11508 - 9+ Yaratıcı Oyuncak Yapım Seti (133 Parça),LEGO,Trendyol,729,,-9.3,InStock,,4.6,49,0,6,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",5 saat 52 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/lego/botanicals-papatyalar-11508-9-yaratici-oyuncak-yapim-seti-133-parca-p-1071656852?boutiqueId=690823&merchantId=968
