bestseller_rank,rank_delta,trend_score,niche_score,product_id,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
109,75,20.6,9.4,994709860,Genel Markalar Stıtch Blind Box Dünyası,Genel Markalar,Rüya Gezegeni,266,,0,InStock,,3.8,377,0,196,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",14 saat 54 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/genel-markalar/stitch-blind-box-dunyasi-p-994709860?boutiqueId=61&merchantId=109643
92,74,35.7,4.1,123832512,yükselen zeka Zeka Kutusu (2-4 Yaş),yükselen zeka,YÜKSELEN ZEKA,284.05,314.8,0,InStock,,4.8,1738,0,138,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/yukselen-zeka/zeka-kutusu-2-4-yas-p-123832512?boutiqueId=61&merchantId=126620
106,66,29.2,10.8,993610751,Brother Toys Yürüyen Yengeç Oyuncak İpli Işıklı Müzikli Emeklemeye ve Yürümeye Yardımcı Pilli,Brother Toys,BROTHERTOYS,359.12,399.02,0,InStock,,3.8,247,3,40,"[""Kargo Bedava""]",4 saat 54 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/brother-toys/yuruyen-yengec-oyuncak-ipli-isikli-muzikli-emeklemeye-ve-yurumeye-yardimci-pilli-p-993610751?boutiqueId=61&merchantId=190370
114,64,14.4,15.6,1081274133,yükselen zeka Keçemino Etkinlik Halısı - Deniz Dünyası,yükselen zeka,YÜKSELEN ZEKA,348.15,,0,InStock,,4.7,63,0,15,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/yukselen-zeka/kecemino-etkinlik-halisi-deniz-dunyasi-p-1081274133?boutiqueId=61&merchantId=126620
100,57,9.2,20.8,1157273060,SheMask Takma Tırnak Çocuk Kız Çocuk Oyuncak Kendinden Yapışkanlı Takma Tırnak Seti Çocuklar İçin Takma Tırnak Protez Tırnak Seti Tırnak Süsü Takma Tırnak Aksesuarı Renkli Tırnaklar Takma Tırnak Aksesuarı,SheMask,SHEMASKTR,73.49,,63.3,InStock,,4.8,13,0,12,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",4 saat 54 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/shemask/takma-tirnak-cocuk-kiz-cocuk-oyuncak-kendinden-yapiskanli-takma-tirnak-seti-cocuklar-icin-takma-tirnak-protez-tirnak-seti-tirnak-susu-takma-tirnak-aksesuari-renkli-tirnaklar-takma-tirnak-aksesuari-p-1157273060?boutiqueId=61&merchantId=1240595
124,53,13.8,26.2,1176666459,HAK İŞ OYUNCAK 72 Parça Manyetik Yapı Blokları | Eğitici Mıknatıslı İnşa Oyuncağı | 3+ Yaş Çocuk Gelişim Oyuncağı,HAK İŞ OYUNCAK,jetlegelsin,1296,1440,0,InStock,,5,2,1,4,"[""25 TL Kupon"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",14 saat 54 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/hak-is-oyuncak/72-parca-manyetik-yapi-bloklari-egitici-miknatisli-insa-oyuncagi-3-yas-cocuk-gelisim-oyuncagi-p-1176666459?boutiqueId=61&merchantId=397045
128,46,18.5,11.5,921219595,KİNKU Cars Şimşek Mcqueen Uzaktan Kumandalı Full Fonksiyon Araba,KİNKU,KİNKU,349.95,,0,InStock,,3.9,207,0,97,"[""Kargo Bedava""]",5 saat 53 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/kinku/cars-simsek-mcqueen-uzaktan-kumandali-full-fonksiyon-araba-p-921219595?boutiqueId=61&merchantId=752303
97,42,7.8,23.2,1123317212,OYUNKAFASI 20 Adet Suda Büyüyen Dinazor Yumurtası – 3 cm Çatlayan Sürpriz Dinazor Yumurta Hediyelik Oyuncak,OYUNKAFASI,OYUNKAFASI,376.19,379.99,0,InStock,,4,6,0,2,"[""Sepette %1 İndirim"",""Kargo Bedava""]",1 saat 54 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/oyunkafasi/20-adet-suda-buyuyen-dinazor-yumurtasi-3-cm-catlayan-surpriz-dinazor-yumurta-hediyelik-oyuncak-p-1123317212?boutiqueId=61&merchantId=769726
156,41,19.9,11.7,156159165,let's be child Lc Eğitici Geometrik Şekiller,let's be child,PrefToys,380,385.99,-1,InStock,,4.8,195,0,28,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",2 saat 53 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/let-s-be-child/lc-egitici-geometrik-sekiller-p-156159165?boutiqueId=61&merchantId=129944
76,39,20.9,9.1,711778349,devtoptan Ahşap Mızıka Nefes Egzersizi Çocuk Müzik Aleti,devtoptan,babynow,44,,9.5,InStock,,4.2,413,0,427,"[""Kargo Bedava""]",14 saat 55 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/devtoptan/ahsap-mizika-nefes-egzersizi-cocuk-muzik-aleti-p-711778349?boutiqueId=61&merchantId=985476
