rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
cocuk:genel-cocuk,78,78,115,33.7,6.3,125884323,153297,125884323:153297,Molmini Plus Bel & Sırt Destekli Ergonomik Kanguru 4-12 KG Çok Yönlü Ayarlanabilir Siyah,Molmini,Opera Bebek,657.98,731.09,-29.9,InStock,,,,,4.4,918,1,449,"[""Kargo Bedava""]",2 saat 54 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/molmini/plus-bel-sirt-destekli-ergonomik-kanguru-4-12-kg-cok-yonlu-ayarlanabilir-siyah-p-125884323?boutiqueId=61&merchantId=153297
cocuk:genel-cocuk,49,49,111,56.7,3.8,687705772,357212,687705772:357212,Go Toys Otobant Eğitici Ve Eğlenceli Yol Yapım Bandı - Çocuk Trafik Bantı - Road Tape Oyun Bandı,Go Toys,Shopist,97.3,139,0,InStock,,,,,4.4,2174,-8,168,"[""Sepette %30 İndirim"",""Kargo Bedava""]",1 saat 55 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/go-toys/otobant-egitici-ve-eglenceli-yol-yapim-bandi-cocuk-trafik-banti-road-tape-oyun-bandi-p-687705772?boutiqueId=61&merchantId=357212
cocuk:genel-cocuk,41,41,105,24.1,10.4,123276089,224156,123276089:224156,Genel Markalar Erkek Çocuk Polo Yaka Kısa Kol Okul T-shirt Beyaz,Genel Markalar,kinderos,199,,,InStock,,,,,4.1,,0,119,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",14 saat 55 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/genel-markalar/erkek-cocuk-polo-yaka-kisa-kol-okul-t-shirt-beyaz-p-123276089?boutiqueId=61&merchantId=224156
cocuk:genel-cocuk,71,71,103,53.3,6.7,883281509,357212,883281509:357212,Go Toys Go Blocks 80 Parça Yapı Blok Seti Multi Blok Saklama Çantalı Shopist,Go Toys,Shopist,209.3,299,0,InStock,,,,,4.1,824,0,102,"[""Sepette %30 İndirim"",""Kargo Bedava""]",1 saat 55 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/go-toys/go-blocks-80-parca-yapi-blok-seti-multi-blok-saklama-cantali-shopist-p-883281509?boutiqueId=61&merchantId=357212
cocuk:genel-cocuk,27,27,101,61.9,21.9,110574796,290479,110574796:290479,Mai Perla Unisex Bebek Sarı Arılı 3 Lü Zıbın Takımı,Mai Perla,Mai Perla,299.9,,61.8,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.2,,0,165,"[""Kargo Bedava""]",5 saat 56 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/mai-perla/unisex-bebek-sari-arili-3-lu-zibin-takimi-p-110574796?boutiqueId=61&merchantId=290479
cocuk:genel-cocuk,76,76,92,37.8,7,786143904,1287416,786143904:1287416,Genel Markalar Yenidoğan Kundak (kundağın amacı dar olmasıdır),Genel Markalar,ATLI KİDS,929.99,1091.29,,InStock,,,,,4.5,,0,223,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/genel-markalar/yenidogan-kundak-kundagin-amaci-dar-olmasidir-p-786143904?boutiqueId=61&merchantId=1287416
cocuk:genel-cocuk,69,69,83,15.4,16.6,963473309,131861,963473309:131861,"Çantaland 3’Lü İlkokul Labubu Baskılı Lila, Kız Çocuk Beslenmeli Ve Kalemlikli Okul Çantası",Çantaland,Çantaland,881.9,899.9,57.9,InStock,,,,,4.9,,0,19,"[""Sepette %2 İndirim"",""Kargo Bedava""]",4 saat 55 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/cantaland/3-lu-ilkokul-labubu-baskili-lila-kiz-cocuk-beslenmeli-ve-kalemlikli-okul-cantasi-p-963473309?boutiqueId=61&merchantId=131861
cocuk:genel-cocuk,93,93,72,57.4,2.6,759755770,357212,759755770:357212,Go Toys Bionic Man Eğitici Aktivite Oyuncağı,Go Toys,Shopist,103.6,148,0,InStock,,,,,4.6,2685,2,123,"[""Sepette %30 İndirim"",""Kargo Bedava""]",1 saat 54 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/go-toys/bionic-man-egitici-aktivite-oyuncagi-p-759755770?boutiqueId=61&merchantId=357212
cocuk:genel-cocuk,119,119,68,16.8,13.2,1117576645,707705,1117576645:707705,OMY %100 PAMUK 3-6-9 AY BANDANALI OMZU FIRFIRLI LEOPAR DESENLİ TULUM TAKIM 2'Lİ SET BEBEK&ÇOCUK TAKIM,OMY,OMY,279.9,,0,InStock,,,,,4.1,125,3,22,"[""Kargo Bedava""]",14 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/omy/100-pamuk-3-6-9-ay-bandanali-omzu-firfirli-leopar-desenli-tulum-takim-2-li-set-bebek-cocuk-takim-p-1117576645?boutiqueId=61&merchantId=707705
cocuk:genel-cocuk,80,80,58,29.2,10.8,993610751,190370,993610751:190370,Brother Toys Yürüyen Yengeç Oyuncak İpli Işıklı Müzikli Emeklemeye ve Yürümeye Yardımcı Pilli,Brother Toys,BROTHERTOYS,359.12,399.02,0,InStock,,,,,3.8,248,1,41,"[""Kargo Bedava""]",4 saat 54 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/brother-toys/yuruyen-yengec-oyuncak-ipli-isikli-muzikli-emeklemeye-ve-yurumeye-yardimci-pilli-p-993610751?boutiqueId=61&merchantId=190370
cocuk:genel-cocuk,124,124,55,17.9,12.1,1030668964,527139,1030668964:527139,ENİA BABY Erkek Bebek 2'li %100 Pamuklu Patikli Desenli Yenidoğan Tulum Seti 0-3 Ay,ENİA BABY,ENİA BABY,391.9,,0,InStock,,,,,4.5,171,1,31,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Trendyol Plus'a Özel""]",3 saat 53 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/enia-baby/erkek-bebek-2-li-100-pamuklu-patikli-desenli-yenidogan-tulum-seti-0-3-ay-p-1030668964?boutiqueId=61&merchantId=527139
cocuk:genel-cocuk,94,94,55,15.2,14.8,1131337232,953413,1131337232:953413,Royal Glow Kore Tarzı Ayıcıklı Aksesuarlı Kız Çocuk İlkokul Çantası Termal Beslenme Çantası ve Kalemlik 3lü Set,Royal Glow,Royal Glow,1295.9,,8.4,InStock,,,,,4.7,,0,35,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit"",""Trendyol Plus'a Özel""]",2 saat 54 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/royal-glow/kore-tarzi-ayicikli-aksesuarli-kiz-cocuk-ilkokul-cantasi-termal-beslenme-cantasi-ve-kalemlik-3lu-set-p-1131337232?boutiqueId=61&merchantId=953413
cocuk:genel-cocuk,30,30,52,81.8,10,756100197,357212,756100197:357212,Go Toys Kurbağa Denge Ebeveyn Çocuk Etkileşimi Oyunu Eğitici Oyuncak Kutu Oyunu,Go Toys,Shopist,111.3,159,0,InStock,,,,,4.6,9485,1,254,"[""Sepette %30 İndirim"",""Kargo Bedava""]",14 saat 56 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/go-toys/kurbaga-denge-ebeveyn-cocuk-etkilesimi-oyunu-egitici-oyuncak-kutu-oyunu-p-756100197?boutiqueId=61&merchantId=357212
cocuk:genel-cocuk,153,153,45,11,19,1141368445,1056547,1141368445:1056547,papermoods Eğlenceli ve Eğitici Tuvalet Eğitimi Sticker Panosu - Sevimli Sticker,papermoods,papermoods,169.9,,0,InStock,,,,,4.5,23,0,5,"[""Kargo Bedava""]",14 saat 52 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/papermoods/eglenceli-ve-egitici-tuvalet-egitimi-sticker-panosu-sevimli-sticker-p-1141368445?boutiqueId=61&merchantId=1056547
cocuk:genel-cocuk,143,143,39,18.7,11.3,826256271,109643,826256271:109643,Happy Toys MyClean DİNAZOR SUDA BÜYÜYEN 8 ADET DİNAZOR YUMURTASI,Happy Toys,Rüya Gezegeni,146.5,,,InStock,,,,,4.1,216,1,101,"[""10 TL Kupon"",""Sepette %1 İndirim"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",14 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/happy-toys/myclean-dinazor-suda-buyuyen-8-adet-dinazor-yumurtasi-p-826256271?boutiqueId=61&merchantId=109643
cocuk:genel-cocuk,125,125,38,21.6,11.6,941592695,371498,941592695:371498,ROCKY Çocuk Patenli Işıklı Spor Ayakkabı & Yürüyüş Ayakkabısı & Sneakers,ROCKY,ROCKY,1693.23,1750.02,-7,InStock,,,,,4.7,,0,79,"[""Son 10 Günün En Düşük Fiyatı"",""Peşin Fiyatına 3 Taksit"",""Son 10 günün en düşük fiyatı""]",4 saat 53 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/rocky/cocuk-patenli-isikli-spor-ayakkabi-yuruyus-ayakkabisi-sneakers-p-941592695?boutiqueId=61&merchantId=371498
cocuk:genel-cocuk,81,81,35,24.8,5.2,951130258,1109378,951130258:1109378,vieso 5'li Pamuklu Çıtçıtlı Bebek Body Zıbın Atlet Ekonomik kız erkek,vieso,VİESO BABY,355,,0,InStock,,,,,4.2,,0,116,"[""Sepette %1 İndirim"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",1 saat 54 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/vieso/5-li-pamuklu-citcitli-bebek-body-zibin-atlet-ekonomik-kiz-erkek-p-951130258?boutiqueId=61&merchantId=1109378
cocuk:genel-cocuk,154,154,34,16.4,13.6,988493414,109032,988493414:109032,balody Fanuslu Çiçek Serisi – Hibiskus Yapı Bloğu Seti (543 Parça),balody,Touchie Co.,649,,0,InStock,,,,,4.8,112,0,19,"[""Kargo Bedava""]",4 saat 52 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/balody/fanuslu-cicek-serisi-hibiskus-yapi-blogu-seti-543-parca-p-988493414?boutiqueId=61&merchantId=109032
cocuk:genel-cocuk,151,151,26,25,5,967196661,164806,967196661:164806,Livenzi Movibaby Hareket Sensörlü Otomatik Ana Kucağı-Grey,Livenzi,indirgetir,2599,,0,InStock,,,,,4.6,,0,353,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",5 saat 52 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/livenzi/movibaby-hareket-sensorlu-otomatik-ana-kucagi-grey-p-967196661?boutiqueId=61&merchantId=164806
cocuk:genel-cocuk,85,85,25,17.9,12.1,1073912061,707705,1073912061:707705,OMY 5'Lİ HASTANE ÇIKIŞI % 100 PAMUKLU SET FİTİLLİ DESENLİ MOM&DAD YENİDOĞAN EXTRA KONFOR,OMY,OMY,289.9,,0,InStock,,,,,4.4,170,1,68,"[""Kargo Bedava""]",1 saat 54 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/omy/5-li-hastane-cikisi-100-pamuklu-set-fitilli-desenli-mom-dad-yenidogan-extra-konfor-p-1073912061?boutiqueId=61&merchantId=707705
cocuk:genel-cocuk,29,29,24,47.5,15,87502008,207099,87502008:207099,Genel Markalar Bit Spreyi Ve Şampuan Tarak Set,Genel Markalar,PİGMENT KOZMETİK LTD. ŞTİ.,178,,,InStock,,,,,4.4,1550,4,911,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",3 saat 56 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/genel-markalar/bit-spreyi-ve-sampuan-tarak-set-p-87502008?boutiqueId=61&merchantId=207099
cocuk:genel-cocuk,132,132,23,21.7,8.3,960631521,1149044,960631521:1149044,"Uniqlion 2'si 1 Arada Yürüme Yardımcısı İlk Adım Arabası ve Şekil Eşleştirme Oyuncağı , 10 Ay+",Uniqlion,Uniqlion,849.99,,0,InStock,,,,,4.3,,0,64,"[""Kargo Bedava""]",14 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/uniqlion/2-si-1-arada-yurume-yardimcisi-ilk-adim-arabasi-ve-sekil-eslestirme-oyuncagi-10-ay-p-960631521?boutiqueId=61&merchantId=1149044
cocuk:genel-cocuk,133,133,15,23.7,11.1,1094590398,624822,1094590398:624822,My Kids Wear Kız Çocuk Garson Mayo Elbiseli Şortlu 2’li Takım 12417,My Kids Wear,My Kids Wear,475.05,499,-4.8,InStock,,,,,4.5,,0,71,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",14 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/my-kids-wear/kiz-cocuk-garson-mayo-elbiseli-sortlu-2-li-takim-12417-p-1094590398?boutiqueId=61&merchantId=624822
