rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
cocuk:genel-cocuk,1,1,0,173.3,74.5,876839630,1047741,876839630:1047741,Magly Manyetik Yapı Blokları – Çocuklar İçin Renkli 3 Boyutlu 72 Parça Manyetik Karo Oyun Seti,Magly,Magly,1784.25,2745,0,InStock,Son 3 günde 10B+ ürün satıldı!,3,10000,3333.3,4.7,6063,46,843,"[""Sepette %35 İndirim"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",14 saat 56 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/magly/manyetik-yapi-bloklari-cocuklar-icin-renkli-3-boyutlu-72-parca-manyetik-karo-oyun-seti-p-876839630?boutiqueId=61&merchantId=1047741
cocuk:genel-cocuk,2,2,0,165.4,74.6,959516754,357212,959516754:357212,Go Toys Go Magnetic Series 72 Parça Manyetik Yapı Blokları Original - Mıknatıslı Manyetik Bloklar,Go Toys,Shopist,1498,2140,0,InStock,Son 3 günde 2B+ ürün satıldı!,3,2000,666.7,4.2,4758,25,611,"[""Sepette %30 İndirim"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",14 saat 56 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/go-toys/go-magnetic-series-72-parca-manyetik-yapi-bloklari-original-miknatisli-manyetik-bloklar-p-959516754?boutiqueId=61&merchantId=357212
cocuk:genel-cocuk,3,3,0,159.1,83.4,1133862156,1047741,1133862156:1047741,Magly Magnetic Cars Manyetik Araç Oyun Seti - Manyetik Yapı Blokları Araba Eklentisi,Magly,Magly,354.25,545,0,InStock,Son 3 günde 2B+ ürün satıldı!,3,2000,666.7,4.8,320,8,28,"[""Sepette %35 İndirim"",""Kargo Bedava""]",14 saat 56 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/magly/magnetic-cars-manyetik-arac-oyun-seti-manyetik-yapi-bloklari-araba-eklentisi-p-1133862156?boutiqueId=61&merchantId=1047741
cocuk:genel-cocuk,4,4,0,158.5,81.5,1043614871,1047741,1043614871:1047741,Magly Ball Run Parkur Oyunu – Çocuklar İçin Renkli 3 Boyutlu 101 Parça Yapı Seti - Manyetikler ve Yollar,Magly,Magly,1914.25,2945,0,InStock,Son 3 günde 2B+ ürün satıldı!,3,2000,666.7,4.6,489,5,398,"[""Sepette %35 İndirim"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",14 saat 56 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/magly/ball-run-parkur-oyunu-cocuklar-icin-renkli-3-boyutlu-101-parca-yapi-seti-manyetikler-ve-yollar-p-1043614871?boutiqueId=61&merchantId=1047741
cocuk:genel-cocuk,8,8,2,131.2,47.9,875717599,1047741,875717599:1047741,Magly Manyetik Yapı Blokları – Çocuklar Için Renkli 3 Boyutlu 36 Parça Manyetik Karo Oyun Seti,Magly,Magly,1004.25,1545,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.7,968,3,264,"[""Sepette %35 İndirim"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit"",""Son 10 Günün En Düşük Fiyatı""]",14 saat 56 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/magly/manyetik-yapi-bloklari-cocuklar-icin-renkli-3-boyutlu-36-parca-manyetik-karo-oyun-seti-p-875717599?boutiqueId=61&merchantId=1047741
cocuk:genel-cocuk,6,6,2,129.9,54.3,1124966835,1047741,1124966835:1047741,Magly Soft Bricks Yumuşak Yapı Blokları - Çocuklar İçin Renkli Esnek 42 Parça Yapı Blok Seti,Magly,Magly,614.25,945,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.8,206,1,19,"[""Sepette %35 İndirim"",""Kargo Bedava""]",14 saat 56 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/magly/soft-bricks-yumusak-yapi-bloklari-cocuklar-icin-renkli-esnek-42-parca-yapi-blok-seti-p-1124966835?boutiqueId=61&merchantId=1047741
cocuk:genel-cocuk,9,9,-2,125.3,46.4,1010359257,357212,1010359257:357212,Go Toys Go Magnetic Series 2 Adet Araba Eklentisi Manyetik Oyuncak - Mıknatıslı Manyetik Bloklar,Go Toys,Shopist,269.85,385.5,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.3,1326,6,167,"[""Sepette %30 İndirim"",""Kargo Bedava""]",14 saat 56 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/go-toys/go-magnetic-series-2-adet-araba-eklentisi-manyetik-oyuncak-miknatisli-manyetik-bloklar-p-1010359257?boutiqueId=61&merchantId=357212
cocuk:genel-cocuk,13,13,-4,117.3,49.4,987253589,1164978,987253589:1164978,"Genel Markalar 3'lü Bebek Vakumlu Döner Topaç: Duyu Gelişimi Destekli, Serbest Kombinasyonlu ABS Hayvan Oyuncağı",Genel Markalar,BBSKY,599,921.54,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.5,309,5,28,"[""Sepette %35 İndirim"",""100 TL Kupon"",""Kargo Bedava"",""Sepette %20 İndirim""]",14 saat 56 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/genel-markalar/3-lu-bebek-vakumlu-doner-topac-duyu-gelisimi-destekli-serbest-kombinasyonlu-abs-hayvan-oyuncagi-p-987253589?boutiqueId=61&merchantId=1164978
cocuk:genel-cocuk,12,12,-1,117.2,46.9,1107131330,357212,1107131330:357212,Go Toys Go Track Mavi Renk Esnek Yarış-Aksiyon Pisti 4.5 Mt - Flex track,Go Toys,Shopist,279.3,399,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.3,728,6,147,"[""Sepette %30 İndirim"",""Kargo Bedava""]",14 saat 56 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/go-toys/go-track-mavi-renk-esnek-yaris-aksiyon-pisti-4-5-mt-flex-track-p-1107131330?boutiqueId=61&merchantId=357212
cocuk:genel-cocuk,16,16,0,115.6,38.6,316612628,357212,316612628:357212,Go Toys Vakum Molekül 25 Parça Yapı Taşları Fidget Duyusal Eğitici Oyuncak Squigz,Go Toys,Shopist,139.3,199,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.5,4550,2,252,"[""Sepette %30 İndirim"",""Kargo Bedava""]",14 saat 56 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/go-toys/vakum-molekul-25-parca-yapi-taslari-fidget-duyusal-egitici-oyuncak-squigz-p-316612628?boutiqueId=61&merchantId=357212
