date,captured_at,query,sort,source_page,search_position,bestseller_rank,category_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,title,brand,category,url,seller_name,seller_score,price,original_price,discount_percent,price_delta_percent,currency,campaigns,stock_status,stock_signal,sales_signal,sales_signal_min,rating,rating_count,review_count,review_delta,question_count,basket_signal,favorite_signal,view_signal,shipping_cost,shipping_currency,handling_days_min,handling_days_max,transit_days_min,transit_days_max,delivery_summary,badge,image_url,properties,sample_review_count,sample_review_avg,data_sources,field_availability,detail_ok,detail_error
2026-08-14,2026-08-14T12:42:33+03:00,çocuk,BEST_SELLER,1,1,1,1,,122.3,25.2,959516754,357212,Go Toys Go Magnetic Series 72 Parça Manyetik Yapı Blokları Original - Mıknatıslı Manyetik Bloklar,Go Toys,Eğitici Oyuncak,https://www.trendyol.com/go-toys/go-magnetic-series-72-parca-manyetik-yapi-bloklari-original-miknatisli-manyetik-bloklar-p-959516754?boutiqueId=61&merchantId=357212,Shopist,9,1865.75,2195,15,,TRY,"[""Sepette %15 İndirim"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",InStock,100 adetten fazla stok sunulmuştur,Son 3 günde 1B+ ürün satıldı!,,4.2,10998,4633,,600,,,,4999,TRY,0,1,1,4,11 saat 16 dakika içinde sipariş verirsen en geç yarın kargoda!,En Çok Satan 1. Ürün,https://cdn.dsmcdn.com/ty1000388/product/media/images/prod/PIM/20260417/06/199e148e-a776-48e6-963e-bef3603d28f4/1_org_zoom.jpg,"{""Paket İçeriği"":""72'li"",""Yaş"":""3+ Yaş"",""Piller Kutuya Dahil Mi?"":""Hayır"",""Dil"":""Evrensel Dil"",""Pil ile mi çalışır?"":""Hayır"",""Menşei"":""TR"",""Özellik"":""Mıknatıslı""}",20,5,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""observed"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-14,2026-08-14T12:42:33+03:00,çocuk,BEST_SELLER,1,2,2,,,133.2,59.1,858144107,982060,H&M 3’lü Pamuklu Kolsuz Üst,H&M,,https://www.trendyol.com/h-m/3-lu-pamuklu-kolsuz-ust-p-858144107?boutiqueId=61&merchantId=982060,H&M,3,399.99,549.99,27.3,,TRY,"[""20 TL Kupon"",""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",InStock,100 adetten fazla stok sunulmuştur,Son 3 günde 500+ ürün satıldı!,500,4.7,306,,,12,"2,7B kişinin sepetinde","36,9B kişi favoriledi","Son 24 saatte 17,4B kişi görüntüledi",,,0,,,,Tahmini Teslim:,Fenomen Seçimi,,{},0,,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""observed"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""unavailable"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""unavailable"",""properties"":""observed""}",true,
2026-08-14,2026-08-14T12:42:33+03:00,çocuk,BEST_SELLER,1,3,3,,,99,,1183064934,357212,Go Toys Kinetik Top Duyusal Oyuncak - SpinnBall Stret Oyuncak 1 Adet,Go Toys,Eğitici Oyuncak,https://www.trendyol.com/go-toys/kinetik-top-duyusal-oyuncak-spinnball-stret-oyuncak-1-adet-p-1183064934?boutiqueId=61&merchantId=357212,Shopist,9,199.75,235,15,,TRY,"[""Sepette %15 İndirim"",""Kargo Bedava""]",InStock,100 adetten fazla stok sunulmuştur,Son 3 günde 500+ ürün satıldı!,500,,,,,3,5B kişinin sepetinde,"7,8B kişi favoriledi","Son 24 saatte 11,4B kişi görüntüledi",4999,TRY,0,1,1,4,11 saat 15 dakika içinde sipariş verirsen en geç yarın kargoda!,En Çok Ziyaret Edilen 1. Ürün,https://cdn.dsmcdn.com/ty1901/prod/QC_PREP/20260810/10/3e22a150-35e2-3887-b3ac-21a1aaf8afb2/1_org_zoom.jpg,"{""Paket İçeriği"":""1'li"",""Yaş"":""3+ Yaş"",""Piller Kutuya Dahil Mi?"":""Hayır"",""Dil"":""Evrensel Dil"",""Pil ile mi çalışır?"":""Hayır"",""Menşei"":""TR""}",0,,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""observed"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""unavailable"",""rating_count"":""unavailable"",""review_count"":""unavailable"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-14,2026-08-14T12:42:33+03:00,çocuk,BEST_SELLER,1,4,4,2,,109.9,50.1,955779223,1159908,ankahometoys Puzzle City 3D Yapı Blokları - 128 Parça Eğitici Şehir Kurma ve Tasarım Seti,ankahometoys,Eğitici Oyuncak,https://www.trendyol.com/ankahometoys/puzzle-city-3d-yapi-bloklari-128-parca-egitici-sehir-kurma-ve-tasarim-seti-p-955779223?boutiqueId=61&merchantId=1159908,PLASTMARKET,94,99.9,,,,TRY,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",InStock,100 adetten fazla stok sunulmuştur,Son 3 günde 500+ ürün satıldı!,500,4.4,6046,3098,,279,7B kişinin sepetinde,"143,2B kişi favoriledi","Son 24 saatte 3,3B kişi görüntüledi",4999,TRY,0,,1,4,Tahmini Teslim:,En Çok Satan 2. Ürün,https://cdn.dsmcdn.com/ty1859/prod/QC_ENRICHMENT/20260422/10/5c3c7aa8-5b58-3be6-8d39-27b0e52b1234/1_org_zoom.jpg,"{""Paket İçeriği"":""120'li"",""Yaş"":""3+ Yaş"",""Piller Kutuya Dahil Mi?"":""Hayır"",""Dil"":""Evrensel Dil"",""Pil ile mi çalışır?"":""Hayır"",""Menşei"":""TR"",""Ürün Uyarıları (Oyuncak)"":""3 yaş ve üzeri çocuklar için uygundur"",""Özellik"":""Enerji Tasarrufu""}",20,5,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-14,2026-08-14T12:42:33+03:00,çocuk,BEST_SELLER,1,5,5,4,,103.5,54,1081617521,1218056,Mino Makers 78 Parça Manyetik Yapı Blokları - Çocuklar İçin 3 Boyutlu Renkli Mıknatıslı 78 Parça Manyetik Blok Oyun Seti,Mino Makers,Eğitici Oyuncak,https://www.trendyol.com/mino-makers/78-parca-manyetik-yapi-bloklari-cocuklar-icin-3-boyutlu-renkli-miknatisli-78-parca-manyetik-blok-oyun-seti-p-1081617521?boutiqueId=61&merchantId=1218056,Mino Makers,95,1549.9,,,,TRY,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",InStock,100 adetten fazla stok sunulmuştur,Son 3 günde 500+ ürün satıldı!,500,4.4,1532,859,,208,"5,8B kişinin sepetinde","72,8B kişi favoriledi","Son 24 saatte 4,1B kişi görüntüledi",4999,TRY,0,3,1,6,Tahmini Teslim:,En Çok Satan 4. Ürün,https://cdn.dsmcdn.com/ty1913/prod/QC_ENRICHMENT/20260604/14/9b97664c-feae-338d-92d9-c3d381847600/1_org_zoom.jpg,"{""Paket İçeriği"":""50 -100"",""Yaş"":""3+ Yaş"",""Piller Kutuya Dahil Mi?"":""Hayır"",""Dil"":""Evrensel Dil"",""Pil ile mi çalışır?"":""Hayır"",""Menşei"":""TR"",""Özellik"":""Mıknatıslı""}",20,5,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-14,2026-08-14T12:42:33+03:00,çocuk,BEST_SELLER,1,6,6,,,128.2,47,876839630,1047741,Magly Manyetik Yapı Blokları – Çocuklar İçin Renkli 3 Boyutlu 72 Parça Manyetik Karo Oyun Seti,Magly,Eğitici Oyuncak,https://www.trendyol.com/magly/manyetik-yapi-bloklari-cocuklar-icin-renkli-3-boyutlu-72-parca-manyetik-karo-oyun-seti-p-876839630?boutiqueId=61&merchantId=1047741,Magly,,2196,2745,20,,TRY,"[""Sepette %20 İndirim"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",InStock,100 adetten fazla stok sunulmuştur,Son 3 günde 500+ ürün satıldı!,500,4.7,10741,5926,,829,"18,8B kişinin sepetinde",436B kişi favoriledi,"Son 24 saatte 5,2B kişi görüntüledi",4999,TRY,0,1,1,4,2 saat 15 dakika içinde sipariş verirsen en geç bugün kargoda!,En Çok Favorilenen 2. Ürün,https://cdn.dsmcdn.com/ty1602/prod/QC/20241118/16/18962b5a-dc5e-3472-b1bb-56962270878a/1_org_zoom.jpg,"{""Paket İçeriği"":""72'li"",""Yaş"":""3+ Yaş"",""Piller Kutuya Dahil Mi?"":""Hayır"",""Dil"":""Evrensel Dil"",""Pil ile mi çalışır?"":""Hayır"",""Diğer Özellikler"":""manyetik bloklar"",""Menşei"":""TR"",""Ürün Uyarıları (Oyuncak)"":""3 yaş üstü"",""Batarya Türü"":""Diğer"",""Batarya Boyutu"":""Uygulanabilir Değil"",""Özellik"":""Diğer""}",20,5,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""unavailable"",""price"":""observed"",""original_price"":""observed"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-14,2026-08-14T12:42:33+03:00,çocuk,BEST_SELLER,1,7,7,1,,116.1,60.7,858709533,982060,H&M 2'li Jogger Pantolon,H&M,,https://www.trendyol.com/h-m/2-li-jogger-pantolon-p-858709533?boutiqueId=61&merchantId=982060,H&M,2,529.99,699.99,24.3,,TRY,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",InStock,10 adetten fazla stok sunulmuştur,Son 3 günde 500+ ürün satıldı!,500,4.6,94,,,13,2B kişinin sepetinde,"11,6B kişi favoriledi","Son 24 saatte 3,7B kişi görüntüledi",,,0,,,,Tahmini Teslim:,En Çok Satan 1. Ürün,,{},0,,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""observed"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""unavailable"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""unavailable"",""properties"":""observed""}",true,
2026-08-14,2026-08-14T12:42:33+03:00,çocuk,BEST_SELLER,1,8,8,1,,111.7,53.3,1107131330,357212,Go Toys Go Track Mavi Renk Esnek Yarış-Aksiyon Pisti 4.5 Mt - Flex track,Go Toys,Diğer Oyuncaklar,https://www.trendyol.com/go-toys/go-track-mavi-renk-esnek-yaris-aksiyon-pisti-4-5-mt-flex-track-p-1107131330?boutiqueId=61&merchantId=357212,Shopist,9,288.15,339,15,,TRY,"[""Sepette %15 İndirim"",""Kargo Bedava""]",InStock,100 adetten fazla stok sunulmuştur,Son 3 günde 500+ ürün satıldı!,500,4.3,1740,694,,146,"4,6B kişinin sepetinde","151,4B kişi favoriledi","Son 24 saatte 1,8B kişi görüntüledi",4999,TRY,0,1,1,4,11 saat 15 dakika içinde sipariş verirsen en geç yarın kargoda!,En Çok Satan 1. Ürün,https://cdn.dsmcdn.com/ty1829/prod/QC_PREP/20260219/22/7a0577d0-2537-3975-86db-ae4fc92191dc/1_org_zoom.jpg,"{""Paket İçeriği"":""1+"",""Yaş"":""1+ Yaş"",""Piller Kutuya Dahil Mi?"":""Hayır"",""Pil ile mi çalışır?"":""Hayır"",""Menşei"":""TR""}",20,5,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""observed"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-14,2026-08-14T12:42:33+03:00,çocuk,BEST_SELLER,1,9,9,,,98.5,49,894860281,126620,yükselen zeka İlk Pofidik Magnet Puzzle - Çiftlik Hayvanları,yükselen zeka,Bebek & Aktivite Oyuncakları,https://www.trendyol.com/yukselen-zeka/ilk-pofidik-magnet-puzzle-ciftlik-hayvanlari-p-894860281?boutiqueId=61&merchantId=126620,YÜKSELEN ZEKA,93,308.1,,,,TRY,"[""Sepette %2 İndirim"",""Kargo Bedava""]",InStock,100 adetten fazla stok sunulmuştur,Son 3 günde 500+ ürün satıldı!,500,4.7,3403,2059,,112,"2,9B kişinin sepetinde","89,5B kişi favoriledi",Son 24 saatte 952 kişi görüntüledi,4999,TRY,0,,1,4,Tahmini Teslim:,,https://cdn.dsmcdn.com/ty1631/prod/QC/20250124/17/e4e835b7-931f-36c9-b687-0ca9d05023a3/1_org_zoom.jpg,"{""Paket İçeriği"":""Belirtilmemiş"",""Yaş"":""0 - 1 Yaş"",""Dil"":""Türkçe"",""Pil ile mi çalışır?"":""Hayır"",""Piller Kutuya Dahil Mi?"":""Hayır"",""Menşei"":""TR""}",20,5,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-14,2026-08-14T12:42:33+03:00,çocuk,BEST_SELLER,1,10,10,,,86.2,41.3,887625564,496056,Monalisa Çocuk Renkli Ponpon Toka 10’Lu,Monalisa,Toka,https://www.trendyol.com/monalisa/cocuk-renkli-ponpon-toka-10-lu-p-887625564?boutiqueId=61&merchantId=496056,Monalisa Toka,,20.99,,,,TRY,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",InStock,100 adetten fazla stok sunulmuştur,Son 3 günde 250+ ürün satıldı!,250,3.5,798,447,,46,"1,4B kişinin sepetinde","29,1B kişi favoriledi",Son 24 saatte 564 kişi görüntüledi,4999,TRY,0,,1,4,2 saat 15 dakika içinde sipariş verirsen en geç bugün kargoda!,,https://cdn.dsmcdn.com/ty1618/prod/QC/20241228/00/c41205e3-a9f5-3702-9b76-f9d169b1362b/1_org_zoom.jpg,"{""Desen"":""Renkli"",""Materyal Bileşeni"":""kaplama"",""Materyal"":""Polyester"",""Renk"":""Çok Renkli"",""Menşei"":""TR""}",20,5,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""unavailable"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
